912294a746504cedfb7141388cd26cc347f4ab47f6f8d9dcb580dd3c4135060b,f84c1dcaaf22b105bc76a22e7d498adff4ac4dc34bc314b96ac60e661c81dc93,797b27a5e8e941b49504721ac8d8bec31339492b95b01a5ae9795e51698fd4ef,e574cd74d4f885bcb2478a2f656f1db5377240eded67dfe46ccbe0b500f54c65,36276bbee6f56dcdea234d0dce8aa06dc06671e56c9cecd27d4d8ba364a40417,cf1590fee59b8b330d15871af0e9adcac3fa751512d312fe8eebdfaef0dc4ef4
"1","10201","1","102013011","301","5201087"
"1","10201","1","102014021","402","5201081"
"0","10201","101","102014022","402","5201082"
"1","10201","1","102015011","501","5201066"
"2","10201","1","102015012","501","5201067"
"3","10201","1","102015013","501","5201068"
"4","10201","1","102015014","501","5201069"
"5","10201","1","102015015","501","5201070"
"6","10201","1","102015016","501","5201071"
"7","10201","1","102015017","501","5201072"
"8","10201","1","102015018","501","5201073"
