871ef461e50579b0352fa295bb8482074873cd12eecacddce15c69a38432ab67,2a3f23ce93ee08f683b70c16964f2c8fe5f3b35069238390a55b08055c1cf04d,242d3572824da1d38e1ed6d115989feb03a9c8108ce59f3ec73f7fc9d76075de,91945fb0d2ad3974f9a81d1d8418d8274c0c178e648dfee3ddc05765fe31fdfb,21866e6b3c61fa0fde61b756873029d0dd8e4fa5f717f828dcd0afeca13ed77d,f17d0c001ef48817d75ac4a35c6c074fbe7943cb142c46efdc0c63c217a96076,974541d79fee38348e6aeb6f91426f8a0ee0ae6a6381609f77edd2c4a73f68c2,e16a2fb1d80451b26ec23b97fe2dedc08bac09c0a2defc22174825b2675cefa5,27d33401bae8af14ebbf212edbeeaaa2995124d8fe4ff4746b380c3f75ebf894,4652be4716b402bf79a4c793400b97fc7bbfd2b236684836af2db8bba3590a6d,42f3badf49224bb7574b26e92b34d5a7f2ed28b7aa28431eea61647d8caafe01,18c42c418383bfa4a5b1c94286528d318238fa8bf1f17711eb2cb5493aad8a14,f74d16002f61f29e538bb6e15506563fe1d7e3200c91191f6a586086f2874014,f17fbcba609b9e5983e50ff7c6096c361be792f5689f0a432258c59723d6afce
"1","180","-1","0","-1","1","-1","-1","180","-1","1","-1","19","0"
"2","180","-1","0","-1","1","-1","-1","180","-1","1","-1","19","0"
"3","180","-1","0","-1","1","-1","-1","180","-1","1","-1","19","0"
"4","180","-1","0","-1","0","-1","-1","180","-1","1","-1","19","0"
"5","180","-1","0","-1","1","-1","-1","180","-1","1","-1","19","0"
"6","180","-1","0","-1","1","-1","-1","180","-1","1","-1","19","0"
"7","180","-1","0","-1","1","-1","-1","180","-1","1","-1","19","0"
"8","180","-1","0","-1","1","-1","-1","180","-1","1","-1","19","0"
"9","215","-1","0","-1","1","-1","-1","215","-1","1","-1","23","0"
"10","215","-1","0","-1","1","-1","-1","215","-1","1","-1","23","0"
"11","215","-1","0","-1","0","-1","-1","215","-1","1","-1","23","0"
"12","215","-1","0","-1","1","-1","-1","215","-1","1","-1","23","0"
"13","215","-1","0","-1","1","-1","-1","215","-1","1","-1","23","0"
"14","215","-1","0","-1","1","-1","-1","215","-1","1","-1","23","0"
"15","215","-1","0","-1","1","-1","-1","215","-1","1","-1","23","0"
"16","215","-1","0","-1","1","-1","-1","215","-1","1","-1","23","0"
"17","250","-1","0","-1","1","-1","-1","250","-1","1","-1","26","0"
"18","250","-1","0","-1","0","-1","-1","250","-1","1","-1","26","0"
"20","250","-1","0","-1","1","-1","-1","250","-1","1","-1","26","0"
"21","250","-1","0","-1","1","-1","-1","250","-1","1","-1","26","0"
"22","250","-1","0","-1","1","-1","-1","250","-1","1","-1","26","0"
"23","260","-1","0","-1","0","-1","-1","260","-1","1","-1","28","0"
"24","250","-1","0","-1","1","-1","-1","250","-1","1","-1","26","0"
"25","250","-1","0","-1","1","-1","-1","250","-1","1","-1","26","0"
"26","280","-1","0","-1","0","-1","-1","280","-1","1","-1","29","0"
"27","280","-1","0","-1","1","-1","-1","280","-1","1","-1","29","0"
"28","280","-1","0","-1","1","-1","-1","280","-1","1","-1","29","0"
