e07e38b02492c72c24baef794c6159731f6504e2ee6e52422969f0b8574e578a,0e4e6058ad2d6a1a8e26da33a9e5622b4b53a4c58cdbfdbaa8894c1fa7ffe458,9579eb0bd5852181637fc319d34bc94611b01d4e4ee646f4f87d6cdb93e1ee6e,fb91eba38947edbbdd3afc968d69acd60ecc49eef9f6b5683f66f489c395a4d3,0b74b83bcfa95bc6b24b0e9a58b9a413d2a8388095d14a91faaa35187cd418ba,8ebcbc9c8193781fe997ddd1c92e03e88ba7b69bedbd3356959696c41dfe1cda,de9eb6b544703777911c4ed4f85f45c71026affef03fb62fde1c70cd94eb8665,3142272d4a858794a3a356c71db28c3592ef3645f82c77b452b603a26bf38e39
"2","4","1","25000","1","2025/06/16 14:30:00","26203","20001"
"18","0","1","50000","1","2025/06/16 14:30:00","4304511","20002"
"18","0","1","50000","1","2025/06/16 14:30:00","4304512","20003"
"18","0","1","50000","1","2025/06/16 14:30:00","4304513","20004"
"18","0","1","50000","1","2025/06/16 14:30:00","4304514","20005"
"18","0","1","50000","1","2025/06/16 14:30:00","4304515","20006"
"18","0","1","50000","1","2025/06/16 14:30:00","4302511","20007"
"18","0","1","50000","1","2025/06/16 14:30:00","4302512","20008"
"18","0","1","50000","1","2025/06/16 14:30:00","4302513","20009"
"18","0","1","50000","1","2025/06/16 14:30:00","4302514","20010"
"18","0","1","50000","1","2025/06/16 14:30:00","4302515","20011"
"18","0","1","50000","1","2025/06/16 14:30:00","4305511","20012"
"18","0","1","50000","1","2025/06/16 14:30:00","4305512","20013"
"18","0","1","50000","1","2025/06/16 14:30:00","4305513","20014"
"18","0","1","50000","1","2025/06/16 14:30:00","4305514","20015"
"18","0","1","50000","1","2025/06/16 14:30:00","4305515","20016"
"18","0","1","50000","1","2025/06/16 14:30:00","4301511","20017"
"18","0","1","50000","1","2025/06/16 14:30:00","4301512","20018"
"18","0","1","50000","1","2025/06/16 14:30:00","4301513","20019"
"18","0","1","50000","1","2025/06/16 14:30:00","4301514","20020"
"18","0","1","50000","1","2025/06/16 14:30:00","4301515","20021"
"18","0","1","50000","1","2025/06/16 14:30:00","4303511","20022"
"18","0","1","50000","1","2025/06/16 14:30:00","4303512","20023"
"18","0","1","50000","1","2025/06/16 14:30:00","4303513","20024"
"18","0","1","50000","1","2025/06/16 14:30:00","4303514","20025"
"18","0","1","50000","1","2025/06/16 14:30:00","4303515","20026"
"2","0","1","2500","5","2025/06/16 14:30:00","25001","20027"
"4","0","1","2500","5","2025/06/16 14:30:00","140000","20028"
"4","0","1","2500","10","2025/06/16 14:30:00","140001","20029"
"2","0","1","2500","2500","2025/06/16 14:30:00","26202","20030"
