bc8e0d57164b3b1cc71ac533b3410e57613cc49a35bcc685a5d15216c603312a,00f5a9201b64261c6bba59f1f40c965b91cf079c6b535846fdeb07b96e19e0e4,856be1aa9dfea60cdf185730cd6a07a7ca8f165e16a7238087cd651ab6e79d08,6ea057ea32ec231c8dde2db1f56932532a343c37fbdf11194d8f1805f59c1b5d,fbc3fb7790ae9b0f858d871135b6229822e11c8a9213e02fce253fefd81cb798
"1","2700","1","0","1"
"2","3600","1","0","2"
"3","5400","1","0","3"
"4","3600","1","1","1"
"5","5400","1","1","2"
"6","7200","1","1","3"
"7","1800","2","0","1"
"8","2700","2","0","2"
"9","3600","2","0","3"
"10","2700","2","1","1"
"11","4050","2","1","2"
"12","5400","2","1","3"
"13","1800","3","0","1"
"14","2700","3","0","2"
"15","3600","3","0","3"
"16","2700","3","1","1"
"17","4050","3","1","2"
"18","5400","3","1","3"
"19","1800","4","0","1"
"20","2700","4","0","2"
"21","3600","4","0","3"
"22","2700","4","1","1"
"23","4050","4","1","2"
"24","5400","4","1","3"
