8ff604a991305060afce5460a98383be56671e0e4a3af7acd6692ace28f9b7a8,fe2afbeeea132f5301b68eb31590f444cf6651a0a777233bd0c5aa0a9377b0c0,693ea8fecc2679c6a420b4a95366aa07988cc0aa2356e28e2ad7d1f0c173bdf8,b3a15108041a31de0a8f145d7125a86825cbb70a25d54676c7b77651323401a4,b05613e0d171c65631bf365338d8f4858f1706a6fa1b370d3386765a42e26501
"1","12","94002","3000000","100101"
"2","2","20004","300","100101"
"3","2","90008","1000","100102"
"4","2","25001","6","100103"
"5","12","94002","1000000","100104"
"6","2","20004","300","100104"
"7","2","90008","1000","100105"
"8","2","25001","6","100106"
"9","8","91002","40","100107"
"10","12","94002","1000000","100107"
"11","2","20004","300","100107"
"12","2","90008","1000","100108"
"13","2","41000","1","100109"
"14","2","25001","7","100109"
"15","12","94002","1000000","100110"
"16","2","20004","400","100110"
"17","2","90008","1500","100111"
"18","8","91002","40","100112"
"19","2","25001","7","100112"
"20","12","94002","1000000","100113"
"21","2","20004","400","100113"
"22","2","90008","1500","100114"
"23","2","41000","1","100115"
"24","2","25001","7","100115"
"25","12","94002","1000000","100116"
"26","2","20004","500","100116"
"27","8","91002","40","100117"
"28","2","90008","1500","100117"
"29","12","94002","2000000","100118"
"30","2","25001","8","100118"
"31","2","90008","2000","100118"
"32","12","94002","3000000","100201"
"33","2","20004","300","100201"
"34","2","90008","1000","100202"
"35","2","25001","12","100203"
"36","12","94002","1000000","100204"
"37","2","20004","300","100204"
"38","2","90008","1000","100205"
"39","2","25001","10","100206"
"40","8","91002","40","100207"
"41","12","94002","1000000","100207"
"42","2","20004","300","100207"
"43","2","90008","1000","100208"
"44","2","41000","1","100209"
"45","2","25001","10","100209"
"46","12","94002","1000000","100210"
"47","2","20004","400","100210"
"48","2","90008","1500","100211"
"49","8","91002","40","100212"
"50","2","25001","9","100212"
"51","12","94002","1000000","100213"
"52","2","20004","400","100213"
"53","2","90008","1500","100214"
"54","2","41000","1","100215"
"55","12","94002","1000000","100216"
"56","2","20004","500","100216"
"57","8","91002","40","100217"
"58","2","90008","1500","100217"
"59","12","94002","2000000","100218"
"60","2","90008","2000","100218"
"61","12","94002","3000000","100301"
"62","2","20004","300","100301"
"63","2","90008","1000","100302"
"64","2","25001","12","100303"
"65","12","94002","1000000","100304"
"66","2","20004","300","100304"
"67","2","90008","1000","100305"
"68","2","25001","10","100306"
"69","8","91002","40","100307"
"70","12","94002","1000000","100307"
"71","2","20004","300","100307"
"72","2","90008","1000","100308"
"73","2","41000","1","100309"
"74","2","25001","10","100309"
"75","12","94002","1000000","100310"
"76","2","20004","400","100310"
"77","2","90008","1500","100311"
"78","8","91002","40","100312"
"79","2","25001","9","100312"
"80","12","94002","1000000","100313"
"81","2","20004","400","100313"
"82","2","90008","1500","100314"
"83","2","41000","1","100315"
"84","12","94002","1000000","100316"
"85","2","20004","500","100316"
"86","8","91002","40","100317"
"87","2","90008","1500","100317"
"88","12","94002","2000000","100318"
"89","2","90008","2000","100318"
"90","12","94002","3000000","100401"
"91","2","20004","300","100401"
"92","2","90008","1000","100402"
"93","2","25001","12","100403"
"94","12","94002","1000000","100404"
"95","2","20004","300","100404"
"96","2","90008","1000","100405"
"97","2","25001","10","100406"
"98","8","91002","40","100407"
"99","12","94002","1000000","100407"
"100","2","20004","300","100407"
"101","2","90008","1000","100408"
"102","2","41000","1","100409"
"103","2","25001","10","100409"
"104","12","94002","1000000","100410"
"105","2","20004","400","100410"
"106","2","90008","1500","100411"
"107","8","91002","40","100412"
"108","2","25001","9","100412"
"109","12","94002","1000000","100413"
"110","2","20004","400","100413"
"111","2","90008","1500","100414"
"112","2","41000","1","100415"
"113","12","94002","1000000","100416"
"114","2","20004","500","100416"
"115","8","91002","40","100417"
"116","2","90008","1500","100417"
"117","12","94002","2000000","100418"
"118","2","90008","2000","100418"
