70a571d7ad4caaf7144e8d9b8c09ccf0ef1f9232336f9b710625ed2f54b1617a,06476a51bd0b69e54fa5e947cf285941545595e05096859a8144d4dade54b6a9,f627a366d17ea72a19b9fcbb2b38eb0d6b2f113790f06e1c83f3a2caace9fd96,8c2b92545c8447431dc01dbbcef7aac0578c2b7391d62c022a71fcb59c689a14,ce5c710f5a4a8b925b7afc84f1be89f06b18ef3fdcdfc471d7dcf724340d6c9c,23530f3548ac43e5e1b5fd37822f1762921d52331de11b7527e5cd66ed732fe3,edeb370411c9d87af56f91c5fa2e4728fdc78588ac8480130779eeffd4dfbe30,79eae08696fe37bb40ff6b34e6110f20d00d8ccd918f3a47b10a5e7126d939a7,63b9d02b29da9b2c5f3ce80412c27cbfbd1640c2f369c313cbfa931ae8bc2661,417dd086365a64bdfe7fc2db7f61b52ddb4560bba1f7e93ab3ad18a77665857d,502ff5d5cea51011c9d2c81d2060589749594ac91c2e1f95ed269b7f7dd651b4,f0e23bd1b5b08797ee15e4e924611def89b9e9d49a1ec105ff96527164a2bc12,88b4ed9fa4cb57fb0d93ea1a7eb917ec62651a7c7ddf4a2a97800a155d3d7cb1,eb819d7c3a284e4a42aeebc7f0fa773b916f58d652665458afc0f22fcd37128c,ae0389d915ff25cd48b27af1bacf0c210d0b0445bb7b933c684086387547879e,f06ffc8af1a54446efbc16072ea8b5988f8070bb3be073802f7025ba780f58a8,ca961aea3b264aabd912b95dd879246c2c16f42018bc71211bdfb37380ce7990,e33e3c8b223cbcf002858599060e6bab75891d67977b0d2ea36ec400ae1653b6
"5","150000","150","22003","12","0","0","1","20003","94002","2","91002","8","5","0","20","2","1"
"2","100000","145","22003","12","0","0","2","20003","94002","2","91002","8","9","0","15","2","6"
"5","80000","140","22002","12","0","0","3","20003","94002","2","91002","8","19","0","11","2","10"
"5","80000","130","22002","12","0","0","4","20003","94002","2","91002","8","29","0","10","2","20"
"4","70000","120","22002","12","0","0","5","20003","94002","2","91002","8","39","0","9","2","30"
"4","70000","110","22002","12","0","0","6","20003","94002","2","91002","8","49","0","8","2","40"
"3","60000","100","22002","12","0","0","7","20003","94002","2","91002","8","99","0","7","2","50"
"2","40000","80","22002","12","0","0","8","20003","94002","2","91002","8","499","0","2","2","100"
"1","20000","50","22002","12","0","0","9","20002","94002","2","91002","8","999","0","7","2","500"
"3","16000","20","22001","12","0","0","10","20002","94002","2","91002","8","4999","0","4","2","1000"
"2","9000","15","22001","12","0","0","11","20002","94002","2","91002","8","9999","0","3","2","5000"
"1","4000","10","22001","12","0","0","12","20001","94002","2","91002","8","11999","0","8","2","10000"
"1","3000","5","22001","12","0","0","13","20001","94002","2","91002","8","13999","0","7","2","12000"
"1","2000","4","22001","12","0","0","14","20001","94002","2","91002","8","14999","0","6","2","14000"
"1","1800","3","22001","12","0","0","15","20001","94002","2","91002","8","30000","0","5","2","15000"
