12bf799c34b98da2bca375918801b96e27a8aa4fdfb6bdf0d079c0aed94407a7,59cbc7d1a09b9d33a29785bf8a44ad93dd2cde272efaf7051e31e3d94607c0a9,18097587df7fbf36418f742a1e5fbf673c7d6c288f5d0d76d79c54d3cc08552b,3b10ccc1ff80ef72a51e2c730e61456ac119731d730fc963b6c40d691872682a,f150047130b41e885f9fb45633ce9bfdb32a5ac170a8bbc08d0d8d05fbbc1ee3,29051fefa7e81a192f3c5ea809893520244664a1f36b3b2872fa43ee68987951,9984ce3cc5ec49e202d41e04e1debea2ce8a0b723ab8a2b77e052f5649f3c794,ae22601192de22778aa63c5814631bcf27e2c8e8fa2e00ee9ab3341cfa3d5953,b718a83bfa44ac271018f03b4ada4160780c1606af3e9058b53a70c11c1316eb,694f23b2c93db2f6e8954017cbfab90dd570ac23d1868ab27902ad73150b9156,6fb500cb356c8ca300d9f28b6059a8abd6aa95d1787867e4e9f1f31329bb91c3
"100","1","-220","119931","1","1.7","1","psy_miyako_idle","0","-200","1001"
"100","5","-220","1","1","1.7","1","psy_idle_normal","1","1000","1002"
"105","5","-220","2","1","1.7","1","psy_fairy_idle","0","-50","1003"
"0","31","1","11","1","1","1","","","0","1004"
"1","3","","psy_item00_run","1","0.2","1","","","","1005"
"-220","2","0","285","1","","1","","","2.5","1006"
"","93","","","2.5","","1","","","","1007"
"1","3","","psy_item00_idle","1","0.2","1","","","","1008"
"","93","","","0.5","","1","","","","1009"
"1","3","","psy_miyako_talk1","119931","0.2","1","","","","1010"
"0","21","","vo_minigame_1008_drama_0101","vo_minigame_1008","","1","","","0","1011"
"6","11","0","おばあちゃんが買い物から\n帰ってきたら\n究極のプリンを見せて\n驚かせちゃうの！","119931","0","1","0.5","0","1","1012"
"","93","","1","6","","1","","","","1013"
"0","3","1","psy_miyako_doya_in","119931","0.2","1","","0.2","psy_miyako_doya_loop","1014"
"","91","","","1012","","1","","","","1015"
"","22","","0","0","","1","","","","1016"
"1","3","","psy_fairy_talk","2","0.2","1","","","","1017"
"0","21","","vo_minigame_1008_drama_9901","vo_minigame_1008","","1","","","0","1018"
"6","11","0","キュイキュイ！","2","0","1","0.5","0","1","1019"
"","91","","","0","","1","","","","1020"
"1","3","","psy_fairy_idle","2","0.2","1","","","","1021"
"1","3","","psy_miyako_talk2","119931","0.2","1","","","","1022"
"0","21","","vo_minigame_1008_drama_0102","vo_minigame_1008","","1","","","0","1023"
"5","11","0","オマエも手伝いたいの？\nそれなら卵と牛乳をマヒルから\nたくさんもらってくるの！\n材料はたくさんあったほうがいいの！","119931","0","1","0.5","0","1","1024"
"","93","","1","2","","1","","","","1025"
"1","3","","psy_miyako_talk_joy2","119931","0.2","1","","","","1026"
"","91","","","1024","","1","","","","1027"
"","22","","0","0","","1","","","","1028"
"1","3","","psy_miyako_idle","119931","0.2","1","","","","1029"
"","4","","1","2","","1","","","","1030"
"0","3","1","psy_fairy_run_in","2","0.2","1","","0","psy_fairy_run","1031"
"","93","","","1.3","","1","","","","1032"
"-220","2","0","1000","2","","1","","","1","1033"
"","93","","","2","","1","","","","1034"
"0","3","1","psy_miyako_doya_in","119931","0.2","1","","0.2","psy_miyako_doya_loop","1035"
"0","21","","vo_minigame_1008_drama_0103","vo_minigame_1008","","1","","","0","1036"
"6","11","0","オマエはミヤコを手伝うの！\nめんどくさいことは全部\nオマエに任せるの！","119931","0","1","0.5","0","1","1037"
"","91","","","0","","1","","","","1038"
"","22","","0","0","","1","","","","1039"
"1","12","0","11","1","0","1","0","0","0","1040"
"0","3","1","psy_item00_talk_guts","1","0.2","1","","0.2","psy_item00_idle_guts","1041"
"","93","","","2","","1","","","","1042"
"1","3","","psy_miyako_talk_joy2","119931","0.2","1","","","","1043"
"0","21","","vo_minigame_1008_drama_0104","vo_minigame_1008","","1","","","0","1044"
"5","11","0","みんなみんな\nおいしいプリンにしてやるの～♪","119931","0","1","0.5","0","1","1045"
"","93","","1","4","","1","","","","1046"
"0","3","1","psy_miyako_fight_in","119931","0.2","1","","0.2","psy_miyako_fight_loop","1047"
"0","3","1","psy_item00_handsup","1","0.2","1","","0.2","psy_item00_handsup_loop","1048"
"","93","","","1.5","","1","","","","1049"
"","91","","","1045","","1","","","","1050"
"","22","","0","0","","1","","","","1051"
"100","1","-200","119931","1","1.7","2","psy_miyako_start","0","-300","2001"
"100","1","-220","106011","1","1.7","2","psy_walk","1","300","2002"
"0","31","1","11","1","1","2","","","0","2003"
"101","5","-200","1","1","1.7","2","psy_smoke_start","0","-300","2004"
"-220","2","0","185","106011","","2","","","2","2005"
"","93","","","2","","2","","","","2006"
"0","3","1","psy_kyaru_talk_arm_crossed","106011","0.2","2","","0","psy_kyaru_talk_arm_crossed_loop","2007"
"0","21","","vo_minigame_1008_drama_0305","vo_minigame_1008","","2","","","0","2008"
