0f29844bb522c16fa995cddf84cbe8832c860073ae16fff285e4ee2e7ebbf110,38be2e5d9399611b056b2839ec44d4ad8ac68770bd2da464c47e500d15d4f3b8,d2e3e7b08c71ef01d3169d6f96f5d32c3297389833c1e6def9f19d4373c61c7c,ecf4c6e7fe6cb00349f730f3dbf223e8c330213539511b9bb936f37690ab41ef,1be1dac45da2e1cef9be5e28665c9d5f496eb112bc095d0fa8d20337505e3622,836baa24dbb8132858ec27d3628ea37fb66a0702eacc37a9ff05311c53c36f14,c94e7c4d060cedea742b849b3b823dedd6b865531e9ecd950020dd4636571741
"10008111","1","10008101","1","0","0",""
"10008115","1","10008112","2","0","0",""
"10008103","3","10008101","3","0","0",""
"10008115","3","10008105","4","0","0",""
"150","4","10008112","5","0","0",""
"10028111","1","10028101","6","0","0",""
"10028115","1","10028112","7","0","0",""
"10028103","3","10028101","8","0","0",""
"10028115","3","10028105","9","0","0",""
"150","4","10028112","10","0","0",""
"20012104","11","20012104","11","0","20012107",""
"20012108","11","20012108","12","0","20012109",""
"20012110","11","20012110","13","0","20012114",""
"20012115","11","20012115","14","0","20012115",""
"120","4","20012110","15","0","0",""
"20008111","1","20008101","16","0","0",""
"20008115","1","20008112","17","0","0",""
"20008103","3","20008101","18","0","0",""
"20008115","3","20008105","19","0","0",""
"150","4","20008112","20","0","0",""
