84027a20285b0000f4ca035a36670d5603c62715ad3063253d5617d081b3aacc,c5cd7e426577267173a4ed8080d9d43c8e4279549264d608f9014a59ccb3884f,24c31d30bed08ad43d67073c02c66a02c5d6ed416477acb114f49093e68e9aaa,d0d06588f5c560fbcdf4414aa575af6a7ad7e7f7dabccca85857c9db0922ade7
"100101","戦闘不能になったキャラが0人以下で勝利","1001","0"
"100102","戦闘不能になったキャラが1人以下で勝利","1001","1"
"100103","戦闘不能になったキャラが2人以下で勝利","1001","2"
"100201","バトルの残り時間が1:15以上で勝利","1002","74001"
"100202","バトルの残り時間が1:10以上で勝利","1002","69001"
"100203","バトルの残り時間が1:00以上で勝利","1002","59001"
"100204","バトルの残り時間が0:50以上で勝利","1002","49001"
"100205","バトルの残り時間が0:45以上で勝利","1002","44001"
"100206","バトルの残り時間が0:40以上で勝利","1002","39001"
"100207","バトルの残り時間が0:30以上で勝利","1002","29001"
"100301","味方のTotal HPが100%以上で勝利","1003","1000"
"100302","味方のTotal HPが90%以上で勝利","1003","900"
"100303","味方のTotal HPが80%以上で勝利","1003","800"
"100304","味方のTotal HPが70%以上で勝利","1003","700"
"100305","味方のTotal HPが60%以上で勝利","1003","600"
"100306","味方のTotal HPが50%以上で勝利","1003","500"
