111465bc62b3648e74631070b90dd10d757c4536baf32fb41030631047e27ac7,4b0a49b1020732b42a654576f54cd6c23c3a9666fe98b669cca5b2d5f58439b0,af1b634f007771d2e415ad1a92d6befa8612d19264e0b1754d7eceabc7312904,d80c848f7fb21ab012634f0e03bbdbd010c27a22a6f52fb9321a29ff3e532bdb,8bfac0f24aa84383bf21236f897909f3104b1ce6d7c73551bbb2c38f1119cb56,835467db8d0bab5d4382614036c01331008c711651fde820e466f9a44ef5c920,6558fde8bb00a05afdcf6fb95232e9da0dd47ccaff364086861e6df909b67c33,73015c53cbe2f7ccf9d5945c036b318ff214be508d9c65add31efb3d3c311125,91ef628c8b394dfdcd496c41b3d3eddbec42b61eec4d2426ee1552a6c9fa3165,0d766fe3d4c55da15f84894769158b97ad5e5def1948c3217dc155c278599354
"-1","2","2","3","15","8","53003","22","","10001"
"14","1","1","3","1","5","53003","22","","10002"
"0","0","0","3","0","2","52019","23","ワカナの施し","10003"
"-1","2","2","4","15","8","53003","22","","10004"
"14","1","1","4","1","5","53003","22","","10005"
"0","0","0","4","0","2","52019","23","ワカナの施し","10006"
"-1","2","2","5","15","8","53003","22","","10007"
"14","1","1","5","1","5","53003","22","","10008"
"0","0","0","5","0","2","52019","23","ワカナの施し","10009"
"-1","2","2","6","15","8","53003","22","","10010"
"14","1","1","6","1","5","53003","22","","10011"
"0","0","0","6","0","2","52019","23","ワカナの施し","10012"
