427d3a29384f42218f2c1606b167a1db82a415d0bbd2bee49a5905daee67ea4c,e1aeca7709896a2189038fadbd492042d6469ff991b0260363b71ec4a2f03ee9,2a4eaf751a4d14f1be4002db669fbcf704c26c9e68ad17e2f4c3003e19346afe,06bd17d715d759b24591ec9f3ba32abede9af4d96be4b6bcd442e29ee115399f,57d1081b7ff7e11b4a7a76a4a24a00a04ec2b4513f07db59c38e2881cae8e24e,b0cb566c0fe1b2d8e621d44926ff3529d2468907f726a6fbd480ad9fa4ca4995,7601b3e9c0b708994d4969055bf1e3f3816672fdd793dbb1cd882e5ab2e38827,100de2b9aecc9766539ffdfd11e3f592e613278dfc1623ac0e240a5f34a451b7,9cbaf3f3882cbf98d1a87866b774533e5b43bfeb41a35e2c846d3afe0874f84e,72172f35ad8bfc3a27a46a55bc0652e63edc7c7bd58e4ed7fda0664f9922026b,dedb27bf86478d1a2fe688b6c3c291ef5ee96ead7f7b00db308a4e7611f16ff8
"-200","102","0","-495","1","1","1009801","1.95","122711","lsv_idle_normal","1009801001"
"100","100","1","-480","1","1","1009801","1.95","122811","lsv_idle_normal","1009801002"
"270","101","1","-510","1","1","1009801","1.95","122911","lsv_idle_normal","1009801003"
"0","0","0","0","5","1","1009801","1","333","lsv_white_loop","1009801004"
"1","1","0","0","6","333","1009801","0","1","","1009801005"
"1","1","0","0","6","122711","1009801","0","1","","1009801006"
"1","1","0","0","6","122811","1009801","0","1","","1009801007"
"1","1","0","0","6","122911","1009801","0","1","","1009801008"
"","","","","93","1","1009801","","0","","1009801009"
"1","1","0","0.4","6","333","1009801","0.8","1","","1009801010"
"lsv_idle_normal","0","0.2","1","3","122711","1009801","0.2","lsv_jump1","","1009801011"
"lsv_idle_normal","0","0.2","1","3","122811","1009801","0.2","lsv_jump1","","1009801012"
"lsv_idle_normal","0","0.2","1","3","122911","1009801","0.2","lsv_jump1","","1009801013"
"","","","","93","0.3","1009801","","","","1009801014"
"0.75","-235","","0","2","122711","1009801","","-200","","1009801015"
"0.75","-220","","0","2","122811","1009801","","100","","1009801016"
"0.75","-250","","0","2","122911","1009801","","270","","1009801017"
"1","1","0","1","6","122711","1009801","0.4","1","","1009801018"
"1","1","0","1","6","122811","1009801","0.4","1","","1009801019"
"1","1","0","1","6","122911","1009801","0.4","1","","1009801020"
"","","","","93","2","1009801","","0","","1009801021"
"","1","","","3","122911","1009801","0.2","lsv_talk_joy1","","1009801022"
"0","0","","","21","vo_lsv","1009801","","vo_lsv_0121","","1009801023"
"1","10","0","1","11","122911","1009801","0","『みゅ～ちゃん　すくすく日記』♪\nはじまりはじまり～","0","1009801024"
"","","","","91","0","1009801","","","","1009801025"
"","1","","","3","122911","1009801","0.2","lsv_idle_normal_joyR","","1009801026"
"","1","","","3","122711","1009801","0.2","lsv_talk_normal","","1009801027"
"0","0","","","21","vo_lsv","1009801","","vo_lsv_0122","","1009801028"
"1","10","0","1","11","122711","1009801","0","この日記をみんなで書いて、\nみゅ～ちゃんとの思い出を\n作っていこうね。","0","1009801029"
"","","","","91","0","1009801","","","","1009801030"
"","1","","","3","122711","1009801","0.2","lsv_idle_normal","","1009801031"
"","1","","","3","122911","1009801","0.2","lsv_idle_normal","","1009801032"
"lsv_talk_cool_loop","0","0.2","1","3","122811","1009801","0","lsv_talk_cool","","1009801033"
"0","0","","","21","vo_lsv","1009801","","vo_lsv_0123","","1009801034"
"1","10","0","1","11","122811","1009801","0","それにしても…キョウカは\n日記もまじめだねー\n先生に見せるみたい！","0","1009801035"
"","","","","91","0","1009801","","","","1009801036"
"","1","","","3","122811","1009801","0.2","lsv_talk_bitter","","1009801037"
"0","0","","","21","vo_lsv","1009801","","vo_lsv_0124","","1009801038"
"1","10","0","1","11","122811","1009801","0","ミソギたちしか読まないんだし\nもっとふざけちゃっても\nいいのに～♪","0","1009801039"
"","","","","91","0","1009801","","","","1009801040"
"","1","","","3","122811","1009801","0.2","lsv_idle_joy","","1009801041"
