e6b0197817de388976827d89516b0daef02c45924796d54acf0fa0ff76ebec1a,5c041473d839cf6eefda8763f2be602de6b66337a920a9274bb622fec795d7ee,ed96c27ba381418c5f70f5832ad2b6bebc2990bc9d8b77ccbb92f858377c96a1,6c117619b70f859ad86989373501a3faeb52a1a47ac9c8aed82d9b560d0d3c4d,3a4953afdca74b2a7ffc4d4112409d2e804dcc557f9c3ab040f925bf2618aa10,9fefa7cf9c240cbee1d85e716479e6c73b097ced3d3497811ae37fcef9be2d0f,512c3334d36aff60a48e06fc318599bbb50dcff99db62610df8f0ed579ff4e85,4c4df73651e9ea7d4328235d3aa0608c49349d17cf9351835b7bf4bcf73e0622
"1005","0","2","ＴＰ250アップ","バトル開始時、味方のＴＰが250アップ","1005","0","1005"
"1006","0","2","ＴＰ250アップ","バトル開始時、味方のＴＰが250アップ","1006","0","1006"
"1007","0","2","ＴＰ250アップ","バトル開始時、味方のＴＰが250アップ","1007","0","1007"
"1008","0","2","ＴＰ250アップ","バトル開始時、味方のＴＰが250アップ","1008","0","1008"
"100501","36000","1","物理攻撃ダウン90秒","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","27160000000000","100501"
"100502","36000","1","物理攻撃ダウン90秒","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","26040000000000","100502"
"100503","36000","1","物理防御ダウン90秒","バトル開始から90秒間、敵の物理防御力がダウン","1005","25200000000000","100503"
"100504","36000","1","魔法防御ダウン90秒","バトル開始から90秒間、敵の魔法防御力がダウン","1005","24360000000000","100504"
"100505","36000","1","物理攻撃ダウン90秒","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","23520000000000","100505"
"100506","36000","1","物理攻撃ダウン90秒","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","22400000000000","100506"
"100507","36000","1","物理防御ダウン90秒","バトル開始から90秒間、敵の物理防御力がダウン","1005","21560000000000","100507"
"100508","36000","1","魔法防御ダウン90秒","バトル開始から90秒間、敵の魔法防御力がダウン","1005","20720000000000","100508"
"100509","36000","1","物理攻撃ダウン90秒","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","19600000000000","100509"
"100510","36000","1","物理攻撃ダウン90秒","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","18760000000000","100510"
"100511","36000","1","物理攻撃ダウン90秒","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","17920000000000","100511"
"100512","36000","1","物理攻撃ダウン90秒","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","16800000000000","100512"
"100513","36000","1","物理防御ダウン90秒","バトル開始から90秒間、敵の物理防御力がダウン","1005","15960000000000","100513"
"100514","36000","1","魔法防御ダウン90秒","バトル開始から90秒間、敵の魔法防御力がダウン","1005","15120000000000","100514"
"100515","36000","1","物理攻撃ダウン90秒","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","14280000000000","100515"
"100516","36000","1","物理攻撃ダウン90秒","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","13160000000000","100516"
"100517","36000","1","物理防御ダウン90秒","バトル開始から90秒間、敵の物理防御力がダウン","1005","12320000000000","100517"
"100518","36000","1","魔法防御ダウン90秒","バトル開始から90秒間、敵の魔法防御力がダウン","1005","11480000000000","100518"
"100519","36000","1","物理攻撃ダウン90秒","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","10360000000000","100519"
"100520","36000","1","物理攻撃ダウン90秒","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","9520000000000","100520"
"100521","36000","1","物理攻撃ダウン90秒","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","8680000000000","100521"
"100522","36000","1","物理攻撃ダウン90秒","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","7560000000000","100522"
"100523","36000","1","物理防御ダウン90秒","バトル開始から90秒間、敵の物理防御力がダウン","1005","6720000000000","100523"
"100524","36000","1","魔法防御ダウン90秒","バトル開始から90秒間、敵の魔法防御力がダウン","1005","5880000000000","100524"
"100525","36000","1","物理攻撃ダウン90秒","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","5040000000000","100525"
"100526","36000","1","ＴＰ150アップ","バトル開始時、味方のＴＰが150アップ","1005","3920000000000","100526"
"100527","36000","1","無敵10秒","バトル開始から10秒間、味方が無敵状態になる","1005","3080000000000","100527"
"100528","36000","1","物理攻撃ダウン90秒","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","2240000000000","100528"
"100529","36000","1","物理防御ダウン90秒","バトル開始から90秒間、敵の物理防御力がダウン","1005","1120000000000","100529"
"100530","36000","1","魔法防御ダウン90秒","バトル開始から90秒間、敵の魔法防御力がダウン","1005","280000000000","100530"
"100601","36000","1","魔法攻撃アップ90秒","バトル開始から90秒間、味方の魔法攻撃力がアップ","1006","43650000000000","100601"
"100602","36000","1","物理攻撃アップ90秒","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","41850000000000","100602"
"100603","36000","1","物理防御ダウン90秒","バトル開始から90秒間、敵の物理防御力がダウン","1006","40500000000000","100603"
"100604","36000","1","魔法防御ダウン90秒","バトル開始から90秒間、敵の魔法防御力がダウン","1006","39150000000000","100604"
"100605","36000","1","魔法攻撃アップ90秒","バトル開始から90秒間、味方の魔法攻撃力がアップ","1006","37800000000000","100605"
"100606","36000","1","物理攻撃アップ90秒","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","36000000000000","100606"
"100607","36000","1","毎秒ＨＰ回復90秒","バトル開始から90秒間、味方のＨＰが毎秒回復","1006","34650000000000","100607"
"100608","36000","1","物理攻撃アップ90秒","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","33300000000000","100608"
"100609","36000","1","物理攻撃アップ90秒","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","31500000000000","100609"
"100610","36000","1","魔法防御ダウン90秒","バトル開始から90秒間、敵の魔法防御力がダウン","1006","30150000000000","100610"
"100611","36000","1","魔法攻撃アップ90秒","バトル開始から90秒間、味方の魔法攻撃力がアップ","1006","28800000000000","100611"
"100612","36000","1","物理攻撃アップ90秒","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","27000000000000","100612"
"100613","36000","1","物理防御ダウン90秒","バトル開始から90秒間、敵の物理防御力がダウン","1006","25650000000000","100613"
"100614","36000","1","魔法防御ダウン90秒","バトル開始から90秒間、敵の魔法防御力がダウン","1006","24300000000000","100614"
"100615","36000","1","魔法攻撃アップ90秒","バトル開始から90秒間、味方の魔法攻撃力がアップ","1006","22950000000000","100615"
"100616","36000","1","物理攻撃アップ90秒","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","21150000000000","100616"
"100617","36000","1","毎秒ＨＰ回復90秒","バトル開始から90秒間、味方のＨＰが毎秒回復","1006","19800000000000","100617"
"100618","36000","1","物理攻撃アップ90秒","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","18450000000000","100618"
"100619","36000","1","物理攻撃アップ90秒","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","16650000000000","100619"
"100620","36000","1","魔法防御ダウン90秒","バトル開始から90秒間、敵の魔法防御力がダウン","1006","15300000000000","100620"
"100621","36000","1","物理防御ダウン90秒","バトル開始から90秒間、敵の物理防御力がダウン","1006","13950000000000","100621"
"100622","36000","1","魔法攻撃アップ90秒","バトル開始から90秒間、味方の魔法攻撃力がアップ","1006","12150000000000","100622"
"100623","36000","1","物理攻撃アップ90秒","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","10800000000000","100623"
"100624","36000","1","毎秒ＨＰ回復90秒","バトル開始から90秒間、味方のＨＰが毎秒回復","1006","9450000000000","100624"
"100625","36000","1","魔法防御ダウン90秒","バトル開始から90秒間、敵の魔法防御力がダウン","1006","8100000000000","100625"
"100626","36000","1","ＴＰ150アップ","バトル開始時、味方のＴＰが150アップ","1006","6300000000000","100626"
"100627","36000","1","無敵10秒","バトル開始から10秒間、味方が無敵状態になる","1006","4950000000000","100627"
"100628","36000","1","魔法攻撃アップ90秒","バトル開始から90秒間、味方の魔法攻撃力がアップ","1006","3600000000000","100628"
"100629","36000","1","物理攻撃アップ90秒","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","1800000000000","100629"
"100630","36000","1","魔法防御ダウン90秒","バトル開始から90秒間、敵の魔法防御力がダウン","1006","450000000000","100630"
"100701","36000","1","毎秒ＴＰアップ90秒","バトル開始から90秒間、味方のＴＰが毎秒アップ","1007","27160000000000","100701"
"100702","36000","1","ＴＰ50アップ","バトル開始時、味方のＴＰが50アップ","1007","26040000000000","100702"
"100703","36000","1","火傷ダメージ10秒","バトル開始から10秒間、敵が火傷状態になる","1007","25200000000000","100703"
"100704","36000","1","物理防御ダウン90秒","バトル開始から90秒間、敵の物理防御力がダウン","1007","24360000000000","100704"
"100705","36000","1","物理防御ダウン90秒","バトル開始から90秒間、敵の物理防御力がダウン","1007","23520000000000","100705"
