f3867ab6f87b636553b16a1b29315d659f30f8bfb65adb4c36fa39e248066f85,0c1d8fcce53946c9a631e5491236c84f0c3e7cac7b6026a865939ac997c607df,26a3d2e067e01367c0c89ddcaeed9de6b4b5c64b7fe63125fc3c50d4e46d6f3b,1c0d14d4514da60c2a8bf3f68756017fdee8cafe09a79a9778d8c7caf7b8f690,a8c9fd96b162b2c0d8d8cd817add0ac96807e249e105ebf7f9c84044ee4f5b95,220445d37031b8e7ea8a03be614e6c252fa155650997de9ac1d2927996c37e51,02fc43a581c3661e730d74b18eb164642ce7c5a5a7f69b3fccf62fe50cba00b9,dff5272ae25f0b9fee8d9add2e42ac94000d075142607f5b6a7e230491fe1bb1,7b7f63490e2e1406755c339eb0450b915785692c8d7d6fc419d997e66bb68906,7cef9a3e9483760ea9b7737c00bdc2a5c4f3111698a080d87a43215e1d6e2c68,f92ae3dd608f94daf5ad1598b962ee3988136cfcb6258e771c2515b5cc82c610,6b380b852ea116da0ba2d8c3c0d9703ed22327faf934370b1c09eacaf1215c75
"4","0.8","0","1","0","0","1","0","10116115","0","0","1011611501"
"2","0","vo_won","2","vo_won_10116115_01","0","0","0","10116115","0","0","1011611502"
"1","0","0","3","0","2.68","0","0","10116115","1","395","1011611503"
"4","3.17","0","4","0","0","1","0","10116115","0","0","1011611504"
"1","0","0","5","0","3.51","0","0","10116115","2","430","1011611505"
"4","4.03","0","6","0","0","1","0","10116115","0","0","1011611506"
"1","0","0","7","0","1.92","0","0","10116115","3","280","1011611507"
"4","2.42","0","8","0","0","1","0","10116115","0","0","1011611508"
"1","0","0","9","0","1.09","0","280","10116115","3","430","1011611509"
"4","1.09","0","10","0","0","1","0","10116115","0","0","1011611510"
"1","0","0","11","0","1.88","0","0","10116115","4","210","1011611511"
"4","2.47","0","12","0","0","1","0","10116115","0","0","1011611512"
"1","0","0","13","0","1.88","0","210","10116115","4","440","1011611513"
"4","1.88","0","14","0","0","1","0","10116115","0","0","1011611514"
"1","0","0","15","0","0.588999999999999","0","0","10116115","5","70","1011611515"
"4","0.965999999999999","0","16","0","0","1","0","10116115","0","0","1011611516"
"1","0","0","17","0","1.423","0","70","10116115","5","270","1011611517"
"4","2.673","0","18","0","0","1","0","10116115","0","0","1011611518"
"2","0","vo_won","19","vo_won_10116115_02","0","0","0","10116115","0","0","1011611519"
"1","0","0","20","0","1.699","0","0","10116115","6","213","1011611520"
"4","2.495","0","21","0","0","1","0","10116115","0","0","1011611521"
"1","0","0","22","0","1.636","0","213","10116115","6","450","1011611522"
"4","2.4","0","23","0","0","1","0","10116115","0","0","1011611523"
"1","0","0","24","0","2.853","0","0","10116115","7","430","1011611524"
"4","4.428","0","25","0","0","1","0","10116115","0","0","1011611525"
"2","0","vo_won","26","vo_won_10116115_03","0","0","0","10116115","0","0","1011611526"
"1","0","0","27","0","1.261","0","0","10116115","8","195","1011611527"
"4","1.715","0","28","0","0","1","0","10116115","0","0","1011611528"
"1","0","0","29","0","2.245","0","195","10116115","8","450","1011611529"
"4","2.759","0","30","0","0","1","0","10116115","0","0","1011611530"
"1","0","0","31","0","3.212","0","0","10116115","9","450","1011611531"
"4","3.212","0","32","0","0","1","0","10116115","0","0","1011611532"
"1","0","0","33","0","0.499","0","0","10116115","10","90","1011611533"
"4","2.042","0","34","0","0","1","0","10116115","0","0","1011611534"
"2","0","vo_won","35","vo_won_10116115_04","0","0","0","10116115","0","0","1011611535"
"1","0","0","36","0","0.717","0","0","10116115","11","75","1011611536"
"4","1.491","0","37","0","0","1","0","10116115","0","0","1011611537"
"1","0","0","38","0","2.868","0","75","10116115","11","450","1011611538"
"4","3.897","0","39","0","0","1","0","10116115","0","0","1011611539"
