2a33dc154015b74b425b6c932c2be23bb3ae45331d94229c6a583991f29ae617,97c2347a0d98740fe87d32843b2cfb14a9bdf330aa3330ba6090b72791b62561,9f7ec3f2f39c76a7759be268e74da5580a7011af1320794cb6d9dd8f9c90d026,c9ae3c9b32691b8f05ccca6c8e373d8576f5f3f98e31d91cea004f54ef6e57d0,3fa02e153f9b1939897d42d2486f143d24a15a0591efbe411e6163bcf0504a9e,1e443b06af3e8e3499bba315ca41ed50542f8efac8db75914bdcc61dafc21e62
"111011101","101001","0","1","1","1110111"
"111021101","101002","0","1","1","1110211"
"133011101","301","0","1","3","1330111"
"133011201","301","0","1","3","1330112"
"133020101","302","500","0","3","1330201"
"133020201","302","500","0","3","1330202"
"133030101","303","1","0","3","1330301"
"133030201","303","250","0","3","1330302"
"133030301","303","1","0","3","1330303"
"133030401","303","1","0","3","1330304"
"133030501","303","250","0","3","1330305"
"133030601","303","1","0","3","1330306"
"133040101","304","1000","0","3","1330401"
"133040201","304","1000","0","3","1330402"
"133040301","304","1000","0","3","1330403"
"133040401","304","1000","0","3","1330404"
"133051101","305","0","1","3","1330511"
"133051201","305","0","1","3","1330512"
"134010101","401","1","0","3","1340101"
"134010201","401","1","0","3","1340102"
"134021101","402","0","1","3","1340211"
"134021201","402","0","1","3","1340212"
"140010101","1","1","0","4","1400101"
"140010201","1","1","0","4","1400102"
"140010301","1","10","0","4","1400103"
"140020101","2","0","0","4","1400201"
"210000101","0","0","0","1","2100001"
"211030101","101003","0","0","1","2110301"
"221010101","100001","0","0","2","2210101"
"221020101","100002","0","0","2","2210201"
"221030101","100003","0","0","2","2210301"
"221050101","100005","0","0","2","2210501"
"221070101","100007","0","0","2","2210701"
"221080101","100008","0","0","2","2210801"
"221090101","100009","0","0","2","2210901"
"221100101","100010","0","0","2","2211001"
"221110101","100011","0","0","2","2211101"
"221120101","100012","0","0","2","2211201"
"221130101","100013","0","0","2","2211301"
"221140101","100014","0","0","2","2211401"
"221160101","100016","0","0","2","2211601"
"221170101","100017","0","0","2","2211701"
"222020101","201020","0","0","1","2220201"
"222040101","201040","0","0","1","2220401"
"222050101","201050","0","0","1","2220501"
"222060101","201060","0","0","1","2220601"
"222070101","201070","0","0","1","2220701"
"222080101","201080","0","0","1","2220801"
"222090101","201090","0","0","1","2220901"
"222100101","201100","0","0","1","2221001"
"222110101","201110","0","0","1","2221101"
"222130101","201130","0","0","1","2221301"
"222140101","201140","0","0","1","2221401"
"222160101","201160","0","0","1","2221601"
"222180101","201180","0","0","1","2221801"
"222190101","201190","0","0","1","2221901"
"222200101","201200","0","0","1","2222001"
"222210101","201210","0","0","1","2222101"
"222220101","201220","0","0","1","2222201"
"222230101","201230","0","0","1","2222301"
"222240101","201240","0","0","1","2222401"
"222250101","201250","0","0","1","2222501"
"222270101","201270","0","0","1","2222701"
"222280101","201280","0","0","1","2222801"
"222290101","201290","0","0","1","2222901"
"222300101","201300","0","0","1","2223001"
"222320101","201320","0","0","1","2223201"
"222340101","201340","0","0","1","2223401"
"222350101","201350","0","0","1","2223501"
"222360101","201360","0","0","1","2223601"
"222370101","201370","0","0","1","2223701"
"222380101","201380","0","0","1","2223801"
"222390101","201390","0","0","1","2223901"
"222400101","201400","0","0","1","2224001"
"222410101","201410","0","0","1","2224101"
"222430101","201430","0","0","1","2224301"
"222440101","201440","0","0","1","2224401"
"222470101","201470","0","0","1","2224701"
"222480101","201480","0","0","1","2224801"
"222490101","201490","0","0","1","2224901"
"233010101","301","1000","0","3","2330101"
"233050101","305","1000","0","3","2330501"
"234020101","402","0","0","3","2340201"
"234030101","403","0","0","3","2340301"
"240010101","1","0","0","4","2400101"
"310000101","0","0","0","1","3100001"
"310000102","0","0","0","1","3100002"
"311010101","101001","0","0","1","3110101"
"311020101","101002","0","0","1","3110201"
