ffe6e511dff0d34eefe1afce939e007a98f1817c25ab20e1d48dfef24d654949,8f8ad9a238b0aae8d07d6cccb49eea81d7481402534181574ce24d00939a9b2f,125ffdd54f5ebeafac3ff0efa743e3f92f1bbc57307c7375808178b3a943454e,01acbe9d38f7a259fde13e4f19065c47689596e317925659e6262fb16534b4a2,8976a9cd0fd7042557d82f81d484bcf06ee377f4e00e045b160d31631fa815ef,a31024cca977843872d085e7703728d6814f36f85fcd79e1af915958d6f921cc
"","1","2020-02-15 15:00:00","おまかせ","1","1"
"","2","2020-02-15 15:00:00","デフォルト","2","2"
"","3","2020-02-15 15:00:00","アニバーサリー","3","3"
"","4","2020-02-15 15:00:00","ピンク","1","4"
"","5","2020-02-15 15:00:00","レッド","1","5"
"","6","2020-02-15 15:00:00","イエロー","1","6"
"","7","2020-02-15 15:00:00","グリーン","1","7"
"","8","2020-02-15 15:00:00","ライトブルー","1","8"
"","9","2020-02-15 15:00:00","ブルー","1","9"
"","10","2020-02-15 15:00:00","パープル","1","10"
"","11","2020-02-15 15:00:00","グレー","1","11"
