226a97d21e836894c60fd61c5f876d094f8e0adff1f24f3c6a80965541a13f2d,18785415730a3821caa953c4c8bc3460fa5649b7fbb0eefb1a0548d60b73e423,e6060fa9a23d1df991326a2461adc39d9a2ef9ca6100964ed1189fc8310e764b,91514d6fb11df84856b8aec30d0c67977d68e63bdd4992203b130371695b2587,2871166430aa71afe17aab6f6a36cfb256c6a94f40aa5f2661e962bbf0df52d8,43e535b297339eb62a50e6f4735e2bfcf4a984f8f34b896744535e68c63f9afd,d47826d473fdf78b94fa542bb9340cf2f5fea8d59e12081e777925752720bce9,539107b34830ff82f3f687d756cd2a15603fc2ed714d5e9b2ae3f663719418f7,867c703659a91039bc4c7d3a4e9908d593d2ba03392e5dcd42e4f4195e3ac5b6,00fedc7bb4b5ca08cad258e8834bef097ad2596274961c8e07678e30a6ebeb56,4d86cecd96b1f00884032b0556d7f6f24029ea03d02be912bd9326be8aeed004,461cb47ef3a8890cdd50a0588738ab2db5a7f2fa2bf27602105bb47fe146ad81,cb37f0f2a098f02be9ab261f880ad371067c00eb7f644de71cef7e19655cbd68,50fba6f86f53841a90affdbd11f301e73cd51b8fbee8d066327056b7bd54d9c0
"4","24","1","カオリ（サマー）","2019/07/31 12:00:00","4","10021","0","0","2030/12/17 14:59:59","あうぅ～残念さ～\nマジムンに魂を\n奪われちゃったかな～？","110501","0","24015"
"4","24","2","カオリ（サマー）","2019/07/31 12:00:00","1","10021","4","0","2030/12/17 14:59:59","今日は踊りのキレも悪いよ～\nゴーヤーっぽいもの食べて、元気回復さ～！","110501","0","24016"
"4","24","3","カオリ（サマー）","2019/07/31 12:00:00","4","10021","0","0","2030/12/17 14:59:59","マジムンだらけで目が回るさ～！\nふらふらさ～！","110501","0","24017"
"1","24","4","カオリ（サマー）","2019/07/31 12:00:00","2","10021","5.2","0","2030/12/17 14:59:59","なんくるない、なんくるない\n次、頑張ればいいんだよ～！\n海で泳いで\nリフレッシュするさー！","110501","0","24018"
"5","24","5","カオリ（サマー）","2019/07/31 12:00:00","6","10021","4.2","0","2030/12/17 14:59:59","恥ずかしいところ\n見られちゃったね～\n水着？　水着のことじゃないよー？","110501","0","24019"
"2","24","6","カオリ（サマー）","2019/07/31 12:00:00","2","10021","0","0","2030/12/17 14:59:59","絶好調さ～！　この調子で\n海の平和を取り戻すよ～！\n楽しい夏が待ってるさ～！","110501","0","24020"
"1","24","7","カオリ（サマー）","2019/07/31 12:00:00","6","10021","6.4","0","2030/12/17 14:59:59","何匹で襲ってきたって\n私はマブイを落っことさないよ～！\nくしゅん！　あ……\n今のくしゃみで落っこちたかも～？","110501","0","24021"
"2","24","8","カオリ（サマー）","2019/07/31 12:00:00","2","10021","0","0","2030/12/17 14:59:59","ひーやーさーさー♪\n戦いの後は、踊りを踊って\n気分スッキリさ～！","110501","0","24022"
"6","24","9","カオリ（サマー）","2019/07/31 12:00:00","3","10021","10.08","0","2030/12/17 14:59:59","あれ～？　戦ってるうちに\n水着がどっか行っちゃった～？\nねぇキミ、どっかで見なかった～？\nなんで離れるさ～？","110501","0","24023"
"1","24","10","カオリ（サマー）","2019/07/31 12:00:00","2","10021","5","0","2030/12/17 14:59:59","まだまだ私は元気だよ～！\nマジムンでもなんでも、\nどんとこーいさー♪","110501","0","24024"
"2","24","11","カオリ（サマー）","2019/07/31 12:00:00","2","10021","0","0","2030/12/17 14:59:59","私の空手は世界最強さ～！\n夏の陽射しと青い海も合わされば、\n向かうところ敵なしだよー！","110501","0","24025"
