427b4959c0fb8d28946110edff67920ab76345ccc4537a1ababc63315ea3d3a1,94b9c6afe88d9de15ffd5003dc2c0fecb3fc70693fa9683553f912d9b3feaa39,57e3608a318f816e9ef9b1c1e2f0a0cc48abbdf96e1e8cde88ee2356d5797bd3,cd8bf81b453d762568332aba125614203cc16ca620f736d21efdc70b932649d8,fe5190e373b2040a8d880af60d496cf5f4862cc986c70675bee0e9e43dfca64d,0e8b10cbedd40475b1b86c717ec9d5d0f02a245bdaf3211cb289fe64d6d57d62
"1","-1480","2816","1","11","-1480"
"1","-1302","2816","1","21","-1400"
"1","-1263","2816","1","31","-1302"
"1","-1224","2816","1","41","-1263"
"1","-1185","2816","1","51","-1224"
"1","-1146","2816","1","61","-1185"
"1","-1146","2816","1","71","-1146"
"1","-1146","2816","1","81","-1146"
"1","-1107","2816","1","91","-1146"
"1","-1068","2816","1","101","-1107"
"1","-1029","2816","1","111","-1068"
"1","-1029","2816","1","121","-1029"
"1","-1029","2816","1","131","-1029"
"1","-1029","2816","1","141","-1029"
"1","-988","2816","1","151","-1029"
"1","-947","2816","1","161","-988"
"1","-906","2816","1","171","-947"
"1","-865","2816","1","181","-906"
"1","-865","2816","1","191","-865"
"1","-865","2816","1","201","-865"
"1","-824","2816","1","211","-865"
"1","-783","2816","1","221","-824"
"1","-742","2816","1","231","-783"
"1","-701","2816","1","241","-742"
"1","-660","2816","1","251","-701"
"1","-619","2816","1","261","-660"
"1","-619","2816","1","271","-619"
"1","-619","2816","1","281","-619"
"1","-619","2816","1","291","-619"
"1","-578","2816","1","301","-619"
"1","-537","2816","1","311","-578"
"1","-496","2816","1","321","-537"
"1","-496","2816","1","331","-496"
"1","-496","2816","1","341","-496"
"1","-496","2816","1","351","-496"
"1","-455","2816","1","361","-496"
"1","-414","2816","1","371","-455"
"1","-373","2816","1","381","-414"
"1","-332","2816","1","391","-373"
"1","-332","2816","1","401","-332"
"1","-332","2816","1","411","-332"
"1","-200","2816","1","421","-332"
"2","-1181","2816","2","431","-1246"
"2","-1152","2816","2","441","-1181"
"2","-1152","2816","2","451","-1152"
"2","-1123","2816","2","461","-1152"
"2","-1094","2816","2","471","-1123"
"2","-1094","2816","2","481","-1094"
"2","-1065","2816","2","491","-1094"
"2","-1065","2816","2","501","-1065"
"2","-1036","2816","2","511","-1065"
"2","-1036","2816","2","521","-1036"
"2","-1007","2816","2","531","-1036"
"2","-978","2816","2","541","-1007"
"2","-978","2816","2","551","-978"
"2","-949","2816","2","561","-978"
"2","-920","2816","2","571","-949"
"2","-891","2816","2","581","-920"
"2","-862","2816","2","591","-891"
"2","-862","2816","2","601","-862"
"2","-862","2816","2","611","-862"
"2","-862","2816","2","621","-862"
"2","-833","2816","2","631","-862"
"2","-804","2816","2","641","-833"
"2","-775","2816","2","651","-804"
"2","-746","2816","2","661","-775"
"2","-717","2816","2","671","-746"
"2","-688","2816","2","681","-717"
"2","-659","2816","2","691","-688"
"2","-630","2816","2","701","-659"
"2","-601","2816","2","711","-630"
"2","-572","2816","2","721","-601"
"2","-543","2816","2","731","-572"
"2","-514","2816","2","741","-543"
"2","-449","2816","2","751","-514"
"3","-1153","2816","2","761","-1226"
"3","-1115","2816","2","771","-1153"
"3","-1115","2816","2","781","-1115"
"3","-1077","2816","2","791","-1115"
"3","-1077","2816","2","801","-1077"
"3","-1039","2816","2","811","-1077"
"3","-1001","2816","2","821","-1039"
"3","-1001","2816","2","831","-1001"
"3","-963","2816","2","841","-1001"
"3","-963","2816","2","851","-963"
"3","-963","2816","2","861","-963"
"3","-925","2816","2","871","-963"
"3","-887","2816","2","881","-925"
"3","-887","2816","2","891","-887"
"3","-887","2816","2","901","-887"
"3","-849","2816","2","911","-887"
"3","-811","2816","2","921","-849"
"3","-773","2816","2","931","-811"
"3","-735","2816","2","941","-773"
"3","-697","2816","2","951","-735"
"3","-659","2816","2","961","-697"
"3","-621","2816","2","971","-659"
"3","-583","2816","2","981","-621"
"3","-583","2816","2","991","-583"
"3","-583","2816","2","1001","-583"
"3","-583","2816","2","1011","-583"
"3","-545","2816","2","1021","-583"
"3","-507","2816","2","1031","-545"
"3","-507","2816","2","1041","-507"
"3","-507","2816","2","1051","-507"
"3","-434","2816","2","1061","-507"
"4","-1137","2816","2","1071","-1220"
"4","-1096","2816","2","1081","-1137"
"4","-1096","2816","2","1091","-1096"
"4","-1096","2816","2","1101","-1096"
"4","-1096","2816","2","1111","-1096"
"4","-1096","2816","2","1121","-1096"
"4","-1055","2816","2","1131","-1096"
"4","-1014","2816","2","1141","-1055"
"4","-1014","2816","2","1151","-1014"
"4","-1014","2816","2","1161","-1014"
"4","-1014","2816","2","1171","-1014"
"4","-973","2816","2","1181","-1014"
"4","-932","2816","2","1191","-973"
"4","-891","2816","2","1201","-932"
"4","-891","2816","2","1211","-891"
"4","-891","2816","2","1221","-891"
"4","-891","2816","2","1231","-891"
"4","-850","2816","2","1241","-891"
"4","-809","2816","2","1251","-850"
"4","-809","2816","2","1261","-809"
"4","-809","2816","2","1271","-809"
"4","-768","2816","2","1281","-809"
"4","-727","2816","2","1291","-768"
"4","-686","2816","2","1301","-727"
"4","-686","2816","2","1311","-686"
"4","-645","2816","2","1321","-686"
"4","-604","2816","2","1331","-645"
"4","-563","2816","2","1341","-604"
"4","-522","2816","2","1351","-563"
"4","-439","2816","2","1361","-522"
"5","-1166","2816","2","1371","-1230"
"5","-1129","2816","2","1381","-1166"
"5","-1129","2816","2","1391","-1129"
"5","-1129","2816","2","1401","-1129"
"5","-1129","2816","2","1411","-1129"
"5","-1092","2816","2","1421","-1129"
"5","-1092","2816","2","1431","-1092"
"5","-1055","2816","2","1441","-1092"
"5","-1018","2816","2","1451","-1055"
"5","-981","2816","2","1461","-1018"
"5","-981","2816","2","1471","-981"
"5","-944","2816","2","1481","-981"
"5","-907","2816","2","1491","-944"
"5","-870","2816","2","1501","-907"
"5","-833","2816","2","1511","-870"
"5","-796","2816","2","1521","-833"
"5","-759","2816","2","1531","-796"
"5","-722","2816","2","1541","-759"
"5","-722","2816","2","1551","-722"
"5","-722","2816","2","1561","-722"
"5","-685","2816","2","1571","-722"
"5","-648","2816","2","1581","-685"
"5","-611","2816","2","1591","-648"
"5","-574","2816","2","1601","-611"
"5","-574","2816","2","1611","-574"
"5","-537","2816","2","1621","-574"
"5","-500","2816","2","1631","-537"
"5","-500","2816","2","1641","-500"
"5","-500","2816","2","1651","-500"
"5","-500","2816","2","1661","-500"
"5","-436","2816","2","1671","-500"
"6","-1115","2816","2","1681","-1230"
"6","-1035","2816","2","1691","-1115"
"6","-955","2816","2","1701","-1035"
"6","-875","2816","2","1711","-955"
"6","-795","2816","2","1721","-875"
"6","-715","2816","2","1731","-795"
"6","-715","2816","2","1741","-715"
"6","-635","2816","2","1751","-715"
"6","-635","2816","2","1761","-635"
"6","-635","2816","2","1771","-635"
"6","-635","2816","2","1781","-635"
"6","-635","2816","2","1782","-635"
