92c2084fccc65cf97679def36c4dd1e4626ad2521f18b69e33988dc2a1b71fdc,e19dfeab69ce5e86ea7226776b66d59b57a06a8ed18100c4174e54c8e83cccf0,cc52e8e17091d9229d4e65645da927d7153ad906e2ec9eb253baec898ca6f38f,881c0ea6038ec2c266c35c2d7be161b4497941c9158dce33542a373850bb4e43,6392451c2e893ff51d88bee7427867d9c363f934fa0bebe39ba6c21fe50cfa78,02976caabf032ebc2de2d8c8dfcbb3983150d377c1513d1e8363643fd4ed50b1,ea63817dbb0ba62ce71e4a2232ccd9bcfd9e6084cbfc6bb71e967285bc7080fa,d9f34539d638c742359d7b50ca1f2ff2a86256a165d3f4ef8520416d9863bdad
"1005","バトル開始時、味方のＴＰが250アップ","1005","0","2","ＴＰ250アップ","0","1005"
"1006","バトル開始時、味方のＴＰが250アップ","1006","0","2","ＴＰ250アップ","0","1006"
"1007","バトル開始時、味方のＴＰが250アップ","1007","0","2","ＴＰ250アップ","0","1007"
"1008","バトル開始時、味方のＴＰが250アップ","1008","0","2","ＴＰ250アップ","0","1008"
"100501","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","36000","1","物理攻撃ダウン90秒","27160000000000","100501"
"100502","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","36000","1","物理攻撃ダウン90秒","26040000000000","100502"
"100503","バトル開始から90秒間、敵の物理防御力がダウン","1005","36000","1","物理防御ダウン90秒","25200000000000","100503"
"100504","バトル開始から90秒間、敵の魔法防御力がダウン","1005","36000","1","魔法防御ダウン90秒","24360000000000","100504"
"100505","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","36000","1","物理攻撃ダウン90秒","23520000000000","100505"
"100506","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","36000","1","物理攻撃ダウン90秒","22400000000000","100506"
"100507","バトル開始から90秒間、敵の物理防御力がダウン","1005","36000","1","物理防御ダウン90秒","21560000000000","100507"
"100508","バトル開始から90秒間、敵の魔法防御力がダウン","1005","36000","1","魔法防御ダウン90秒","20720000000000","100508"
"100509","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","36000","1","物理攻撃ダウン90秒","19600000000000","100509"
"100510","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","36000","1","物理攻撃ダウン90秒","18760000000000","100510"
"100511","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","36000","1","物理攻撃ダウン90秒","17920000000000","100511"
"100512","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","36000","1","物理攻撃ダウン90秒","16800000000000","100512"
"100513","バトル開始から90秒間、敵の物理防御力がダウン","1005","36000","1","物理防御ダウン90秒","15960000000000","100513"
"100514","バトル開始から90秒間、敵の魔法防御力がダウン","1005","36000","1","魔法防御ダウン90秒","15120000000000","100514"
"100515","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","36000","1","物理攻撃ダウン90秒","14280000000000","100515"
"100516","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","36000","1","物理攻撃ダウン90秒","13160000000000","100516"
"100517","バトル開始から90秒間、敵の物理防御力がダウン","1005","36000","1","物理防御ダウン90秒","12320000000000","100517"
"100518","バトル開始から90秒間、敵の魔法防御力がダウン","1005","36000","1","魔法防御ダウン90秒","11480000000000","100518"
"100519","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","36000","1","物理攻撃ダウン90秒","10360000000000","100519"
"100520","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","36000","1","物理攻撃ダウン90秒","9520000000000","100520"
"100521","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","36000","1","物理攻撃ダウン90秒","8680000000000","100521"
"100522","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","36000","1","物理攻撃ダウン90秒","7560000000000","100522"
"100523","バトル開始から90秒間、敵の物理防御力がダウン","1005","36000","1","物理防御ダウン90秒","6720000000000","100523"
"100524","バトル開始から90秒間、敵の魔法防御力がダウン","1005","36000","1","魔法防御ダウン90秒","5880000000000","100524"
"100525","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","36000","1","物理攻撃ダウン90秒","5040000000000","100525"
"100526","バトル開始時、味方のＴＰが150アップ","1005","36000","1","ＴＰ150アップ","3920000000000","100526"
"100527","バトル開始から10秒間、味方が無敵状態になる","1005","36000","1","無敵10秒","3080000000000","100527"
"100528","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","36000","1","物理攻撃ダウン90秒","2240000000000","100528"
"100529","バトル開始から90秒間、敵の物理防御力がダウン","1005","36000","1","物理防御ダウン90秒","1120000000000","100529"
"100530","バトル開始から90秒間、敵の魔法防御力がダウン","1005","36000","1","魔法防御ダウン90秒","280000000000","100530"
"100601","バトル開始から90秒間、味方の魔法攻撃力がアップ","1006","36000","1","魔法攻撃アップ90秒","43650000000000","100601"
"100602","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","36000","1","物理攻撃アップ90秒","41850000000000","100602"
"100603","バトル開始から90秒間、敵の物理防御力がダウン","1006","36000","1","物理防御ダウン90秒","40500000000000","100603"
"100604","バトル開始から90秒間、敵の魔法防御力がダウン","1006","36000","1","魔法防御ダウン90秒","39150000000000","100604"
"100605","バトル開始から90秒間、味方の魔法攻撃力がアップ","1006","36000","1","魔法攻撃アップ90秒","37800000000000","100605"
"100606","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","36000","1","物理攻撃アップ90秒","36000000000000","100606"
"100607","バトル開始から90秒間、味方のＨＰが毎秒回復","1006","36000","1","毎秒ＨＰ回復90秒","34650000000000","100607"
"100608","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","36000","1","物理攻撃アップ90秒","33300000000000","100608"
"100609","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","36000","1","物理攻撃アップ90秒","31500000000000","100609"
"100610","バトル開始から90秒間、敵の魔法防御力がダウン","1006","36000","1","魔法防御ダウン90秒","30150000000000","100610"
"100611","バトル開始から90秒間、味方の魔法攻撃力がアップ","1006","36000","1","魔法攻撃アップ90秒","28800000000000","100611"
"100612","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","36000","1","物理攻撃アップ90秒","27000000000000","100612"
"100613","バトル開始から90秒間、敵の物理防御力がダウン","1006","36000","1","物理防御ダウン90秒","25650000000000","100613"
"100614","バトル開始から90秒間、敵の魔法防御力がダウン","1006","36000","1","魔法防御ダウン90秒","24300000000000","100614"
"100615","バトル開始から90秒間、味方の魔法攻撃力がアップ","1006","36000","1","魔法攻撃アップ90秒","22950000000000","100615"
"100616","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","36000","1","物理攻撃アップ90秒","21150000000000","100616"
"100617","バトル開始から90秒間、味方のＨＰが毎秒回復","1006","36000","1","毎秒ＨＰ回復90秒","19800000000000","100617"
"100618","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","36000","1","物理攻撃アップ90秒","18450000000000","100618"
"100619","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","36000","1","物理攻撃アップ90秒","16650000000000","100619"
"100620","バトル開始から90秒間、敵の魔法防御力がダウン","1006","36000","1","魔法防御ダウン90秒","15300000000000","100620"
"100621","バトル開始から90秒間、敵の物理防御力がダウン","1006","36000","1","物理防御ダウン90秒","13950000000000","100621"
"100622","バトル開始から90秒間、味方の魔法攻撃力がアップ","1006","36000","1","魔法攻撃アップ90秒","12150000000000","100622"
"100623","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","36000","1","物理攻撃アップ90秒","10800000000000","100623"
"100624","バトル開始から90秒間、味方のＨＰが毎秒回復","1006","36000","1","毎秒ＨＰ回復90秒","9450000000000","100624"
"100625","バトル開始から90秒間、敵の魔法防御力がダウン","1006","36000","1","魔法防御ダウン90秒","8100000000000","100625"
"100626","バトル開始時、味方のＴＰが150アップ","1006","36000","1","ＴＰ150アップ","6300000000000","100626"
"100627","バトル開始から10秒間、味方が無敵状態になる","1006","36000","1","無敵10秒","4950000000000","100627"
"100628","バトル開始から90秒間、味方の魔法攻撃力がアップ","1006","36000","1","魔法攻撃アップ90秒","3600000000000","100628"
"100629","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","36000","1","物理攻撃アップ90秒","1800000000000","100629"
"100630","バトル開始から90秒間、敵の魔法防御力がダウン","1006","36000","1","魔法防御ダウン90秒","450000000000","100630"
"100701","バトル開始から90秒間、味方のＴＰが毎秒アップ","1007","36000","1","毎秒ＴＰアップ90秒","27160000000000","100701"
"100702","バトル開始時、味方のＴＰが50アップ","1007","36000","1","ＴＰ50アップ","26040000000000","100702"
"100703","バトル開始から10秒間、敵が火傷状態になる","1007","36000","1","火傷ダメージ10秒","25200000000000","100703"
"100704","バトル開始から90秒間、敵の物理防御力がダウン","1007","36000","1","物理防御ダウン90秒","24360000000000","100704"
"100705","バトル開始から90秒間、敵の物理防御力がダウン","1007","36000","1","物理防御ダウン90秒","23520000000000","100705"
"100706","バトル開始から90秒間、味方の物理攻撃力がアップ","1007","36000","1","物理攻撃アップ90秒","22400000000000","100706"
"100707","バトル開始から90秒間、味方の魔法攻撃力がアップ","1007","36000","1","魔法攻撃アップ90秒","21560000000000","100707"
"100708","バトル開始から10秒間、敵が火傷状態になる","1007","36000","1","火傷ダメージ10秒","20720000000000","100708"
"100709","バトル開始から90秒間、敵の物理防御力がダウン","1007","36000","1","物理防御ダウン90秒","19600000000000","100709"
"100710","バトル開始から90秒間、味方の物理攻撃力がアップ","1007","36000","1","物理攻撃アップ90秒","18760000000000","100710"
"100711","バトル開始から90秒間、味方のＴＰが毎秒アップ","1007","36000","1","毎秒ＴＰアップ90秒","17920000000000","100711"
"100712","バトル開始から10秒間、敵が火傷状態になる","1007","36000","1","火傷ダメージ10秒","16800000000000","100712"
"100713","バトル開始から90秒間、敵の物理防御力がダウン","1007","36000","1","物理防御ダウン90秒","15960000000000","100713"
"100714","バトル開始から90秒間、敵の魔法防御力がダウン","1007","36000","1","魔法防御ダウン90秒","15120000000000","100714"
"100715","バトル開始から90秒間、味方の魔法攻撃力がアップ","1007","36000","1","魔法攻撃アップ90秒","14280000000000","100715"
"100716","バトル開始から90秒間、味方の物理攻撃力がアップ","1007","36000","1","物理攻撃アップ90秒","13160000000000","100716"
"100717","バトル開始時、味方のＴＰが100アップ","1007","36000","1","ＴＰ100アップ","12320000000000","100717"
"100718","バトル開始から90秒間、敵の物理防御力がダウン","1007","36000","1","物理防御ダウン90秒","11480000000000","100718"
"100719","バトル開始から90秒間、敵の魔法防御力がダウン","1007","36000","1","魔法防御ダウン90秒","10360000000000","100719"
"100720","バトル開始から90秒間、味方の物理攻撃力がアップ","1007","36000","1","物理攻撃アップ90秒","9520000000000","100720"
"100721","バトル開始から90秒間、味方のＴＰが毎秒アップ","1007","36000","1","毎秒ＴＰアップ90秒","8680000000000","100721"
"100722","バトル開始時、味方のＴＰが150アップ","1007","36000","1","ＴＰ150アップ","7560000000000","100722"
"100723","バトル開始から10秒間、敵が火傷状態になる","1007","36000","1","火傷ダメージ10秒","6720000000000","100723"
"100724","バトル開始から90秒間、敵の物理防御力がダウン","1007","36000","1","物理防御ダウン90秒","5880000000000","100724"
"100725","バトル開始から90秒間、敵の魔法防御力がダウン","1007","36000","1","魔法防御ダウン90秒","5040000000000","100725"
"100726","バトル開始時、味方のＴＰが150アップ","1007","36000","1","ＴＰ150アップ","3920000000000","100726"
"100727","バトル開始から10秒間、味方が無敵状態になる","1007","36000","1","無敵10秒","3080000000000","100727"
"100728","バトル開始から10秒間、敵が火傷状態になる","1007","36000","1","火傷ダメージ10秒","2240000000000","100728"
