21ee11d2b08f312fca3c948a9967ae8db8832f64d68150bbab49ce2cb807c9e3,47a6dc4701bf93c5c6f39f6e4e503da029f2bfab362f765d09711999b06ab169,259b749438990a290ff8eba7048fe84c5718fa167dfecbb5d4e5f857a2a94b8d,babcaa3163c34b17fa6f607796b3e4702879a0e5307bdf41d9b9ecdb54155932,857e8ee1c806dd91ab2a69583ab4547593aeed2e3fd3786e3cffe08685b02fd5,649cf31ffa54b458f3182c6bb4916966bfb02e7933018d54876476f99355c629,b400c37eb7e9cdd2f1bff3fa92d86b6e11c87380153b80f6f863f454eb8f95bf,f5a859b828d5183cf3bf2ad2f404237470e3682fd191e294a11ce34cae2b4f5d,4c063902401c69b9540cd0f24450124b95f8b8e8e4e4ad056a66b8ec6bbd7d7d,1647cb030d696c91be547715223123fdaa2bc10151393e3e8735d90311fb6f8c,ecc6812758b34d3210cd7757be48e766bfebdacb131ff5b6f4f922e40eec6876,0b614ab7d7d52b3324accb0212bd1bdc27d5588fd9a0fa9ccda5d7a45341bdde
"1","107601","0","2018/06/30 12:00:00","1004","107601","2018/07/19 14:59:59","0","10004","0","0","5004401"
"2","1000403","0","2018/06/30 12:00:00","1002","107601","2018/07/19 14:59:59","0","10004","1","0","5004402"
"3","10","0","2018/06/30 12:00:00","1001","107701","2018/07/19 14:59:59","0","10004","0","0","5004403"
"4","20","0","2018/06/30 12:00:00","1001","107501","2018/07/19 14:59:59","0","10004","0","0","5004404"
"5","30","0","2018/06/30 12:00:00","1001","107601","2018/07/19 14:59:59","0","10004","0","0","5004405"
"6","2","0","2018/06/30 12:00:00","1003","107501","2018/07/19 14:59:59","0","10004","0","0","5004406"
"7","5","0","2018/06/30 12:00:00","1003","107601","2018/07/19 14:59:59","0","10004","0","0","5004407"
"8","8","0","2018/06/30 12:00:00","1003","107801","2018/07/19 14:59:59","0","10004","0","0","5004408"
"9","12","0","2018/06/30 12:00:00","1003","107701","2018/07/19 14:59:59","0","10004","0","0","5004409"
"10","16","0","2018/06/30 12:00:00","1003","107501","2018/07/19 14:59:59","0","10004","0","0","5004410"
