c15a1bb37213d29402fae8f81013342dd57935a950c6d0b3869de626666ab52d,279297b0ffb8d86766ce2c2a9ac41f2ec9fc1a61d4a322772d450f5856307249,74b081c10379d73aea91ac2bdc81e0f0498373cdba91c0e9726c2e15e92358d7,c7c33947f3441242327eae03e850c224333f7cae0ef6b51c921b905edff752ae,258b5bb733420988a9e406de8b01607633405928e360459ccaaf215bdd608e43,c6e39101980f3bd19a0cf92a195da22c8580b9efe6474444027451a451b2d112,06bbaaba62369811c7b54a96f106d76f3a70623c5396ce2e1fc5d15be11b8c53,aaf43e75a47a50efa7e7490891c95322e18ff409fd4aef8be12bf23a8c9113e5,2a67112681bbd6bac39db8a9a710fe474bce748eefddc139eda1dd1f616cab77,cecc9040a6cd489247b0d0713f8eaac3a22910cae0febac7d3fd745763d3dbc4,86914db765c735e40bc645c973cb71e1ac278d201b3fd5a6449350ca15532b7c,11e11b52e0fb90042e1351eaaebd576b88f405a2cf6815d79f423db46c4ac345,ca6581304f56fec2bd9b2c1707145e265cba4ae3d838519cdc7fa341215cd688,22fbc822406c439b322f7c0c3c042e4cbde2bab810f819f0bdced8b494ee7449,1eff5609979c59cdc5178a9ffd41096854591aa2388f6a4e809fc86be74ddaa6,0314ee2f4d47e71c9793b50bdb88cbec67402da316d65e7ba79e5ecd9e622601,d9b290948ea89e06136e6b796ba4555c88b361bfe483f7e38125e7d5c56bd335
"4101401","1","1","11001","7200","43200","108","4201401","4104401","スィオネ\n樹林","11001001","11001001","10","4104351","100000","4101351","-470"
"4106401","2","1","11001","7200","43200","90","4203401","4110401","ヘリケ巨木","11001002","11001002","10","4110351","100000","4106351","-235"
"4102401","3","1","11001","7200","43200","108","4201401","4105401","イオカステ\n岩山","11001003","11001003","10","4105351","100000","4102351","0"
"4108401","4","1","11001","7200","43200","90","4203401","4109401","ハルパリ\n大滝","11001004","11001004","10","4109351","100000","4108351","235"
"4103401","5","1","11001","7200","43200","108","4201401","4107401","ムネメー川","11001005","11001005","10","4107351","100000","4103351","470"
"4104401","6","1","11002","7200","43200","108","4301401","4201401","アルバ浜堤","11002001","11002003","10","4101401","100000","4301351","-470"
"4110401","7","1","11002","7200","43200","90","4305401","4203401","サダルスド\n砂浜","11002002","11002002","10","4106401","100000","4305351","-235"
"4105401","8","1","11002","7200","43200","108","4302401","4201401","ダルリク\n巨岩","11002003","11002001","10","4102401","100000","4302351","0"
"4109401","9","1","11002","7200","43200","90","4304401","4203401","アンカル川","11002004","11001005","10","4108401","100000","4304351","235"
"4107401","10","1","11002","7200","43200","108","4303401","4201401","ダクビア\n森林","11002005","11001001","10","4103401","100000","4303351","470"
"4101401","11","1","11003","7200","43200","108","4109401","4104401","ミーマス\n洞穴","11003001","11003001","10","4201401","100000","4201351","-470"
"4108401","11","1","11003","7200","43200","90","4110401","4102401","レアント川","11003002","11003002","10","4202401","100000","4202351","-155"
"4103401","11","1","11003","7200","43200","108","4109401","4105401","ケランド\n廃墟","11003003","11003003","10","4203401","100000","4203351","160"
"4106401","11","1","11003","7200","43200","90","4110401","4107401","デオネカ\n氷海","11003004","11003004","10","4204401","100000","4204351","470"
