86314ac2c13ce40487319b5befd4ea9c409ce1c3b2b2580d29d8faf332f32c2d,8be375f5dc5ad8f30153053dba28f80127138fd8f3171c10becbcb4587d8dfe4,efd2bcdea312cf66859e15637094acf1252355b48297fba688e1c9b950473fc0,73a275df65c539cd481c433a4d955ba42f01a2e330439e294f186c6f694ad984,d2c0b24f58d6d259da6cc78f5af8868e09ac06f2a9fff1b016e79dfbe26d9137,a2b99bfda5ed5cfd95d2e9e0bfe4a1b3247dae8999d2df10a8f0382d9fa721b2,b08661a842b52702cc28c9a86301b218b4f0b5c3231306e6b7a9a2ef1561b9e8
"50000","1","累計スコアを2500pt 獲得しよう","5126700","94002","12","2500"
"50000","1","累計スコアを5000pt 獲得しよう","0","94002","12","5000"
"50000","1","累計スコアを7500pt 獲得しよう","0","94002","12","7500"
"1","1","累計スコアを10000pt 獲得しよう","5126701","2839","7","10000"
"80000","1","累計スコアを12500pt 獲得しよう","0","94002","12","12500"
"80000","1","累計スコアを15000pt 獲得しよう","0","94002","12","15000"
"80000","1","累計スコアを17500pt 獲得しよう","0","94002","12","17500"
"25","1","累計スコアを20000pt 獲得しよう","5126702","91002","8","20000"
"100000","1","累計スコアを22500pt 獲得しよう","0","94002","12","22500"
"100000","1","累計スコアを25000pt 獲得しよう","0","94002","12","25000"
"100","1","累計スコアを27500pt 獲得しよう","0","91002","8","27500"
"1","1","累計スコアを30000pt 獲得しよう","5126703","11001262","15","30000"
"50000","2","累計スコアを2500pt 獲得しよう","5126710","94002","12","2500"
"50000","2","累計スコアを5000pt 獲得しよう","0","94002","12","5000"
"50000","2","累計スコアを7500pt 獲得しよう","0","94002","12","7500"
"1","2","累計スコアを10000pt 獲得しよう","5126711","2840","7","10000"
"80000","2","累計スコアを12500pt 獲得しよう","0","94002","12","12500"
"80000","2","累計スコアを15000pt 獲得しよう","0","94002","12","15000"
"80000","2","累計スコアを17500pt 獲得しよう","0","94002","12","17500"
"25","2","累計スコアを20000pt 獲得しよう","5126712","91002","8","20000"
"100000","2","累計スコアを22500pt 獲得しよう","0","94002","12","22500"
"100000","2","累計スコアを25000pt 獲得しよう","0","94002","12","25000"
"100","2","累計スコアを27500pt 獲得しよう","0","91002","8","27500"
"1","2","累計スコアを30000pt 獲得しよう","5126713","11001263","15","30000"
