3df5a37a2cd486f1d9ae212f413372ee3c7eeee180e2e839f4965167c44d0c9e,d188d9cf533f66fea7fbb6c4222098f314ebe74b13b4cf7166627cf49ce27672,11f33dda3cfe713f4be847a920fab27ad4bdead11f3f8e6a22353a83e10dc1f7,b15063ad6b0a2bc2cacdd0173d3942ef9a56891df61052fc1bf71cd9d867eac4,af879c9f06518bf6917e113432f7ae0ec3e0ba04a17b3da50ae474b1d8d88528
"94002","12","150000","31000101","310001011"
"22003","2","10","31000101","310001012"
"94002","12","500000","31000102","310001021"
"22003","2","10","31000102","310001022"
"94002","12","500000","31000103","310001031"
"140001","4","5","31000103","310001032"
"25001","2","5","31000103","310001033"
"94002","12","500000","31000104","310001041"
"22003","2","10","31000104","310001042"
"94002","12","500000","31000105","310001051"
"140001","4","5","31000105","310001052"
"25001","2","5","31000105","310001053"
"94002","12","500000","31000106","310001061"
"22003","2","10","31000106","310001062"
"94002","12","500000","31000107","310001071"
"140001","4","5","31000107","310001072"
"25001","2","5","31000107","310001073"
"94002","12","500000","31000108","310001081"
"22003","2","10","31000108","310001082"
"94002","12","500000","31000109","310001091"
"140001","4","5","31000109","310001092"
"25001","2","5","31000109","310001093"
"94002","12","150000","31001101","310011011"
"22003","2","5","31001101","310011012"
"94002","12","150000","31001102","310011021"
"22003","2","5","31001102","310011022"
"94002","12","150000","31001103","310011031"
"22003","2","5","31001103","310011032"
"94002","12","150000","31001111","310011111"
"22003","2","5","31001111","310011112"
"94002","12","200000","31001112","310011121"
"22003","2","5","31001112","310011122"
"94002","12","150000","31001201","310012011"
"22003","2","5","31001201","310012012"
"94002","12","150000","31001202","310012021"
"22003","2","5","31001202","310012022"
"94002","12","150000","31001203","310012031"
"22003","2","5","31001203","310012032"
"94002","12","150000","31001211","310012111"
"22003","2","5","31001211","310012112"
"94002","12","200000","31001212","310012121"
"22003","2","5","31001212","310012122"
"94002","12","150000","31001301","310013011"
"22003","2","5","31001301","310013012"
"94002","12","150000","31001302","310013021"
"22003","2","5","31001302","310013022"
"94002","12","150000","31001303","310013031"
"22003","2","5","31001303","310013032"
"94002","12","150000","31001311","310013111"
"22003","2","5","31001311","310013112"
"94002","12","200000","31001312","310013121"
"22003","2","5","31001312","310013122"
"94002","12","150000","31001401","310014011"
"22003","2","5","31001401","310014012"
"94002","12","150000","31001402","310014021"
"22003","2","5","31001402","310014022"
"94002","12","150000","31001403","310014031"
"22003","2","5","31001403","310014032"
"94002","12","150000","31001411","310014111"
"22003","2","5","31001411","310014112"
"94002","12","200000","31001412","310014121"
"22003","2","5","31001412","310014122"
"94002","12","150000","31002101","310021011"
"22003","2","5","31002101","310021012"
"94002","12","150000","31002102","310021021"
"22003","2","5","31002102","310021022"
"94002","12","150000","31002103","310021031"
"22003","2","5","31002103","310021032"
"91002","8","50","31002104","310021041"
"94002","12","150000","31002111","310021111"
"22003","2","5","31002111","310021112"
"94002","12","200000","31002112","310021121"
"22003","2","5","31002112","310021122"
"91002","8","100","31002113","310021131"
"94002","12","150000","31003101","310031011"
"22003","2","5","31003101","310031012"
"94002","12","150000","31003102","310031021"
"22003","2","5","31003102","310031022"
"94002","12","150000","31003103","310031031"
"22003","2","5","31003103","310031032"
"91002","8","50","31003104","310031041"
"94002","12","150000","31003111","310031111"
"22003","2","5","31003111","310031112"
"94002","12","200000","31003112","310031121"
"22003","2","5","31003112","310031122"
"91002","8","100","31003113","310031131"
"94002","12","150000","31003201","310032011"
"22003","2","5","31003201","310032012"
"94002","12","150000","31003202","310032021"
"22003","2","5","31003202","310032022"
"94002","12","150000","31003203","310032031"
"22003","2","5","31003203","310032032"
"91002","8","50","31003204","310032041"
"94002","12","150000","31003211","310032111"
"22003","2","5","31003211","310032112"
"94002","12","200000","31003212","310032121"
"22003","2","5","31003212","310032122"
"91002","8","100","31003213","310032131"
