ab1a503f5589708fc395a8947b5330a07f58587f11e2def1ff25c2fa18de2c40,cc51cc28248e35cbc5a2814d7bfe3af0a296d896e40bbaea1833e2c8c7578e8d,cab0553045352ae34003af373e478d5854ac42eaca0c3234250d5950dae8641e,e00e00efdb22d1c2327070009cbee5c9fe851fe14302cc2e2a789f2c944ed733,31a1838591414a949b5b95da35ad71a01c8a75e74fe7271f3fed4e017edb4628,fef16f2524b438481b189875f60a080b575acfe02848920dc7bd89a385ff2f79,dfa66b375136301fee6ac1992e44e1fab72cba58e75d6b3eb0ebe268a00d9254,50265bf17cf303bd952e81911ccec642a3fee170ebcc0d83d53bd47b8973553e,e4cb17df4c33c27f4494565dc6d2f5032cd59be25fe2e9d60da415145fbfd3b7
"20000","5000","50","0","0","0","30000","0","100111"
"20000","5000","50","0","0","0","30000","0","100112"
"20000","5000","50","0","0","0","30000","0","100113"
"30000","12500","125","0","0","0","45000","0","100121"
"30000","12500","125","0","0","0","45000","0","100122"
"30000","12500","125","0","0","0","45000","0","100123"
"40000","20000","200","0","0","0","60000","0","100131"
"40000","20000","200","0","0","0","60000","0","100132"
"40000","20000","200","0","0","0","60000","0","100133"
"20000","5000","50","0","0","0","30000","0","100211"
"20000","5000","50","0","0","0","30000","0","100212"
"20000","5000","50","0","0","0","30000","0","100213"
"30000","12500","125","0","0","0","45000","0","100221"
"30000","12500","125","0","0","0","45000","0","100222"
"30000","12500","125","0","0","0","45000","0","100223"
"40000","20000","200","0","0","0","60000","0","100231"
"40000","20000","200","0","0","0","60000","0","100232"
"40000","20000","200","0","0","0","60000","0","100233"
"20000","5000","50","0","0","0","30000","0","100311"
"20000","5000","50","0","0","0","30000","0","100312"
"20000","5000","50","0","0","0","30000","0","100313"
"30000","12500","125","0","0","0","45000","0","100321"
"30000","12500","125","0","0","0","45000","0","100322"
"30000","12500","125","0","0","0","45000","0","100323"
"40000","20000","200","0","0","0","60000","0","100331"
"40000","20000","200","0","0","0","60000","0","100332"
"40000","20000","200","0","0","0","60000","0","100333"
"20000","5000","50","0","0","0","30000","0","100411"
"20000","5000","50","0","0","0","30000","0","100412"
"20000","5000","50","0","0","0","30000","0","100413"
"30000","12500","125","0","0","0","45000","0","100421"
"30000","12500","125","0","0","0","45000","0","100422"
"30000","12500","125","0","0","0","45000","0","100423"
"40000","20000","200","0","0","0","60000","0","100431"
"40000","20000","200","0","0","0","60000","0","100432"
"40000","20000","200","0","0","0","60000","0","100433"
"20000","5000","50","0","0","0","30000","0","100511"
"20000","5000","50","0","0","0","30000","0","100512"
"20000","5000","50","0","0","0","30000","0","100513"
"30000","12500","125","0","0","0","45000","0","100521"
"30000","12500","125","0","0","0","45000","0","100522"
"30000","12500","125","0","0","0","45000","0","100523"
"40000","20000","200","0","0","0","60000","0","100531"
"40000","20000","200","0","0","0","60000","0","100532"
"40000","20000","200","0","0","0","60000","0","100533"
"20000","5000","50","0","0","0","30000","0","100611"
"20000","5000","50","0","0","0","30000","0","100612"
"20000","5000","50","0","0","0","30000","0","100613"
"30000","12500","125","0","0","0","45000","0","100621"
"30000","12500","125","0","0","0","45000","0","100622"
"30000","12500","125","0","0","0","45000","0","100623"
"40000","20000","200","0","0","0","60000","0","100631"
"40000","20000","200","0","0","0","60000","0","100632"
"40000","20000","200","0","0","0","60000","0","100633"
"20000","5000","50","0","0","0","30000","0","100711"
"20000","5000","50","0","0","0","30000","0","100712"
"20000","5000","50","0","0","0","30000","0","100713"
"30000","12500","125","0","0","0","45000","0","100721"
"30000","12500","125","0","0","0","45000","0","100722"
"30000","12500","125","0","0","0","45000","0","100723"
"40000","20000","200","0","0","0","60000","0","100731"
"40000","20000","200","0","0","0","60000","0","100732"
"40000","20000","200","0","0","0","60000","0","100733"
"20000","5000","50","0","0","0","30000","0","100811"
"20000","5000","50","0","0","0","30000","0","100812"
"20000","5000","50","0","0","0","30000","0","100813"
"30000","12500","125","0","0","0","45000","0","100821"
"30000","12500","125","0","0","0","45000","0","100822"
"30000","12500","125","0","0","0","45000","0","100823"
"40000","20000","200","0","0","0","60000","0","100831"
"40000","20000","200","0","0","0","60000","0","100832"
"40000","20000","200","0","0","0","60000","0","100833"
"20000","5000","50","0","0","0","30000","0","100911"
"20000","5000","50","0","0","0","30000","0","100912"
"20000","5000","50","0","0","0","30000","0","100913"
"30000","12500","125","0","0","0","45000","0","100921"
"30000","12500","125","0","0","0","45000","0","100922"
"30000","12500","125","0","0","0","45000","0","100923"
"40000","20000","200","0","0","0","60000","0","100931"
"40000","20000","200","0","0","0","60000","0","100932"
"40000","20000","200","0","0","0","60000","0","100933"
