dbafe27afe3f47dc24fad96a8711839bc21e6d476892a9fac90f5026b7fc3db2,60dd340d6085ad5e4dec5fe3b890665b52414921aec9997f6c665f4c40661d14,5d3b610222839d26a5199d3289cb08fb3a47814647b976f2c5efa743caae5ee6,19f8405fac7324ece8169d6a0317430b6dbb58980648462f1db08ef2a2d11364,c47e24e874e668c8312ff4486b583ab6b337f3c978bc2cd6d603e04669ff2090,35dc64e760f51d3e6e2091a0eeb33f165e8b438ae33c69a32d1db6fd09886bf0,b17b3e25afa4dee06038b127bb2a9c34be493da30e78b3afe766a9e576dc3048,b17c57d03524349eb6da5e49406460f8bd05dbbb7b8e9da3c775fb21cfd88901,25677b0702a6b916b3fb966a35a9a518c2ea157426d897537aa68085d2e90416,e0a3993fcbe6e809e7fd61a2c3cc3fb26d5b9ee25b2c82c2220286d2df273788,9d7e852906793b4d2c764744a529f10c604cd871a605d6ef14c8bda6905d73ba
"","1082","","イ","","","","","","",""
"","1107","","オ","","","","","","",""
"","1176","","","","","ツ","","","",""
"","1189","","ー","","","","","","ル","ホ"
"","1192","","ゥー","","","","","","",""
"","1245","","イ","","","","","","",""
"","1250","","","","ゃさ","","","","ちそ",""
"ナメア","2013","トメア","ト","ナイア","ア","ナ","イトメ","ナイト","メ","イ"
"ドソル","2014","ンドル","ラ","ランル","ル","ン","ラドソ","ランド","","ソ"
"そのう","2015","るのと","と","そるう","う","る","そのと","そるの","",""
"るのう","2016","のとう","と","るなと","の","る","なのと","るなう","う","な"
"ひてい","2017","くうて","う","ひくて","","く","ひうて","ひくう","い",""
"ふん","2019","","ゃ","ふゃ","ん","ふ","しん","ふゃ","し",""
"むゅわ","2020","ぎしゅ","し","ぎゅわ","ぎ","ゅ","むぎし","むしわ","む","わ"
"","2031","S","","E","","","","","",""
"","2032","","","","","","","AE","",""
"R","2033","","","A","","","","","",""
"I","2034","","","E","","","","","",""
"R","2036","","","UA","","","","","",""
"L","2037","","","E","","","E","Y","",""
"L","2038","","","E","","","V","I","",""
"I","2040","","","L","","","","","",""
"A","2041","","","","","","","","",""
"","2042","Y","","","","","","","",""
"A","2043","K","","","","","","","",""
"A","2045","","","","","","","","",""
"R","2046","Q","","","","","","","",""
"R","2047","","","A","","","","","",""
"A","2048","KQ","","","","","","","",""
"","2049","","","B","","","","","",""
"A","2050","","","U","","","","T","",""
"C","2052","","","EI","","","","P","",""
"A","2053","","","I","","","","T","",""
"","2054","","","","","","","S","",""
"R","2055","","","","","","","","",""
"","2056","","","V","","","","","",""
"WU","2058","","","","","","","","",""
"","2059","R","","","","","","","",""
"","2060","R","","","","","","","",""
"S","2062","","","","","","","","",""
"E","2063","","","A","","","S","S","",""
"A","2064","","","","","","","A","",""
"","2065","","","A","","","","S","",""
"","2066","C","","","","","","","",""
"","2067","","","B","","","","","",""
"","2068","L","","I","","","","","",""
"E","2069","C","","","","","","","",""
"","2070","","","E","","","D","","",""
"","2071","","","A","","","N","I","",""
"C","2074","","","","","","","A","",""
"A","2077","","","","","","","A","",""
"","2092","","","","し","ち","","","",""
"ァ","2130","フ","","ン","","","ム","ト","",""
"","2200","","聴言","","聞聴","か","","","わ","視"
"","2201","","","","ビブ","ー","","","",""
"","2202","","","","ル","","","","",""
"","2216","","飯","","","","","","鯉","麦"
"","2261","","ゅ","","","","","","う","し"
"","2264","","","","","ぅ","","","",""
"","2266","","ー","","","","","","",""
"","2295","","ふ","","き","ん","","","く","ひ"
"","2313","","","","だ","","","","",""
"ナ","3020","ル","","","","","","","",""
"","3066","","ェ","","","","","","","フ"
"","3068","","","","","","","","","く"
"","3073","","","","","","","","が",""
"","3084","","","","生","","","","",""
"","3158","","","","ア","","","","",""
"","3165","","","","","","","","ひ",""
"","3187","","","","か","","","","",""
"","3191","","","","シス","オ","","","デ",""
"","3193","","","","さ","ま","","","",""
"","3195","ブ","","","","","","","",""
"","3222","","","","","","","","ス",""
"","3238","","","","ず","","","","",""
"","3271","","","","帰","","","","",""
"","3277","","ク","","","","","","",""
"","3318","","","","","","","","ア",""
"","4029","","","","し","ち","","","",""
"","4049","","","","","X","","","",""
"","4052","","","","た","","","","",""
"","4077","","","","さ","","","","",""
"","4154","","","","","帯","","","",""
"","4157","","","そ","","","","","",""
"","4167","","","い","","","","","",""
"","4171","二","","","","","","","",""
"小","4194","","","","","","","倍","",""
"大","4195","","","","","","","約","",""
"","4196","","","","","","","","底","高"
"","4197","半","","","","","","","",""
"","4203","","","","く","","","","",""
"","4220","","","","","","","","ウ",""
"","4222","","ィ","","","","","","",""
"","4247","","","","","","","","","セ"
"","5010","","","","","","","","ー",""
"","5011","","","","","","","","ワ",""
"","5030","","","","","","テカ","ラモ","",""
"","5031","","","","","","レカ","オモ","",""
"","5051","","","","","","","","ー",""
"","5066","","お","","ら","","","","か",""
"","5100","","","","","","","","ぶ",""
"つ","5109","み","","","","","つ","じ","",""
"ウ","5140","カ","","ン","","","ー","タ","",""
"","5147","","","","","ロ","","","",""
"","5160","","","","","","","","と",""
"戌酉卯","5193","卯辰戌","牛","戌卯辰","","","卯戌子","戌酉子","虎",""
"","6060","","","","","ト","","","",""
"","6065","","","","","","","","ほ",""
"","6157","","","","ィ","","","","",""
"","6188","","","","","","ト","","",""
"","6203","","ン","","","","","","ド","イ"
"","6216","","","","ジ","ラ","","","ク",""
"ョ","6227","チ","","ウ","","","","","",""
