b34f44c9ac434407b314dd05cf25d5603e70f463912ff6f2999e1e35823a2d90,57e7bce7f13b368c0fd7c3e2405f1247650d1728bef594b2a33b7b2acdb6683d,07ea5570d78b29aa823fb1a82f36c622eef8bfb2048144a2824eb60054390ace,139abab6fa5e3310c82d53a48e273dca911c0867ac6e2effe8070a963e5c7bd8
"1","1","4301511","18"
"2","1","4301512","18"
"3","1","4301513","18"
"4","1","4301514","18"
"5","1","4301515","18"
"6","1","26202","2"
"1","2","4302511","18"
"2","2","4302512","18"
"3","2","4302513","18"
"4","2","4302514","18"
"5","2","4302515","18"
"6","2","26202","2"
"1","3","4303511","18"
"2","3","4303512","18"
"3","3","4303513","18"
"4","3","4303514","18"
"5","3","4303515","18"
"6","3","26202","2"
"1","4","4304511","18"
"2","4","4304512","18"
"3","4","4304513","18"
"4","4","4304514","18"
"5","4","4304515","18"
"6","4","26202","2"
"1","5","4305511","18"
"2","5","4305512","18"
"3","5","4305513","18"
"4","5","4305514","18"
"5","5","4305515","18"
"6","5","26202","2"
"1","6","4301516","18"
"2","6","4301517","18"
"3","6","4301518","18"
"4","6","4301519","18"
"5","6","4301520","18"
"6","6","26202","2"
"1","7","4302516","18"
"2","7","4302517","18"
"3","7","4302518","18"
"4","7","4302519","18"
"5","7","4302520","18"
"6","7","26202","2"
"1","8","4303516","18"
"2","8","4303517","18"
"3","8","4303518","18"
"4","8","4303519","18"
"5","8","4303520","18"
"6","8","26202","2"
"1","9","4304516","18"
"2","9","4304517","18"
"3","9","4304518","18"
"4","9","4304519","18"
"5","9","4304520","18"
"6","9","26202","2"
"1","10","4305516","18"
"2","10","4305517","18"
"3","10","4305518","18"
"4","10","4305519","18"
"5","10","4305520","18"
"6","10","26202","2"
