562453eb5e0ae2ae6766e26d2cde9ec3c972f7ffa7a35c4d27c1c97a5ac1c949,1bc83efaa8cbc0d89ec9f63f32363a54f06bcd7571dc214ea3174084824c616a,cfe188b5b1c026e3224b6f5fd9500cb7541ac39928d06955ecbf97391e87051c,1973c28fbde9e19a989b252d9b4a43f8d753b056c3ff574596d904622c09c306,2f7912cdba0846ef4c9963a31e10333b40051751d92504dc7eb7fa477a2bf252,885f2dc96cec72a12e25a9163c59c5a0d9968b9f17a247f874f1f3ad00ec78ea,b4dd02ff64f48f59a36700c052252a38504d557778d549dca9a938879c6bb743,ae24ed0fe8114057e9d141b53a9c7219d145eaa1d6db46983a37c3f7ae00a34e,0bf7034bc115f247b1c0a15263d53f00e685fe739235babb678a9a80c05ee499,25a64722526480cd6ed02a8a1244095af272075172170195ee84cc2bf89d43e6,b2752f52e1221c5037833f6cda7dcc916d82a97667286fc9398759aabe1c15ad,637122460b851a03d9e409b63d6ea73c95e70379598c94c7da04bf52c8f7b063,99fb1e6d3e2d14ee075f5558440973c02ec87afb4b8550da386d518b78034039,7c86cbcb9f476dbaada07f8b6000ef6fbf987f9517da499ea078091c3f10acf8,233038c566f79f1b7e24d4f235219296fbbaca00d414fb6c884d878d61083793
"ユイ、レイ、ヒヨリのシャドウを倒そう","9001","81010001","2019/01/18 14:59:59","81010001","0","3","0","2018/12/31 12:00:00","0","6011","601","0","103","10010"
"ボンノウを36個討滅しよう","9014","81010002","2019/01/18 14:59:59","81010002","0","36","0","2018/12/31 12:00:00","0","6011","601","0","104","10010"
"ボンノウを72個討滅しよう","9014","81010003","2019/01/18 14:59:59","81010003","0","72","0","2018/12/31 12:00:00","0","6011","601","0","105","10010"
"ボンノウを108個討滅しよう","9014","81010004","2019/01/18 14:59:59","81010004","0","108","0","2018/12/31 12:00:00","0","6011","601","0","106","10010"
"スペシャルバトルのボスのHPを1080000まで減らそう","9013","81010005","2019/01/18 14:59:59","81010005","0","500000","0","2018/12/31 12:00:00","0","6011","601","0","111","10010"
"スペシャルバトルのボスのHPを540000まで減らそう","9013","81010006","2019/01/18 14:59:59","81010006","0","1040000","0","2018/12/31 12:00:00","0","6011","601","0","113","10010"
"スペシャルバトルのボスを討滅しよう","9013","81010007","2019/01/18 14:59:59","81010007","0","1580000","0","2018/12/31 12:00:00","0","6011","601","0","115","10010"
"スペシャルバトルのボスのHPを5000000まで減らそう","9013","81011001","2019/02/18 14:59:59","81011001","0","500000","0","2019/01/31 12:00:00","0","6011","601","0","103","10011"
"スペシャルバトルのボスのHPを4000000まで減らそう","9013","81011002","2019/02/18 14:59:59","81011002","0","1500000","0","2019/01/31 12:00:00","0","6011","601","0","104","10011"
"スペシャルバトルのモード1をクリアしよう","9013","81011003","2019/02/18 14:59:59","81011003","0","1650000","0","2019/01/31 12:00:00","0","6011","601","0","105","10011"
"スペシャルバトルのボスのHPを2000000まで減らそう","9013","81011004","2019/02/18 14:59:59","81011004","0","3500000","0","2019/01/31 12:00:00","0","6011","601","0","106","10011"
"スペシャルバトルのモード2をクリアしよう","9013","81011005","2019/02/18 14:59:59","81011005","0","3300000","0","2019/01/31 12:00:00","0","6011","601","0","111","10011"
"スペシャルバトルのボスのHPを900000まで減らそう","9013","81011006","2019/02/18 14:59:59","81011006","0","4600000","0","2019/01/31 12:00:00","0","6011","601","0","113","10011"
"スペシャルバトルのボスを討滅しよう","9013","81011007","2019/02/18 14:59:59","81011007","0","5500000","0","2019/01/31 12:00:00","0","6011","601","0","115","10011"
"カオリ、マコト、マホ、カスミのシャドウを倒そう","9001","81012001","2019/03/18 14:59:59","81012001","0","4","0","2018/02/28 12:00:00","0","6011","601","0","103","10012"
"スペシャルバトルのボスのHPを2700000まで減らそう","9013","81012002","2019/03/18 14:59:59","81012002","0","450000","0","2018/02/28 12:00:00","0","6011","601","0","104","10012"
"スペシャルバトルのボスのHPを2100000まで減らそう","9013","81012003","2019/03/18 14:59:59","81012003","0","1050000","0","2018/02/28 12:00:00","0","6011","601","0","105","10012"
"スペシャルバトルのモード2をクリアしよう","9013","81012004","2019/03/18 14:59:59","81012004","0","1543500","0","2018/02/28 12:00:00","0","6011","601","0","106","10012"
"スペシャルバトルのボスのHPを1000000まで減らそう","9013","81012005","2019/03/18 14:59:59","81012005","0","2150000","0","2018/02/28 12:00:00","0","6011","601","0","111","10012"
"スペシャルバトルのボスのHPを500000まで減らそう","9013","81012006","2019/03/18 14:59:59","81012006","0","2650000","0","2018/02/28 12:00:00","0","6011","601","0","113","10012"
"スペシャルバトルのボスを討滅しよう","9013","81012007","2019/03/18 14:59:59","81012007","0","3150000","0","2018/02/28 12:00:00","0","6011","601","0","115","10012"
"ペコリーヌ、コッコロ、キャルのシャドウを倒そう","9001","81013001","2019/04/14 14:59:59","81013001","0","3","0","2019/03/31 12:00:00","0","6011","601","0","103","10013"
"スペシャルバトルのボスのHPを2700000まで減らそう","9013","81013002","2019/04/14 14:59:59","81013002","0","300000","0","2019/03/31 12:00:00","0","6011","601","0","104","10013"
"スペシャルバトルのボスのHPを2100000まで減らそう","9013","81013003","2019/04/14 14:59:59","81013003","0","900000","0","2019/03/31 12:00:00","0","6011","601","0","105","10013"
"スペシャルバトルのモード2をクリアしよう","9013","81013004","2019/04/14 14:59:59","81013004","0","1500000","0","2019/03/31 12:00:00","0","6011","601","0","106","10013"
"スペシャルバトルのボスのHPを1000000まで減らそう","9013","81013005","2019/04/14 14:59:59","81013005","0","2000000","0","2019/03/31 12:00:00","0","6011","601","0","111","10013"
"スペシャルバトルのボスのHPを500000まで減らそう","9013","81013006","2019/04/14 14:59:59","81013006","0","2500000","0","2019/03/31 12:00:00","0","6011","601","0","113","10013"
"スペシャルバトルのボスを討滅しよう","9013","81013007","2019/04/14 14:59:59","81013007","0","3000000","0","2019/03/31 12:00:00","0","6011","601","0","115","10013"
"モニカ、アユミ、ユキのシャドウを倒そう","9001","81015001","2019/05/16 14:59:59","81015001","0","3","0","2019/04/30 12:00:00","0","6011","601","0","103","10015"
"スペシャルバトルのボスのHPを1200000まで減らそう","9013","81015002","2019/05/16 14:59:59","81015002","0","300000","0","2019/04/30 12:00:00","0","6011","601","0","104","10015"
"スペシャルバトルのボスのHPを1000000まで減らそう","9013","81015003","2019/05/16 14:59:59","81015003","0","500000","0","2019/04/30 12:00:00","0","6011","601","0","105","10015"
"スペシャルバトルのモード2をクリアしよう","9013","81015004","2019/05/16 14:59:59","81015004","0","750000","0","2019/04/30 12:00:00","0","6011","601","0","106","10015"
"スペシャルバトルのボスのHPを400000まで減らそう","9013","81015005","2019/05/16 14:59:59","81015005","0","1100000","0","2019/04/30 12:00:00","0","6011","601","0","111","10015"
"スペシャルバトルのボスのHPを200000まで減らそう","9013","81015006","2019/05/16 14:59:59","81015006","0","1300000","0","2019/04/30 12:00:00","0","6011","601","0","113","10015"
"スペシャルバトルのボスを討滅しよう","9013","81015007","2019/05/16 14:59:59","81015007","0","1500000","0","2019/04/30 12:00:00","0","6011","601","0","115","10015"
"レムとラムのシャドウを倒そう","9001","81017001","2019/06/18 14:59:59","81017001","0","2","0","2019/05/31 12:00:00","0","6011","601","0","103","10017"
"スペシャルバトルのボスのHPを2850000まで減らそう","9013","81017002","2019/06/18 14:59:59","81017002","0","300000","0","2019/05/31 12:00:00","0","6011","601","0","104","10017"
"スペシャルバトルのボスのHPを2250000まで減らそう","9013","81017003","2019/06/18 14:59:59","81017003","0","900000","0","2019/05/31 12:00:00","0","6011","601","0","105","10017"
"スペシャルバトルのボスのHPを1650000まで減らそう","9013","81017004","2019/06/18 14:59:59","81017004","0","1500000","0","2019/05/31 12:00:00","0","6011","601","0","106","10017"
"スペシャルバトルのボスのHPを1150000まで減らそう","9013","81017005","2019/06/18 14:59:59","81017005","0","2000000","0","2019/05/31 12:00:00","0","6011","601","0","111","10017"
"スペシャルバトルのボスのHPを650000まで減らそう","9013","81017006","2019/06/18 14:59:59","81017006","0","2500000","0","2019/05/31 12:00:00","0","6011","601","0","113","10017"
"スペシャルバトルのボスのHPを150000まで減らそう","9013","81017007","2019/06/18 14:59:59","81017007","0","3000000","0","2019/05/31 12:00:00","0","6011","601","0","115","10017"
"スペシャルかエキシビションのバトルでボスを5回以内に討伐しよう","9015","81017008","2019/06/18 14:59:59","81017008","5","1","0","2019/05/31 12:00:00","0","6011","601","0","118","10017"
"雨神様のバリアを破ろう","9014","81019001","2019/07/18 14:59:59","81019001","0","200","0","2019/06/30 12:00:00","4","6011","601","0","103","10019"
"スペシャルバトルのボスのHPを3600000まで減らそう","9013","81019002","2019/07/18 14:59:59","81019002","0","900000","0","2019/06/30 12:00:00","1","6011","601","0","104","10019"
"スペシャルバトルのボスのHPを3000000まで減らそう","9013","81019003","2019/07/18 14:59:59","81019003","0","1500000","0","2019/06/30 12:00:00","1","6011","601","0","105","10019"
"スペシャルバトルのMODE2をクリアしよう","9013","81019004","2019/07/18 14:59:59","81019004","0","2250000","0","2019/06/30 12:00:00","1","6011","601","0","106","10019"
"スペシャルバトルのボスのHPを1200000まで減らそう","9013","81019005","2019/07/18 14:59:59","81019005","0","3300000","0","2019/06/30 12:00:00","1","6011","601","0","111","10019"
