e2bd27ff4a8832935d78ae2300951c416867086bba0bd1e235f3e5cf0e5fbe63,f50d9efcdac60958de20c62e6f575a4e23d1971dd099d57271187431bceaf855,2a0fb0983098241dd3f986a71ac3c62416d2d4835d0074a4920a525ab5149c42,3c54f738c0ee2fa958331a2532184adfff0449a080d332072448d36fda907fd7,d1df730f5be22764ca2f83e60877214c90d4131ddc56f3a2f2a5870cb6425cc2,55a44dfb4a8d24e2d8319b44f2217762f68d8479cec93fb5a10847d3fa542286,1a853408006ee02fc2a6441453243dc3c89dbda5bcf22ae636258f9e1b2e9b6c
"1","50","0","50","9999999","1","0"
"2","80","0","20","9999999","2","0"
"3","30","0","70","2000","3","0"
"4","40","30","30","5000","3","0"
"5","40","40","0","10000","3","20"
"6","30","40","0","15000","3","30"
"7","25","40","0","20000","3","35"
"8","20","40","0","25000","3","40"
"9","15","40","0","30000","3","45"
"10","10","40","0","35000","3","50"
"11","10","35","0","40000","3","55"
"12","5","35","0","45000","3","60"
"13","5","30","0","50000","3","65"
"14","0","30","0","55000","3","70"
"15","0","25","0","60000","3","75"
"16","0","20","0","65000","3","80"
"17","0","15","0","70000","3","85"
"18","0","10","0","75000","3","90"
"19","0","5","0","80000","3","95"
"20","0","0","0","9999999","3","100"
