75181ddcd94b4697fc3ff0d3b36b5eaf1ff8db488175f53a2c5d74ae3c90c3d0,1642743decb8e70afc3afab7ff173d55ced3beeb051912d97687961206429b13,76e053124db541c6ee155c2ff9c75a6fd43aecc1d768f79c4c6c2ee03e245794,5e0a217292534de3140cd55e14b01f9f99e82a8c8cb2ebbad5e95e51d9be8b6c,0c8ca9a33b5272a45333ce4720ee401a01ca85e83ee2d2c88294404b25257c15
"1006001","-1","301","1006201","1006001"
"1006011","-1","301","1006211","1006011"
"1007002","-1","301","1007202","1007002"
"1007011","-1","301","1007211","1007011"
"1007012","-1","301","1007212","1007012"
"1008003","-1","261","1008203","1008003"
"1018003","-1","261","1018203","1018003"
"1018011","-1","261","1018211","1018011"
"1018012","-1","261","1018212","1018012"
"1022012","-1","261","1022212","1022012"
"1026011","-1","301","1026211","1026011"
"1028003","-1","261","1028203","1028003"
"1034003","-1","261","1034203","1034003"
"1037003","-1","261","1037203","1037003"
"1038002","-1","261","1038202","1038002"
"1038003","-1","261","1038203","1038003"
"1038012","-1","261","1038212","1038012"
"1045002","-1","301","1045202","1045002"
"1045012","-1","301","1045212","1045012"
"1046003","-1","261","1046203","1046003"
"1056002","-1","301","1056202","1056002"
"1056012","-1","301","1056212","1056012"
"1057003","-1","261","1057203","1057003"
"1063003","-1","261","1063203","1063003"
"1067003","-1","261","1067203","1067003"
"1071001","-1","301","1071201","1071001"
"1071011","-1","301","1071211","1071011"
"1071012","-1","261","1071212","1071012"
"1079002","-1","261","1079202","1079002"
"1079012","-1","261","1079212","1079012"
"1082002","-1","261","1082202","1082002"
"1082012","-1","261","1082212","1082012"
"1083012","-1","261","1083212","1083012"
"1084003","-1","261","1084203","1084003"
"1084013","-1","261","1084213","1084013"
"1085012","-1","261","1085212","1085012"
"1089002","-1","301","1089202","1089002"
"1089012","-1","301","1089212","1089012"
"1091002","-1","261","1091202","1091002"
"1091012","-1","261","1091212","1091012"
"1103002","-1","261","1103202","1103002"
"1103012","-1","261","1103212","1103012"
"1106002","-1","261","1106202","1106002"
"1106012","-1","261","1106212","1106012"
"1110002","-1","261","1110202","1110002"
"1110012","-1","261","1110212","1110012"
"1114002","-1","261","1114202","1114002"
"1114012","-1","261","1114212","1114012"
"1118012","-1","261","1118212","1118012"
"1119002","-1","301","1119202","1119002"
"1119012","-1","301","1119212","1119012"
"1122001","-1","261","1122201","1122001"
"1122002","-1","261","1122202","1122002"
"1122012","-1","261","1122212","1122012"
"1124002","-1","261","1124202","1124002"
"1124012","-1","261","1124212","1124012"
"1125002","-1","301","1125202","1125002"
"1125012","-1","301","1125212","1125012"
"1126012","-1","261","1126212","1126012"
"1129002","-1","261","1129202","1129002"
"1129012","-1","261","1129212","1129012"
"1134002","-1","261","1134202","1134002"
"1134012","-1","261","1134212","1134012"
"1137012","-1","261","1137212","1137012"
"1138001","-1","261","1138201","1138001"
"1139003","-1","301","1139203","1139003"
"1141012","-1","261","1141212","1141012"
"1146002","-1","261","1146202","1146002"
"1146012","-1","261","1146212","1146012"
"1150002","-1","261","1150202","1150002"
"1150012","-1","261","1150212","1150012"
"1155003","-1","261","1155203","1155003"
"1156003","-1","261","1156203","1156003"
"1158003","-1","261","1158203","1158003"
"1158101","-1","261","1158201","1158101"
"1158111","-1","261","1158211","1158111"
"1160003","-1","261","1160203","1160003"
"1164003","-1","261","1164203","1164003"
"1166003","-1","261","1166203","1166003"
"1168003","-1","261","1168203","1168003"
"1170003","-1","261","1170203","1170003"
"1172003","-1","261","1172203","1172003"
"1176003","-1","261","1176203","1176003"
"1179003","-1","261","1179203","1179003"
"1190003","-1","261","1190203","1190003"
"1209003","-1","261","1209203","1209003"
"1211001","-1","261","1211201","1211001"
"1211002","-1","261","1211202","1211002"
"1211012","-1","261","1211212","1211012"
"1213002","-1","261","1213202","1213002"
"1215003","-1","261","1215203","1215003"
"1701003","-1","261","1701203","1701003"
"1802002","-1","261","1802202","1802002"
"1802012","-1","261","1802212","1802012"
"1807002","-1","261","1807202","1807002"
"1807012","-1","261","1807212","1807012"
