37eb5d03557482917460fc9f67ab0199f351ad26c73e89580bd14f9c303a1aa7,24a39a3c0b38c9909e53e5b5986246e048be8c0d3eb83f4d2221908078d32220,31132bc863b02c129614b63354158836d974616efa27a8b259648f853950d2b7,f29e3c79075bbceed89d95a9db5b3c8517a6a18ed0c618296ec862cb3c80d780
"1st Anniversary スペシャルログインボーナス","2019/02/15 5:00:00","10000","2019/03/01 4:59:59"
"GW スペシャルログインボーナス","2019/04/27 5:00:00","10001","2019/05/07 4:59:59"
"1.5Year Anniversary スペシャルログインボーナス","2019/08/15 5:00:00","10002","2019/09/01 4:59:59"
"2nd Anniversary スペシャルログインボーナス","2020/02/15 5:00:00","10003","2020/03/01 4:59:59"
"2.5 Year Anniversary スペシャルログインボーナス","2020/08/15 5:00:00","10004","2020/09/01 4:59:59"
"3rd Anniversary スペシャルログインボーナス","2021/02/15 5:00:00","10005","2021/03/01 4:59:59"
"3.5 Year Anniversary スペシャルログインボーナス","2021/08/15 5:00:00","10006","2021/09/01 4:59:59"
"4th Anniversary スペシャルログインボーナス","2022/02/15 5:00:00","10007","2022/03/01 4:59:59"
"4.5 Year Anniversary スペシャルログインボーナス","2022/08/15 5:00:00","10008","2022/09/01 4:59:59"
"5th Anniversary スペシャルログインボーナス","2023/02/15 5:00:00","10009","2023/03/01 4:59:59"
"5.5 Year Anniversary スペシャルログインボーナス","2023/08/15 5:00:00","10010","2023/09/01 4:59:59"
"6th Anniversary スペシャルログインボーナス","2024/02/15 5:00:00","10011","2024/03/01 4:59:59"
"6.5 Year Anniversary スペシャルログインボーナス","2024/08/15 5:00:00","10012","2024/09/01 4:59:59"
"7th Year Anniversary スペシャルログインボーナス","2025/02/15 5:00:00","10013","2025/03/01 4:59:59"
"7.5 Year Anniversary スペシャルログインボーナス","2025/08/15 5:00:00","10014","2025/09/01 4:59:59"
"8th Anniversary スペシャルログインボーナス","2026/02/15 5:00:00","10015","2026/03/01 4:59:59"
