a7b08fe3a5cccfc0c1c3c91cad97483b6977fed3089a0599b303300bad808a12,6fe3c4a5f65be3390a7438b1be5696dd031679dc1df88585c181dea920ddad02,f62f1ee45cff740f4fb0164938243d56f88b54bcdcd47c0b535df281c1c49bed,614b92535b576005297e910662c02e1b9c565e5704d11931e24a80026ff860dc,bb39e14b810d79721fa7af63cab9666e4dd3837aa8a0e340d86fedbe3930d5bb,3f5c6b28ec3bb0e052e5afd4756c0564e59d8dd5d985d670f485860d70e55e77,5be8a23ff8d092a28bd6eb5aa1e4fd440c443baf1b15b999514b0bb32155122a,ba6ea286f26abab9abe49bc662b579e65ed63fa84fee10d4d21b96650a785e77,db5c5f3888c725626a09317c3d5dd9041ad3a93fe97e36fcf8625bb9acc20cca,4a50973cf2b56a99a757cbb2c35c36643a7ed3fb77570ad524abe57bb7482b48,7cebef70c3cfbbfd60fdca1878e343726683db1b2f69047c94452cb17cbdfcfe
"1001","0","62011","2025/01/31 12:00:00","2025/01/23 15:00:00","2025/02/23 4:59:59","101","1","10201","1020101","1001"
"1002","0","62021","2025/02/28 12:00:00","2025/02/20 15:00:00","2025/03/23 4:59:59","102","1","10202","1020201","1001"
"1003","0","62031","2025/03/31 12:00:00","2025/03/31 11:59:59","2025/04/23 4:59:59","102","1","10203","1020301","1001"
"1004","0","62041","2025/04/30 12:00:00","2025/04/26 20:00:00","2025/05/23 4:59:59","102","1","10204","1020401","1001"
"1005","0","62051","2025/05/31 12:00:00","2025/05/23 15:00:00","2025/06/23 4:59:59","102","1","10205","1020501","1001"
"1006","0","62061","2025/06/30 12:00:00","2025/06/26 15:00:00","2025/07/23 4:59:59","102","1","10206","1020601","1001"
"1007","0","62071","2025/07/31 12:00:00","2025/07/23 15:00:00","2025/08/23 4:59:59","102","1","10207","1020701","1001"
"1008","0","62081","2025/08/31 12:00:00","2025/08/22 15:00:00","2025/09/23 4:59:59","102","1","10208","1020801","1001"
"1009","0","62091","2025/09/30 12:00:00","2025/09/22 15:00:00","2025/10/23 4:59:59","102","1","10209","1020901","1001"
"1010","0","62101","2025/10/31 12:00:00","2025/10/27 15:00:00","2025/11/23 4:59:59","103","1","10210","1021001","1001"
"1011","0","62111","2025/11/30 12:00:00","2025/11/21 15:00:00","2025/12/23 4:59:59","102","1","10211","1021101","1001"
"1012","0","62121","2025/12/31 12:00:00","2025/12/26 21:00:00","2026/01/23 4:59:59","102","1","10212","1021201","1001"
"1013","0","62131","2026/01/31 12:00:00","2026/01/26 15:00:00","2026/02/23 4:59:59","104","1","10213","1021301","1001"
"1014","0","62141","2026/02/28 12:00:00","2026/02/20 15:00:00","2026/03/23 4:59:59","105","1","10214","1021401","1001"
"1015","0","62151","2026/03/31 12:00:00","2026/03/27 15:00:00","2026/04/23 4:59:59","105","1","10215","1021501","1001"
"1016","0","62012","2026/04/10 12:00:00","2026/04/04 15:00:00","2026/04/23 4:59:59","201","2","10201","1020102","2001"
"1017","1017","62161","2026/04/30 12:00:00","2026/04/25 20:00:00","2026/05/23 4:59:59","106","1","10216","1021601","1001"
"1018","0","62022","2026/05/16 12:00:00","2026/05/11 15:00:00","2026/05/23 4:59:59","202","2","10202","1020202","2002"
"1019","0","62171","2026/05/31 12:00:00","2026/05/27 20:00:00","2026/06/23 4:59:59","105","1","10217","1021701","1001"
"1020","0","62032","2026/06/16 12:00:00","2026/06/11 15:00:00","2026/06/23 4:59:59","202","2","10203","1020302","2002"
"1021","0","62181","2026/06/30 12:00:00","2026/06/26 15:00:00","2026/07/23 4:59:59","105","1","10218","1021801","1001"
