6f91238c4ec1426d3f86b0aaf56ffb4864748c0db781b54c17c5cb973e935e36,f78ff32f25c4341f508de555aa5542b6007223f46ec944fca3e6f89cf6a6cfac,2db5933fa83778954d2e1a3755b24406a29542b51da814129fa7faa7a46cdf32,b78a064a00edc38a5725cc592b379f66f331a4220757ab948435ff1377b06251,7c29e67816e8b8e3c6bb17e8a4c412771bc07369e28aa639bf056af5877dd302,e91e91a0c92b36c50d1b1f8744a0c04a3b31d121fa55bbd030192aa4baca1b21,c3853705277372fd2a6dc8978904816d69544df6a9cac1beb9a652dd92c96389,1da7a396ac78fbf57556219603144a18ec6ba49230ba2b135d84cbf5648851cb,cf933d6f3f34ccc478556a3a47a338edf0d0139af84021ec23df255729568a44,d47b8f30b3389228f1173d9a85fd865c2b193ca7ef19aa0cd7bdc6fda54adc38,f76a23122ed8f0c5173aad9e86a3667a586539634cf170b37a1d4e9f288114cb,40afef8909bd1aaf39e02a96e12a68c991215ef9a64291d0a4fdfbcac391c019
"924073101","92407120","924072101","92407","90","924071100","92407110","1","500000000","1","1","0"
"924073102","92407130","924072102","92407","90","924071200","92407120","2","1000000000","2","1","92407110"
"924073103","92407140","924072103","92407","90","924071300","92407130","3","1500000000","3","1","92407120"
"924073104","0","924072104","92407","90","924071400","92407140","3","0","4","1","92407130"
"924073201","92407220","924072201","92407","90","924072100","92407210","1","500000000","1","1","0"
"924073202","92407230","924072202","92407","90","924072200","92407220","2","1000000000","2","1","92407210"
"924073203","92407240","924072203","92407","90","924072300","92407230","3","1500000000","3","1","92407220"
"924073204","0","924072204","92407","90","924072400","92407240","3","0","4","1","92407230"
"924073301","92407320","924072301","92407","90","924073100","92407310","1","500000000","1","1","0"
"924073302","92407330","924072302","92407","90","924073200","92407320","2","1000000000","2","1","92407310"
"924073303","92407340","924072303","92407","90","924073300","92407330","3","1500000000","3","1","92407320"
"924073304","0","924072304","92407","90","924073400","92407340","3","0","4","1","92407330"
"924083101","92408120","924082101","92408","90","924081100","92408110","1","500000000","1","1","0"
"924083102","92408130","924082102","92408","90","924081200","92408120","2","1000000000","2","1","92408110"
"924083103","92408140","924082103","92408","90","924081300","92408130","3","1500000000","3","1","92408120"
"924083104","0","924082104","92408","90","924081400","92408140","3","0","4","1","92408130"
"924083201","92408220","924082201","92408","90","924082100","92408210","1","500000000","1","1","0"
"924083202","92408230","924082202","92408","90","924082200","92408220","2","1000000000","2","1","92408210"
"924083203","92408240","924082203","92408","90","924082300","92408230","3","1500000000","3","1","92408220"
"924083204","0","924082204","92408","90","924082400","92408240","3","0","4","1","92408230"
"924083301","92408320","924082301","92408","90","924083100","92408310","1","500000000","1","1","0"
"924083302","92408330","924082302","92408","90","924083200","92408320","2","1000000000","2","1","92408310"
"924083303","92408340","924082303","92408","90","924083300","92408330","3","1500000000","3","1","92408320"
"924083304","0","924082304","92408","90","924083400","92408340","3","0","4","1","92408330"
"924093101","92409120","924092101","92409","90","924091100","92409110","1","500000000","1","1","0"
"924093102","92409130","924092102","92409","90","924091200","92409120","2","1000000000","2","1","92409110"
"924093103","92409140","924092103","92409","90","924091300","92409130","3","1500000000","3","1","92409120"
"924093104","0","924092104","92409","90","924091400","92409140","4","0","4","1","92409130"
"924093201","92409220","924092201","92409","90","924092100","92409210","1","500000000","1","1","0"
"924093202","92409230","924092202","92409","90","924092200","92409220","2","1000000000","2","1","92409210"
"924093203","92409240","924092203","92409","90","924092300","92409230","3","1500000000","3","1","92409220"
"924093204","0","924092204","92409","90","924092400","92409240","4","0","4","1","92409230"
"924093301","92409320","924092301","92409","90","924093100","92409310","1","500000000","1","1","0"
"924093302","92409330","924092302","92409","90","924093200","92409320","2","1000000000","2","1","92409310"
"924093303","92409340","924092303","92409","90","924093300","92409330","3","1500000000","3","1","92409320"
"924093304","0","924092304","92409","90","924093400","92409340","4","0","4","1","92409330"
"924103101","92410120","924102101","92410","90","924101100","92410110","1","500000000","1","1","0"
"924103102","92410130","924102102","92410","90","924101200","92410120","2","1000000000","2","1","92410110"
"924103103","92410140","924102103","92410","90","924101300","92410130","3","1500000000","3","1","92410120"
"924103104","0","924102104","92410","90","924101400","92410140","4","0","4","1","92410130"
"924103201","92410220","924102201","92410","90","924102100","92410210","1","500000000","1","1","0"
"924103202","92410230","924102202","92410","90","924102200","92410220","2","1000000000","2","1","92410210"
"924103203","92410240","924102203","92410","90","924102300","92410230","3","1500000000","3","1","92410220"
"924103204","0","924102204","92410","90","924102400","92410240","4","0","4","1","92410230"
"924103301","92410320","924102301","92410","90","924103100","92410310","1","500000000","1","1","0"
"924103302","92410330","924102302","92410","90","924103200","92410320","2","1000000000","2","1","92410310"
"924103303","92410340","924102303","92410","90","924103300","92410330","3","1500000000","3","1","92410320"
"924103304","0","924102304","92410","90","924103400","92410340","4","0","4","1","92410330"
"924113101","92411120","924112101","92411","90","924111100","92411110","1","500000000","1","1","0"
"924113102","92411130","924112102","92411","90","924111200","92411120","2","1000000000","2","1","92411110"
"924113103","92411140","924112103","92411","90","924111300","92411130","3","1500000000","3","1","92411120"
"924113104","0","924112104","92411","90","924111400","92411140","4","0","4","1","92411130"
"924113201","92411220","924112201","92411","90","924112100","92411210","1","500000000","1","1","0"
"924113202","92411230","924112202","92411","90","924112200","92411220","2","1000000000","2","1","92411210"
"924113203","92411240","924112203","92411","90","924112300","92411230","3","1500000000","3","1","92411220"
"924113204","0","924112204","92411","90","924112400","92411240","4","0","4","1","92411230"
"924113301","92411320","924112301","92411","90","924113100","92411310","1","500000000","1","1","0"
"924113302","92411330","924112302","92411","90","924113200","92411320","2","1000000000","2","1","92411310"
"924113303","92411340","924112303","92411","90","924113300","92411330","3","1500000000","3","1","92411320"
"924113304","0","924112304","92411","90","924113400","92411340","4","0","4","1","92411330"
"924123101","92412120","924122101","92412","90","924121100","92412110","1","500000000","1","1","0"
"924123102","92412130","924122102","92412","90","924121200","92412120","2","1000000000","2","1","92412110"
"924123103","92412140","924122103","92412","90","924121300","92412130","3","1500000000","3","1","92412120"
"924123104","0","924122104","92412","90","924121400","92412140","4","0","4","1","92412130"
"924123201","92412220","924122201","92412","90","924122100","92412210","1","500000000","1","1","0"
"924123202","92412230","924122202","92412","90","924122200","92412220","2","1000000000","2","1","92412210"
"924123203","92412240","924122203","92412","90","924122300","92412230","3","1500000000","3","1","92412220"
"924123204","0","924122204","92412","90","924122400","92412240","4","0","4","1","92412230"
"924123301","92412320","924122301","92412","90","924123100","92412310","1","500000000","1","1","0"
"924123302","92412330","924122302","92412","90","924123200","92412320","2","1000000000","2","1","92412310"
"924123303","92412340","924122303","92412","90","924123300","92412330","3","1500000000","3","1","92412320"
"924123304","0","924122304","92412","90","924123400","92412340","4","0","4","1","92412330"
"924143101","92414120","924142101","92414","90","924141100","92414110","1","500000000","1","1","0"
"924143102","92414130","924142102","92414","90","924141200","92414120","2","1000000000","2","1","92414110"
"924143103","92414140","924142103","92414","90","924141300","92414130","3","1500000000","3","1","92414120"
"924143104","0","924142104","92414","90","924141400","92414140","4","0","4","1","92414130"
"924143201","92414220","924142201","92414","90","924142100","92414210","1","500000000","1","1","0"
