420d2495ea812b89c3f94156628f7d37a6532c19945f4286a0fa0f8172460556,d6fc848249c68407dd1288152a7fc378bf071e7e350cd4bcf63edabc2c5eaf04,b4a0b6f5341d4e29bf6217192073b9fa68ce151b6d9690c913b837d952009791,27556b58adb6c6f05144697f1480c67864727058aa13ac28ef8c40edba606882,47b0caa44d32b2a444ea9e8f0e9d8496a0175cffc231ddc559f910322d4d2d56,09f1edb45051f76f412151fa9b454623cc20757c5fbcb98f292e92c3fd600254,0d4a8ceb85d9db1b9581a045e3fb4c2207a0dfa6329bd832e4f59278986abf0d
"10201","10201101","2025/01/31 12:00:00","10201101","0","1","5201401"
"10201","10201151","2025/02/06 12:00:00","10201102","0","1","5201402"
"10201","13","2025/01/31 12:00:00","10201201","5201010","2","5201411"
"10202","10202101","2025/02/28 12:00:00","10202101","0","1","5202401"
"10202","7","2025/02/28 12:00:00","10202201","0","2","5202411"
"10203","10203101","2025/03/31 12:00:00","10203101","0","1","5203401"
"10203","7","2025/03/31 12:00:00","10203201","5203007","2","5203411"
"10204","10204101","2025/04/30 12:00:00","10204101","0","1","5204401"
"10204","23","2025/04/30 12:00:00","10204201","5204006","2","5204411"
"10205","10205101","2025/05/31 12:00:00","10205101","0","1","5205401"
"10205","23","2025/05/31 12:00:00","10205201","0","2","5205411"
"10206","10206101","2025/06/30 12:00:00","10206101","0","1","5206401"
"10206","23","2025/06/30 12:00:00","10206201","5206007","2","5206411"
"10207","10207101","2025/07/31 12:00:00","10207101","0","1","5207401"
"10207","23","2025/07/31 12:00:00","10207201","5207007","2","5207411"
"10208","10208101","2025/08/31 12:00:00","10208101","0","1","5208401"
"10208","23","2025/08/31 12:00:00","10208201","5208007","2","5208411"
"10209","10209101","2025/09/30 12:00:00","10209101","0","1","5209401"
"10209","23","2025/09/30 12:00:00","10209201","5209007","2","5209411"
"10210","10210101","2025/10/31 12:00:00","10210101","0","1","5210401"
"10210","23","2025/10/31 12:00:00","10210201","5210000","2","5210411"
"10211","10211101","2025/11/30 12:00:00","10211101","0","1","5211401"
"10211","23","2025/11/30 12:00:00","10211201","5211006","2","5211411"
"10212","10212101","2025/12/31 12:00:00","10212101","0","1","5212401"
"10212","23","2025/12/31 12:00:00","10212201","5212007","2","5212411"
"10213","10213101","2026/01/31 12:00:00","10213101","0","1","5213401"
"10213","10213151","2026/02/12 12:00:00","10213102","0","1","5213402"
"10213","23","2026/01/31 12:00:00","10213201","5213013","2","5213411"
"10213","0","2026/02/12 12:00:00","10213302","0","3","5213602"
"10214","10214101","2026/02/28 12:00:00","10214101","0","1","5214401"
"10214","23","2026/02/28 12:00:00","10214201","5214006","2","5214411"
"10215","10215101","2026/03/31 12:00:00","10215101","0","1","5215401"
"10215","23","2026/03/31 12:00:00","10215201","5215006","2","5215411"
"10216","10216101","2026/04/30 12:00:00","10216101","0","1","5216401"
"10216","23","2026/04/30 12:00:00","10216201","5216007","2","5216411"
"10217","10217101","2026/05/31 12:00:00","10217101","0","1","5217401"
"10217","23","2026/05/31 12:00:00","10217201","5217007","2","5217411"
"10218","10218101","2026/06/30 12:00:00","10218101","0","1","5218401"
"10218","23","2026/06/30 12:00:00","10218201","5218006","2","5218411"
