eb30f3761fca076022084c581ddd253b75cf03adfbc633454c3d13c9dfd0c4ec,f6e73ea58f8960f52a806d06e7f43684ddb6b57b735a4aa4c3c4fdd9d4f961fb,0090ecb259be71e3607add5003b45f2df0f03834c9b4c674b45aaba252dca668,88da47e1a1d2fdd976b40c5f3670857c2bc0d4b4f56e52dcbd3978bbf952acd3,f5a0b1fdb9a99e435e8a4d033f2402b895cb1d7362bfbb98b561a2a39e9acc31,30a70a142b371f385436769e3c77c4db84ea8a8c41b23e8663958e1776b9913f,ea44dfbb0ccaf7cf04bd0b706f1cc14d15b19ef5d3d0477b022d011785242afb,aeba082e8e2c2a6300986fac591646d97558a0533afa1234748b85fafbdbc2b5,1a21018444b6a01ff565961509bfa12d73e1f7b3aa9883c1c68aaa64e7be4d22,379ce90ede24c867cdbe08081a6c017da0b0fac111fd16fb571e7ad32da8f28c,a281308d42b4e60399dc1651239c3b6512ab258aaa6a257d890349ef15d417f1,22d19dd731f13e221aa96a7a641103f14fff1f36db6796c25d306df131bbd4fc,f0d786006f9c0af4295d9afe7e0f4fec2e10acfe0d88a6a43b2b29c87eee99ae,afa555747a5037d6309954eaddc0f084b87131b63530fa0f7e605c20c3431190,fbd0dd93c01eeb11b313a04e36965d97b090cab9c1c55b1f9a82304f7cdbef84,7ad9d10c3957fa72c0385f3577e00dd82559b0abe46414ad599e2fc607b4cf6e
"トゥインクルウィッシュ","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","ヒヨリ","155","人助け、応援","東山奈央","44","獣人族","8","A","人助けが大好き！　前向き格闘娘","2","100101","16","0","27"
"トゥインクルウィッシュ","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","ユイ","158","料理、人間観察","種田梨沙","47","ヒューマン","4","O","戦闘のサポートが得意な、心優しい少女","2","100201","17","0","5"
"トゥインクルウィッシュ","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","レイ","163","読書、乗馬、お茶","早見沙織","46","魔族","1","B","クールで何事にも真っ直ぐな剣士","2","100301","18","0","12"
"リトルリリカル","イタズラなら任せて！\nにいちゃん、引っかからないように気を付けなよー♪","ミソギ","128","いたずら、探検","諸星すみれ","27","ヒューマン","8","O","探検好きのイタズラっ子","5","100401","9","0","10"
"王宮騎士団（NIGHTMARE）","？？？","マツリ","146","ヒーローごっこ","下田麻美","40","獣人族","11","O","ヒーローに憧れる騎士見習いの少女","8","100501","12","0","25"
"悪魔偽王国軍（ディアボロス）","アカリ、まだわからないことが多くて…\nだからこれから\nいろいろ教えてくださいね、お兄ちゃん！","アカリ","150","サックス","浅倉杏美","42","魔族","11","O","甘え上手なみんなの人気者","7","100601","13","0","22"
"悪魔偽王国軍（ディアボロス）","難しいことはわからないの～\nただ毎日プリンを食べられるなら、\n幽霊のままでいいの～","ミヤコ","130","プリンを食べること","雨宮天","32","魔族","1","B","プリン大好きゴースト娘","7","100701","14","0","23"
"ヴァイスフリューゲル　ランドソル支部","ボクって本当に美しいなあ…\n可愛くて美しいなんて本当に罪だと思うけど\n生まれもったものだから仕方ないんだ♪","ユキ","150","鏡で自分を見ること","大空直美","40","エルフ","10","AB","ボクは誰よりも美しい","15","100801","14","0","10"
"トワイライトキャラバン","いいか、絶対に私を真名で呼ぶなよ？\n常に「機関」の眼や耳の存在を疑え\nそれが、生きのびるための術だ…！","アンナ","159","小説執筆","髙野麻美","45","魔族","7","A","前世を信じる中二病患者、「疾風の冥姫」","13","100901","17","0","5"
"自警団（カォン）","マホマホ王国のお姫はんの、マホ姫どす！\nけったいな顔してどないしはったん？\nマホマホ王国はずーっと遠くの国なんどす？","マホ","155","空想、ぬいぐるみ集め","内田真礼","42","獣人族","9","O","マホマホ王国のプリンセス","10","101001","16","0","22"
