20bd58977bc26d2734e4e17588c7abd8654e3259f502c51b4c125f64a419eafe,f91df44f3167fe07b7aa3977e5f13e6d699773e92726b31020e79b093a8353dd,47b8be801783f1d313e5fddfdb64494c6a85b82f2b3991be14377020e48ce552,0ebc3800d40d60f9952975c2b4c3bea9bba5021c5fddc046f9ea6533b968edf7,4a5c3b0550cb6f84f65cd448572be11cbfb6d88f8c45332a3c94e1045da87f29,6ca43cc1b83aaa7418fdb076cea30620de512f6eecbd7e06ae23d49366f81b42,cc1ce7d2244ad8cecf3f60e927bd5fbe0fc0993f02d39509e2f2df9da12036ed,47195f55d4128ba523f6a3ad30b7c4e447f7687adf20e10ffcd795b86ecc4c39,892d983f499f49a0eb511d2ce5ce6e185fad2ae080828c0af0824ba61a38e8e0
"11","320010106","1","1","0.7","502001102","0","1","43.5"
"67","320010106","2","3","0.65","502001103","0","2","13"
"49","320010106","3","2","0.65","0","0","3","-74"
"13","320010107","1","1","0.7","502001108","0","4","-49"
"62","320010107","2","3","0.85","502001109","0","5","-4"
"50","320010107","3","2","0.65","0","0","6","59"
"-10","320010108","1","1","1.05","0","0","7","0"
"-10","320010109","1","1","1.05","0","0","8","-15"
"-45","320010110","1","1","0.43","0","0","9","-85"
"-45","320010110","2","2","0.43","0","0","10","85"
"11","320010206","1","1","0.7","502001202","0","11","43.5"
"67","320010206","2","3","0.65","502001203","0","12","13"
"49","320010206","3","2","0.65","0","0","13","-74"
"13","320010207","1","1","0.7","502001208","0","14","-49"
"62","320010207","2","3","0.85","502001209","0","15","-4"
"50","320010207","3","2","0.65","0","0","16","59"
"-10","320010208","1","1","1.05","0","0","17","0"
"-10","320010209","1","1","1.05","0","0","18","-15"
"-45","320010210","1","1","0.43","0","0","19","-85"
"-45","320010210","2","2","0.43","0","0","20","85"
"11","320010306","1","1","0.7","502001302","0","21","43.5"
"67","320010306","2","3","0.65","502001303","0","22","13"
"49","320010306","3","2","0.65","0","0","23","-74"
"13","320010307","1","1","0.7","502001308","0","24","-49"
"62","320010307","2","3","0.85","502001309","0","25","-4"
"50","320010307","3","2","0.65","0","0","26","59"
"-10","320010308","1","1","1.05","0","0","27","0"
"-10","320010309","1","1","1.05","0","0","28","-15"
"-45","320010310","1","1","0.43","0","0","29","-85"
"-45","320010310","2","2","0.43","0","0","30","85"
"11","320010406","1","1","0.7","502001402","0","31","43.5"
"67","320010406","2","3","0.65","502001403","0","32","13"
"49","320010406","3","2","0.65","0","0","33","-74"
"13","320010407","1","1","0.7","502001408","0","34","-49"
"62","320010407","2","3","0.85","502001409","0","35","-4"
"50","320010407","3","2","0.65","0","0","36","59"
"-10","320010408","1","1","1.05","0","0","37","0"
"-10","320010409","1","1","1.05","0","0","38","-15"
"-45","320010410","1","1","0.43","0","0","39","-85"
"-45","320010410","2","2","0.43","0","0","40","85"
"11","320010506","1","1","0.7","502001502","0","41","43.5"
"67","320010506","2","3","0.65","502001503","0","42","13"
"49","320010506","3","2","0.65","0","0","43","-74"
"13","320010507","1","1","0.7","502001508","0","44","-49"
"62","320010507","2","3","0.85","502001509","0","45","-4"
"50","320010507","3","2","0.65","0","0","46","59"
"-10","320010508","1","1","1.05","0","0","47","0"
"-10","320010509","1","1","1.05","0","0","48","-15"
"-45","320010510","1","1","0.43","0","0","49","-85"
"-45","320010510","2","2","0.43","0","0","50","85"
"11","320020106","1","1","0.7","502002102","0","51","43.5"
"67","320020106","2","3","0.65","502002103","0","52","13"
"49","320020106","3","2","0.65","0","0","53","-74"
"13","320020107","1","1","0.7","502002108","0","54","-49"
"62","320020107","2","3","0.85","502002109","0","55","-4"
"50","320020107","3","2","0.65","0","0","56","59"
"-10","320020108","1","1","1.05","0","0","57","0"
"-10","320020109","1","1","1.05","0","0","58","-15"
"-45","320020110","1","1","0.43","0","0","59","-85"
"-45","320020110","2","2","0.43","0","0","60","85"
"11","320020206","1","1","0.7","502002202","0","61","43.5"
"67","320020206","2","3","0.65","502002203","0","62","13"
"49","320020206","3","2","0.65","0","0","63","-74"
"13","320020207","1","1","0.7","502002208","0","64","-49"
"62","320020207","2","3","0.85","502002209","0","65","-4"
"50","320020207","3","2","0.65","0","0","66","59"
"-10","320020208","1","1","1.05","0","0","67","0"
"-10","320020209","1","1","1.05","0","0","68","-15"
"-45","320020210","1","1","0.43","0","0","69","-85"
"-45","320020210","2","2","0.43","0","0","70","85"
"11","320020306","1","1","0.7","502002302","0","71","43.5"
"67","320020306","2","3","0.65","502002303","0","72","13"
"49","320020306","3","2","0.65","0","0","73","-74"
"13","320020307","1","1","0.7","502002308","0","74","-49"
"62","320020307","2","3","0.85","502002309","0","75","-4"
"50","320020307","3","2","0.65","0","0","76","59"
"-10","320020308","1","1","1.05","0","0","77","0"
"-10","320020309","1","1","1.05","0","0","78","-15"
"-45","320020310","1","1","0.43","0","0","79","-85"
"-45","320020310","2","2","0.43","0","0","80","85"
"11","320020406","1","1","0.7","502002402","0","81","43.5"
"67","320020406","2","3","0.65","502002403","0","82","13"
"49","320020406","3","2","0.65","0","0","83","-74"
"13","320020407","1","1","0.7","502002408","0","84","-49"
"62","320020407","2","3","0.85","502002409","0","85","-4"
"50","320020407","3","2","0.65","0","0","86","59"
"-10","320020408","1","1","1.05","0","0","87","0"
"-10","320020409","1","1","1.05","0","0","88","-15"
"-45","320020410","1","1","0.43","0","0","89","-85"
"-45","320020410","2","2","0.43","0","0","90","85"
"11","320020506","1","1","0.7","502002502","0","91","43.5"
"67","320020506","2","3","0.65","502002503","0","92","13"
"49","320020506","3","2","0.65","0","0","93","-74"
"13","320020507","1","1","0.7","502002508","0","94","-49"
"62","320020507","2","3","0.85","502002509","0","95","-4"
"50","320020507","3","2","0.65","0","0","96","59"
"-10","320020508","1","1","1.05","0","0","97","0"
"-10","320020509","1","1","1.05","0","0","98","-15"
"-45","320020510","1","1","0.43","0","0","99","-85"
"-45","320020510","2","2","0.43","0","0","100","85"
"11","320030106","1","1","0.7","502003102","0","101","43.5"
"67","320030106","2","2","0.65","502003103","0","102","13"
"49","320030106","3","3","0.65","0","0","103","-74"
"13","320030107","1","1","0.7","502003108","0","104","-49"
"62","320030107","2","3","0.85","502003109","0","105","-4"
"50","320030107","3","2","0.65","0","0","106","59"
"-10","320030108","1","1","1.05","0","0","107","0"
"-10","320030109","1","1","1.05","0","0","108","-15"
"-45","320030110","1","1","0.43","0","0","109","-85"
"-45","320030110","2","2","0.43","0","0","110","85"
"11","320030206","1","1","0.7","502003202","0","111","43.5"
"67","320030206","2","2","0.65","502003203","0","112","13"
"49","320030206","3","3","0.65","0","0","113","-74"
"13","320030207","1","1","0.7","502003208","0","114","-49"
"62","320030207","2","3","0.85","502003209","0","115","-4"
"50","320030207","3","2","0.65","0","0","116","59"
"-10","320030208","1","1","1.05","0","0","117","0"
"-10","320030209","1","1","1.05","0","0","118","-15"
"-45","320030210","1","1","0.43","0","0","119","-85"
"-45","320030210","2","2","0.43","0","0","120","85"
"11","320030306","1","1","0.7","502003302","0","121","43.5"
"67","320030306","2","2","0.65","502003303","0","122","13"
"49","320030306","3","3","0.65","0","0","123","-74"
"13","320030307","1","1","0.7","502003308","0","124","-49"
"62","320030307","2","3","0.85","502003309","0","125","-4"
"50","320030307","3","2","0.65","0","0","126","59"
"-10","320030308","1","1","1.05","0","0","127","0"
"-10","320030309","1","1","1.05","0","0","128","-15"
"-45","320030310","1","1","0.43","0","0","129","-85"
"-45","320030310","2","2","0.43","0","0","130","85"
"11","320030406","1","1","0.7","502003402","0","131","43.5"
"67","320030406","2","2","0.65","502003403","0","132","13"
"49","320030406","3","3","0.65","0","0","133","-74"
"13","320030407","1","1","0.7","502003408","0","134","-49"
"62","320030407","2","3","0.85","502003409","0","135","-4"
"50","320030407","3","2","0.65","0","0","136","59"
"-10","320030408","1","1","1.05","0","0","137","0"
"-10","320030409","1","1","1.05","0","0","138","-15"
"-45","320030410","1","1","0.43","0","0","139","-85"
"-45","320030410","2","2","0.43","0","0","140","85"
"11","320030506","1","1","0.7","502003502","0","141","43.5"
"67","320030506","2","2","0.65","502003503","0","142","13"
"49","320030506","3","3","0.65","0","0","143","-74"
"13","320030507","1","1","0.7","502003508","0","144","-49"
"62","320030507","2","3","0.85","502003509","0","145","-4"
"50","320030507","3","2","0.65","0","0","146","59"
"-10","320030508","1","1","1.05","0","0","147","0"
"-10","320030509","1","1","1.05","0","0","148","-15"
"-45","320030510","1","1","0.43","0","0","149","-85"
"-45","320030510","2","2","0.43","0","0","150","85"
"49","320040106","1","1","0.7","502004103","0","151","-74"
"67","320040106","2","3","0.85","502004104","0","152","13"
"11","320040106","3","2","0.65","0","0","153","43.5"
"50","320040107","1","1","0.7","502004107","0","154","59"
"62","320040107","2","3","0.85","502004109","0","155","-4"
"13","320040107","3","2","0.65","0","0","156","-49"
"-10","320040108","1","1","0.8","0","0","157","0"
"20","320040109","1","1","0.9","0","0","158","30"
"-25","320040110","1","1","1","0","0","159","20"
"49","320040206","1","1","0.7","502004203","0","160","-74"
"67","320040206","2","3","0.85","502004204","0","161","13"
"11","320040206","3","2","0.65","0","0","162","43.5"
"50","320040207","1","1","0.7","502004207","0","163","59"
"62","320040207","2","3","0.85","502004209","0","164","-4"
"13","320040207","3","2","0.65","0","0","165","-49"
"-10","320040208","1","1","0.8","0","0","166","0"
"20","320040209","1","1","0.9","0","0","167","30"
"-25","320040210","1","1","1","0","0","168","20"
"49","320040306","1","1","0.7","502004303","0","169","-74"
"67","320040306","2","3","0.85","502004304","0","170","13"
"11","320040306","3","2","0.65","0","0","171","43.5"
"50","320040307","1","1","0.7","502004307","0","172","59"
"62","320040307","2","3","0.85","502004309","0","173","-4"
"13","320040307","3","2","0.65","0","0","174","-49"
"-10","320040308","1","1","0.8","0","0","175","0"
"20","320040309","1","1","0.9","0","0","176","30"
"-25","320040310","1","1","1","0","0","177","20"
"49","320040406","1","1","0.7","502004403","0","178","-74"
"67","320040406","2","3","0.85","502004404","0","179","13"
"11","320040406","3","2","0.65","0","0","180","43.5"
"50","320040407","1","1","0.7","502004407","0","181","59"
"62","320040407","2","3","0.85","502004409","0","182","-4"
"13","320040407","3","2","0.65","0","0","183","-49"
"-10","320040408","1","1","0.8","0","0","184","0"
"20","320040409","1","1","0.9","0","0","185","30"
"-25","320040410","1","1","1","0","0","186","20"
"49","320040506","1","1","0.7","502004503","0","187","-74"
"67","320040506","2","3","0.85","502004504","0","188","13"
"11","320040506","3","2","0.65","0","0","189","43.5"
"50","320040507","1","1","0.7","502004507","0","190","59"
"62","320040507","2","3","0.85","502004509","0","191","-4"
"13","320040507","3","2","0.65","0","0","192","-49"
"-10","320040508","1","1","0.8","0","0","193","0"
"20","320040509","1","1","0.9","0","0","194","30"
"-25","320040510","1","1","1","0","0","195","20"
"40","320050106","1","2","0.7","502005101","0","196","-74"
"67","320050106","2","3","1","502005103","0","197","13"
"11","320050106","3","1","0.65","0","0","198","43.5"
"50","320050107","1","2","0.7","502005106","0","199","59"
"62","320050107","2","3","0.9","502005108","0","200","30"
"13","320050107","3","1","0.65","0","0","201","-49"
"10","320050108","1","1","0.75","0","0","202","5"
"10","320050109","1","1","0.75","0","0","203","-10"
"-25","320050110","1","1","1","0","0","204","20"
"40","320050206","1","2","0.7","502005201","0","205","-74"
"67","320050206","2","3","1","502005203","0","206","13"
"11","320050206","3","1","0.65","0","0","207","43.5"
"50","320050207","1","2","0.7","502005206","0","208","59"
"62","320050207","2","3","0.9","502005208","0","209","30"
"13","320050207","3","1","0.65","0","0","210","-49"
"10","320050208","1","1","0.75","0","0","211","5"
"10","320050209","1","1","0.75","0","0","212","-10"
"-25","320050210","1","1","1","0","0","213","20"
"40","320050306","1","2","0.7","502005301","0","214","-74"
"67","320050306","2","3","1","502005303","0","215","13"
"11","320050306","3","1","0.65","0","0","216","43.5"
"50","320050307","1","2","0.7","502005306","0","217","59"
"62","320050307","2","3","0.9","502005308","0","218","30"
"13","320050307","3","1","0.65","0","0","219","-49"
"10","320050308","1","1","0.75","0","0","220","5"
"10","320050309","1","1","0.75","0","0","221","-10"
"-25","320050310","1","1","1","0","0","222","20"
"40","320050406","1","2","0.7","502005401","0","223","-74"
"67","320050406","2","3","1","502005403","0","224","13"
"11","320050406","3","1","0.65","0","0","225","43.5"
"50","320050407","1","2","0.7","502005406","0","226","59"
"62","320050407","2","3","0.9","502005408","0","227","30"
"13","320050407","3","1","0.65","0","0","228","-49"
"10","320050408","1","1","0.75","0","0","229","5"
"10","320050409","1","1","0.75","0","0","230","-10"
"-25","320050410","1","1","1","0","0","231","20"
"40","320050506","1","2","0.7","502005501","0","232","-74"
"67","320050506","2","3","1","502005503","0","233","13"
"11","320050506","3","1","0.65","0","0","234","43.5"
"50","320050507","1","2","0.7","502005506","0","235","59"
"62","320050507","2","3","0.9","502005508","0","236","30"
"13","320050507","3","1","0.65","0","0","237","-49"
"10","320050508","1","1","0.75","0","0","238","5"
"10","320050509","1","1","0.75","0","0","239","-10"
"-25","320050510","1","1","1","0","0","240","20"
"40","320060106","1","2","0.7","502006101","0","241","-74"
"67","320060106","2","3","0.7","502006103","0","242","13"
"11","320060106","3","1","0.65","0","0","243","43.5"
"50","320060107","1","2","0.7","502006106","0","244","59"
"62","320060107","2","3","0.9","502006108","0","245","30"
"13","320060107","3","1","0.65","0","0","246","-49"
"10","320060108","1","1","1","0","0","247","5"
"10","320060109","1","1","1.2","0","0","248","-10"
"-25","320060110","1","1","1","0","0","249","20"
"40","320060206","1","2","0.7","502006201","0","250","-74"
"67","320060206","2","3","0.7","502006203","0","251","13"
"11","320060206","3","1","0.65","0","0","252","43.5"
"50","320060207","1","2","0.7","502006206","0","253","59"
"62","320060207","2","3","0.9","502006208","0","254","30"
"13","320060207","3","1","0.65","0","0","255","-49"
"10","320060208","1","1","1","0","0","256","5"
"10","320060209","1","1","1.2","0","0","257","-10"
"-25","320060210","1","1","1","0","0","258","20"
"40","320060306","1","2","0.7","502006301","0","259","-74"
"67","320060306","2","3","0.7","502006303","0","260","13"
"11","320060306","3","1","0.65","0","0","261","43.5"
"50","320060307","1","2","0.7","502006306","0","262","59"
"62","320060307","2","3","0.9","502006308","0","263","30"
"13","320060307","3","1","0.65","0","0","264","-49"
"10","320060308","1","1","1","0","0","265","5"
"10","320060309","1","1","1.2","0","0","266","-10"
"-25","320060310","1","1","1","0","0","267","20"
"40","320060406","1","2","0.7","502006401","0","268","-74"
"67","320060406","2","3","0.7","502006403","0","269","13"
"11","320060406","3","1","0.65","0","0","270","43.5"
