5e332c5aaca347a2f77ad37d0c761117b68310675ac868f5b868ea19da6cd34d,dcb91440f5074d66daec8639c2857055c94132629db87cbae8ae709666edb287,f0b82de589f0f36396fc1a445f5b05e20d610de1d5c4860a48bcea55f95bc12c,cafccf3a10cc55b8c8bbaa418fb7b60a891b6e0eb4259ccedf6c66affaba0dc1,07c08dd7a72d72081fec94e6de2a64d85f37b2e77ab84157daa4d18a63e466fb,894324db2a269f33294911f6e34fd28d73765ea5f76ff19a05ec2c5b72b15fe0,64fe688964dc32a3ca9f01f5eeb3191b89867818a56d711702f36a1d9dcf61ef,c8a1b200956aec1a69539c259a394ea771df2f46798a5533e8e263294feef97e,8465b9255e35c61f7a0ce19b28349371ecd79b6d2972647396383d88608dea7a,88893acfc7dfae6f79c2320ab5f3206075ffdb8c895a00344d543640b25ec8ff,aaef30c43244576e8917c811f6fde6b2ec1be485cd4e0cc9540ef36e40728154
"","23","se_10053800","","","se_fpc_water_random","","","","11010001","101"
"-850","1","1","-180","1.75","<unit_id>","cmn_swm_tread","0","23","11010002","101"
"-850","5","1","-180","1.75","1","cmn_swm_tread_pink","0","22","11010003","101"
"-180","31","3","1","1","3","","","-850","11010004","101"
"","91","0","","","0","","","","11010005","101"
"10","2","<unit_id>","","","850","","","-180","11010006","101"
"10","2","1","","","850","","","-180","11010007","101"
"10","33","3","","","850","","","-180","11010008","101"
"","23","se_10053800","","","se_fpc_water_random","","","","11020001","102"
"-850","1","1","-180","1.75","<unit_id>","cmn_swm_tread","0","23","11020002","102"
"-850","5","1","-180","1.75","1","cmn_swm_tread_blue","0","22","11020003","102"
"-180","31","3","1","1","3","","","-850","11020004","102"
"","91","0","","","0","","","","11020005","102"
"10","2","<unit_id>","","","850","","","-180","11020006","102"
"10","2","1","","","850","","","-180","11020007","102"
"10","33","3","","","850","","","-180","11020008","102"
"","23","se_10053800","","","se_fpc_water_random","","","","11030001","103"
"-850","1","1","-180","1.75","<unit_id>","cmn_swm_tread","0","23","11030002","103"
"-850","5","1","-180","1.75","1","cmn_swm_tread","0","22","11030003","103"
"-180","31","3","1","1","3","","","-850","11030004","103"
"","91","0","","","0","","","","11030005","103"
"10","2","<unit_id>","","","850","","","-180","11030006","103"
"10","2","1","","","850","","","-180","11030007","103"
"10","33","3","","","850","","","-180","11030008","103"
"","23","se_10053800","","","se_fpc_water_random","","","","11510001","151"
"-850","1","1","-180","1.75","<unit_id>","cmn_swm_flutterKick","0","22","11510002","151"
"-180","31","1","1","1","1","","","-850","11510003","151"
"","91","0","","","0","","","","11510004","151"
"10","2","<unit_id>","","","1050","","","-180","11510005","151"
"10","33","1","","","1050","","","-180","11510006","151"
"","23","se_10053800","","","se_fpc_water_random","","","","12010001","201"
"-850","1","1","-180","1.75","<unit_id>","cmn_swm_breastStroke","0","22","12010002","201"
"-180","31","2","1","1","2","","","-850","12010003","201"
"","91","0","","","0","","","","12010004","201"
"10","2","<unit_id>","","","850","","","-180","12010005","201"
"10","33","2","","","850","","","-180","12010006","201"
"","23","se_10053800","","","se_fpc_water_random","","","","12510001","251"
"-850","1","1","-180","1.75","<unit_id>","cmn_swm_diving","0","22","12510002","251"
"-180","31","9","1","1","9","","","-850","12510003","251"
"","91","0","","","0","","","","12510004","251"
"10","2","<unit_id>","","","850","","","-180","12510005","251"
"10","33","9","","","850","","","-180","12510006","251"
"","23","se_10053800","","","se_fpc_water_random","","","","13010001","301"
"-850","1","1","-180","1.75","<unit_id>","cmn_swm_flutterKick_floatRing","0","23","13010002","301"
"-850","5","1","-180","1.75","1","cmn_swm_flutterKick_floatRing_pink","0","22","13010003","301"
"-180","31","1","1","1","1","","","-850","13010004","301"
"","91","0","","","0","","","","13010005","301"
"10","2","<unit_id>","","","1050","","","-180","13010006","301"
"10","2","1","","","1050","","","-180","13010007","301"
"10","33","1","","","1050","","","-180","13010008","301"
"","23","se_10053800","","","se_fpc_water_random","","","","13020001","302"
"-850","1","1","-180","1.75","<unit_id>","cmn_swm_flutterKick_floatRing","0","23","13020002","302"
"-850","5","1","-180","1.75","1","cmn_swm_flutterKick_floatRing_blue","0","22","13020003","302"
"-180","31","1","1","1","1","","","-850","13020004","302"
"","91","0","","","0","","","","13020005","302"
"10","2","<unit_id>","","","1050","","","-180","13020006","302"
"10","2","1","","","1050","","","-180","13020007","302"
"10","33","1","","","1050","","","-180","13020008","302"
"","23","se_10053800","","","se_fpc_water_random","","","","13030001","303"
"-850","1","1","-180","1.75","<unit_id>","cmn_swm_flutterKick_floatRing","0","23","13030002","303"
"-850","5","1","-180","1.75","1","cmn_swm_flutterKick_floatRing","0","22","13030003","303"
"-180","31","1","1","1","1","","","-850","13030004","303"
"","91","0","","","0","","","","13030005","303"
"10","2","<unit_id>","","","1050","","","-180","13030006","303"
"10","2","1","","","1050","","","-180","13030007","303"
"10","33","1","","","1050","","","-180","13030008","303"
"","23","se_10053800","","","se_fpc_water_random","","","","13510001","351"
"-850","1","1","-180","1.75","<unit_id>","cmn_swm_flutterKick_floatRing","0","23","13510002","351"
"-850","5","1","-180","1.75","1","cmn_swm_flutterKick_floatBoad","0","22","13510003","351"
"-180","31","1","1","1","1","","","-850","13510004","351"
"","91","0","","","0","","","","13510005","351"
"10","2","<unit_id>","","","1050","","","-180","13510006","351"
"10","2","1","","","1050","","","-180","13510007","351"
"10","33","1","","","1050","","","-180","13510008","351"
"","23","se_10053800","","","se_fpc_water_random","","","","13520001","352"
"-850","1","1","-180","1.75","<unit_id>","cmn_swm_flutterKick_floatRing","0","23","13520002","352"
"-850","5","1","-180","1.75","1","cmn_swm_flutterKick_floatBoad_blue","0","22","13520003","352"
"-180","31","1","1","1","1","","","-850","13520004","352"
"","91","0","","","0","","","","13520005","352"
"10","2","<unit_id>","","","1050","","","-180","13520006","352"
"10","2","1","","","1050","","","-180","13520007","352"
"10","33","1","","","1050","","","-180","13520008","352"
"","23","se_10053800","","","se_fpc_water_random","","","","14010001","401"
"-850","1","1","-180","1.75","<unit_id>","cmn_float","0","22","14010002","401"
"-180","31","6","1","1","6","","","-850","14010003","401"
"","91","0","","","0","","","","14010004","401"
"10","2","<unit_id>","","","1050","","","-180","14010005","401"
"10","33","6","","","1050","","","-180","14010006","401"
"","23","se_10053800","","","se_fpc_water_random","","","","14020001","402"
"-850","1","1","-180","1.75","<unit_id>","cmn_float_4","0","22","14020002","402"
"-180","31","6","1","1","6","","","-850","14020003","402"
"","91","0","","","0","","","","14020004","402"
"10","2","<unit_id>","","","1050","","","-180","14020005","402"
"10","33","6","","","1050","","","-180","14020006","402"
"","23","se_10053800","","","se_fpc_water_random","","","","14510001","451"
"-850","1","1","-180","1.75","<unit_id>","cmn_crawl","0","22","14510002","451"
"-180","31","1","1","1","1","","","-850","14510003","451"
"","91","0","","","0","","","","14510004","451"
"10","2","<unit_id>","","","1050","","","-180","14510005","451"
"10","33","1","","","1050","","","-180","14510006","451"
"","23","se_10053800","","","se_fpc_water_random","","","","15010001","501"
"-850","1","1","-250","1.75","<unit_id>","cmn_surfing","0","45","15010002","501"
"-850","5","6","-250","1.75","6","cmn_surfing","0","44","15010003","501"
"-250","31","11","1","1","11","","","-850","15010004","501"
"","91","0","","","0","","","","15010005","501"
"6","2","<unit_id>","","","1800","","","-250","15010006","501"
"6","2","6","","","1800","","","-250","15010007","501"
"6","33","11","","","1800","","","-250","15010008","501"
"","23","se_10053800","","","se_10053800_surfing_wave","","","","15010009","501"
"","23","se_10053800","","","se_fpc_water_random","","","","18510001","851"
"-850","1","1","-125","1.75","107511","cmn_surfing","0","45","18510002","851"
"-1100","1","1","-250","1.75","107611","cmn_surfing","0","45","18510003","851"
"-1350","1","1","-125","1.75","107811","cmn_surfing","0","45","18510004","851"
"-850","5","6","-125","1.75","1","cmn_surfing","0","44","18510005","851"
"-1100","5","6","-250","1.75","2","cmn_surfing","0","44","18510006","851"
"-1350","5","6","-125","1.75","3","cmn_surfing","0","44","18510007","851"
"-125","31","11","1","1","1","","","-850","18510008","851"
"-250","31","11","1","1","2","","","-1100","18510009","851"
"-125","31","11","1","1","3","","","-1350","18510010","851"
"6","2","107511","","","2350","","","-125","18510011","851"
"6","2","107611","","","2100","","","-250","18510012","851"
"6","2","107811","","","1850","","","-125","18510013","851"
"6","2","1","","","2350","","","-125","18510014","851"
"6","2","2","","","2100","","","-250","18510015","851"
"6","2","3","","","1850","","","-125","18510016","851"
"6","33","1","","","2350","","","-125","18510017","851"
"6","33","2","","","2100","","","-250","18510018","851"
"6","33","3","","","1850","","","-125","18510019","851"
"","23","se_10053800","","","se_10053800_surfing_wave","","","","18510020","851"
"","93","0.3","","","","","","","18510021","851"
"0","21","vo_fpc","","","vo_fpc_85101","","","","18510022","851"
"","23","se_10053800","","","se_fpc_water_random","","","","18520001","852"
"-850","1","1","-125","1.75","122411","cmn_swm_flutterKick_floatRing","0","13","18520002","852"
"-1100","1","1","-250","1.75","122511","cmn_swm_flutterKick_floatRing","0","33","18520003","852"
"-1350","1","1","-125","1.75","122611","cmn_swm_flutterKick_floatRing","0","13","18520004","852"
"-850","5","1","-125","1.75","1","cmn_swm_flutterKick_floatRing","0","12","18520005","852"
"-1100","5","1","-250","1.75","2","cmn_swm_flutterKick_floatRing_blue","0","32","18520006","852"
"-1350","5","1","-125","1.75","3","cmn_swm_flutterKick_floatRing_pink","0","12","18520007","852"
"-125","31","7","1","1","1","","","-850","18520008","852"
"-250","31","1","1","1","2","","","-1100","18520009","852"
"-125","31","7","1","1","3","","","-1350","18520010","852"
"10","2","122411","","","1750","","","-125","18520011","852"
"10","2","122511","","","1500","","","-250","18520012","852"
"10","2","122611","","","1250","","","-125","18520013","852"
"10","2","1","","","1750","","","-125","18520014","852"
"10","2","2","","","1500","","","-250","18520015","852"
"10","2","3","","","1250","","","-125","18520016","852"
"10","33","1","","","1750","","","-125","18520017","852"
"10","33","2","","","1500","","","-250","18520018","852"
"10","33","3","","","1250","","","-125","18520019","852"
"","23","se_10053800","","","se_fpc_water_random","","","","18530001","853"
"-850","1","1","-125","1.75","117211","cmn_swm_breastStroke","0","12","18530002","853"
"-1100","1","1","-250","1.75","117311","cmn_swm_breastStroke","0","32","18530003","853"
"-1350","1","1","-125","1.75","117411","cmn_swm_breastStroke","0","12","18530004","853"
"-125","31","2","1","1","1","","","-850","18530005","853"
"-250","31","2","1","1","2","","","-1100","18530006","853"
"-125","31","2","1","1","3","","","-1350","18530007","853"
"10","2","117211","","","1750","","","-125","18530008","853"
"10","2","117311","","","1500","","","-250","18530009","853"
"10","2","117411","","","1250","","","-125","18530010","853"
"10","33","1","","","1750","","","-125","18530011","853"
"10","33","2","","","1500","","","-250","18530012","853"
"10","33","3","","","1250","","","-125","18530013","853"
"","23","se_10053800","","","se_fpc_water_random","","","","18540001","854"
"-850","1","1","-125","1.75","122711","cmn_swm_flutterKick_floatRing","0","13","18540002","854"
"-1100","1","1","-250","1.75","122811","cmn_swm_flutterKick_floatRing","0","33","18540003","854"
"-1350","1","1","-125","1.75","122911","cmn_swm_flutterKick_floatRing","0","13","18540004","854"
"-850","5","1","-125","1.75","1","cmn_swm_flutterKick_floatBoad","0","12","18540005","854"
"-1100","5","1","-250","1.75","2","cmn_swm_flutterKick_floatBoad_blue","0","32","18540006","854"
"-1350","5","1","-125","1.75","3","cmn_swm_flutterKick_floatBoad","0","12","18540007","854"
"-125","31","7","1","1","1","","","-850","18540008","854"
"-250","31","1","1","1","2","","","-1100","18540009","854"
"-125","31","7","1","1","3","","","-1350","18540010","854"
"10","2","122711","","","1750","","","-125","18540011","854"
"10","2","122811","","","1500","","","-250","18540012","854"
"10","2","122911","","","1250","","","-125","18540013","854"
"10","2","1","","","1750","","","-125","18540014","854"
"10","2","2","","","1500","","","-250","18540015","854"
"10","2","3","","","1250","","","-125","18540016","854"
"10","33","1","","","1750","","","-125","18540017","854"
"10","33","2","","","1500","","","-250","18540018","854"
"10","33","3","","","1250","","","-125","18540019","854"
"","23","se_10053800","","","se_fpc_water_random","","","","18550001","855"
"-850","1","1","-125","1.75","113411","cmn_swm_flutterKick_floatRing","0","13","18550002","855"
"-1100","1","1","-250","1.75","113511","cmn_swm_flutterKick_floatRing","0","33","18550003","855"
"-850","5","1","-125","1.75","1","cmn_swm_flutterKick_floatBoad","0","12","18550004","855"
"-1100","5","1","-250","1.75","2","cmn_swm_flutterKick_floatBoad_blue","0","32","18550005","855"
"-125","31","7","1","1","1","","","-850","18550006","855"
"-250","31","1","1","1","2","","","-1100","18550007","855"
"10","2","113411","","","1750","","","-125","18550008","855"
"10","2","113511","","","1500","","","-250","18550009","855"
"10","2","1","","","1750","","","-125","18550010","855"
"10","2","2","","","1500","","","-250","18550011","855"
"10","33","1","","","1750","","","-125","18550012","855"
"10","33","2","","","1500","","","-250","18550013","855"
"","23","se_10053800","","","se_fpc_water_random","","","","18560001","856"
"-850","1","1","-125","1.75","110311","cmn_swm_tread","0","13","18560002","856"
"-1100","1","1","-250","1.75","107711","cmn_swm_tread","0","33","18560003","856"
"-850","5","1","-125","1.75","1","cmn_swm_tread_pink","0","12","18560004","856"
"-1100","5","1","-250","1.75","2","cmn_swm_tread","0","32","18560005","856"
"-125","31","13","1","1","1","","","-850","18560006","856"
"-250","31","3","1","1","2","","","-1100","18560007","856"
"13.5","2","110311","","","1750","","","-125","18560008","856"
"13.5","2","107711","","","1500","","","-250","18560009","856"
"13.5","2","1","","","1750","","","-125","18560010","856"
"13.5","2","2","","","1500","","","-250","18560011","856"
"13.5","33","1","","","1750","","","-125","18560012","856"
"13.5","33","2","","","1500","","","-250","18560013","856"
"","23","se_10053800","","","se_fpc_water_random","","","","18570001","857"
"-850","1","1","-125","1.75","110411","cmn_swm_tread","0","13","18570002","857"
"-1100","1","1","-250","1.75","110511","cmn_swm_tread","0","33","18570003","857"
"-1350","1","1","-125","1.75","115711","cmn_swm_tread","0","13","18570004","857"
"-1600","1","1","-250","1.75","110611","cmn_boat_relax","0","33","18570005","857"
"-850","5","1","-125","1.75","1","cmn_swm_tread_blue","0","12","18570006","857"
"-1100","5","1","-250","1.75","2","cmn_swm_tread","0","32","18570007","857"
"-1350","5","1","-125","1.75","3","cmn_swm_tread_pink","0","12","18570008","857"
"-1600","5","2","-250","1.75","4","cmn_boat_idle_l","0","32","18570009","857"
"-125","31","13","1","1","1","","","-850","18570010","857"
"-250","31","3","1","1","2","","","-1100","18570011","857"
"-125","31","13","1","1","3","","","-1350","18570012","857"
"-250","31","116","1","1","4","","","-1600","18570013","857"
"13.5","2","110411","","","1750","","","-125","18570014","857"
"13.5","2","110511","","","1500","","","-250","18570015","857"
"13.5","2","115711","","","1250","","","-125","18570016","857"
"13.5","2","110611","","","1000","","","-250","18570017","857"
"13.5","2","1","","","1750","","","-125","18570018","857"
"13.5","2","2","","","1500","","","-250","18570019","857"
"13.5","2","3","","","1250","","","-125","18570020","857"
"13.5","2","4","","","1000","","","-250","18570021","857"
"13.5","33","1","","","1750","","","-125","18570022","857"
"13.5","33","2","","","1500","","","-250","18570023","857"
"13.5","33","3","","","1250","","","-125","18570024","857"
"13.5","33","4","","","1000","","","-250","18570025","857"
"","23","se_10053800","","","se_fpc_water_random","","","","18580001","858"
"-850","1","1","-125","1.75","126711","cmn_swm_tread","0","13","18580002","858"
"-850","1","1","-125","1.75","126711","cmn_swm_tread","0","13","18580003","858"
"-1100","1","1","-250","1.75","126811","cmn_swm_tread","0","33","18580004","858"
"-1350","1","1","-125","1.75","108011","cmn_swm_tread","0","13","18580005","858"
"-1600","1","1","-250","1.75","107911","cmn_boat_cat","0","33","18580006","858"
"-850","5","1","-125","1.75","1","cmn_swm_tread_pink","0","12","18580007","858"
"-1100","5","1","-250","1.75","2","cmn_swm_tread","0","32","18580008","858"
"-1350","5","1","-125","1.75","3","cmn_swm_tread_blue","0","12","18580009","858"
"-1600","5","2","-250","1.75","4","cmn_boat_idle_l","0","32","18580010","858"
"-125","31","13","1","1","1","","","-850","18580011","858"
"-250","31","3","1","1","2","","","-1100","18580012","858"
"-125","31","13","1","1","3","","","-1350","18580013","858"
"-250","31","116","1","1","4","","","-1600","18580014","858"
"13.5","2","126711","","","1750","","","-125","18580015","858"
