163265a2de3f108cd1dc2e7e22c63bb891e633b53c7c66b9912aaf33c580f8fc,05e4bab3fe39ee34494c3c92a625604cc3692e42dbbb0262496eab3c4f218a81,820ce44e45da6e9c16a9191ca29f66c5dbff92df72373ecd84326c1809f7bfe9,cc3bb0eaaeadcb4d681211aeec35aaa088de5fc83dbebc67d04a3852ca549bd3,ad3fe618e280340fd8622322a61e37667e7b0b0ea2f836f62c1869379694bb48,a51619a411abb4b29ab08ecafb328aeb01205e326d4824a4bd5c96f35f8fd007,f8233f69e785a14b87c64c6987391aa730bf1db7e35d7f45aefab54f4d5be086
"10064","4","1006401","開会式","0","20036104","0"
"10064","3","1006402","開会式","0","20036104","0"
"10064","1","1006403","徒競走","0","20036104","1006402"
"10064","4","1006404","徒競走","0","20036104","1006402"
"10064","2","1006405","徒競走","0","20036104","1006402"
"10064","2","1006406","騎馬戦","0","20036104","1006405"
"10064","4","1006407","騎馬戦","0","20036104","1006405"
"10064","3","1006408","昼休憩","0","20036106","1006406"
"10064","4","1006409","昼休憩","0","20036106","1006406"
"10064","3","1006410","学術文化出展各種","0","20036106","1006408"
"10064","4","1006411","学術文化出展各種","0","20036106","1006408"
"10064","1","1006412","学術文化出展各種","0","20036106","1006408"
"10064","4","1006413","侍女風給仕喫茶","0","20036108","1006410"
"10064","3","1006414","侍女風給仕喫茶","0","20036108","1006410"
"10064","3","1006415","総合リレー","0","20036113","1006414"
"10064","4","1006416","総合リレー","0","20036113","1006414"
"10064","1","1006417","セレモニーステージ","2003601","0","1006415"
"10064","4","1006418","セレモニーステージ","2003601","0","1006415"
"10064","2","1006419","セレモニーステージ","2003601","0","1006415"
"10064","3","1006420","閉会式","2003601","0","1006419"
"10064","4","1006421","閉会式","2003601","0","1006419"
"10064","4","1006422","コンプリート演出","2003601","0","1006420"
