b86c3e7098b35e5d2435e65b2e8b4d916779926335ef74306d2f9ef7defdc315,707031febe4b80471b6418666cabeb31d57926402b41d8a44eb05e31d648e97d,dd11664306e4c38ecf8bac1bb48f88b62c01873606a6e914f10cfe93af6b17b9,ac32eb0f070cad2bf0c92798f2c3364453b3e4bec27e319b1182ef9f02d1e720,bd78b65204480f6e56045c251de589def996f4adf7b4a241c3397a59469c7b8b,cb997cd8a1f714f6764ae931ff9c33a71b00d8a1913eeb45767564c058013b5d,10e5b72c08cc01f23a3ae8d51a423af184a491422db635b83545e8c385c83fc2,c6cc3883b687d78e9961f3bffa5f33daf3c4e5b439f146ef4451b7cfd6e001bc,ca161c7b38b1167937e01dce2c97d42af0e09fbe534c31482347fa5a5dd11f40,0301ca20dd651e42a7d67f84d2b6ffb527116dba38babe9bc2c24a696298f061,5e458a3632e95de0fdd9be9307b308acfc7a971e0a0d964b2536068a9984a650,44aaf612e8a4e82ab778c98585a41c4d5ad2ebecece01204dae116b97c0ef525
"0","0","vo_10011600","2","0","0","1150001","0","vo_10011600_1501","0","15","1"
"0","0","0","1","0.997402597402597","0","1150002","1","0","240","15","2"
"0","1","0","4","0","2.4974025974026","1150003","1","0","0","15","3"
"0","0","vo_10011600","2","0","0","1150004","0","vo_10011600_1502","0","15","4"
"0","0","0","1","0.748051948051948","0","1150005","2","0","180","15","5"
"0","1","0","4","0","0.848051948051948","1150006","2","0","0","15","6"
"0","0","vo_10011600","2","0","0","1150007","0","vo_10011600_1503","0","15","7"
"180","0","0","1","1.16363636363636","0","1150008","2","0","460","15","8"
"0","1","0","4","0","1.96363636363636","1150009","2","0","0","15","9"
"0","0","vo_10011600","2","0","0","1150010","0","vo_10011600_1504","0","15","10"
"0","0","0","1","2.07792207792208","0","1150011","3","0","500","15","11"
"0","1","0","4","0","3.47792207792208","1150012","3","0","0","15","12"
"0","0","vo_10011600","2","0","0","1150013","0","vo_10011600_1505","0","15","13"
"0","0","0","1","1.24675324675325","0","1150014","4","0","300","15","14"
"0","1","0","4","0","2.24675324675325","1150015","4","0","0","15","15"
"0","0","vo_10011600","2","0","0","1150016","0","vo_10011600_1506","0","15","16"
"300","0","0","1","1.95324675324675","0","1150017","4","0","770","15","17"
"0","1","0","4","0","1.95324675324675","1150018","4","0","0","15","18"
"0","0","vo_10011600","2","0","0","1150019","0","vo_10011600_1507","0","15","19"
"0","0","0","1","2.07792207792208","0","1150020","5","0","500","15","20"
"0","1","0","4","0","2.97792207792208","1150021","5","0","0","15","21"
"0","0","vo_10011600","2","0","0","1150022","0","vo_10011600_1508","0","15","22"
"500","0","0","1","1.12207792207792","0","1150023","5","0","770","15","23"
"0","1","0","4","0","2.02207792207792","1150024","5","0","0","15","24"
"0","0","vo_10011600","2","0","0","1150025","0","vo_10011600_1509","0","15","25"
"0","0","0","1","1.32987012987013","0","1150026","6","0","320","15","26"
"0","1","0","4","0","2.57987012987013","1150027","6","0","0","15","27"
"0","0","vo_10011600","2","0","0","1150028","0","vo_10011600_1510","0","15","28"
"320","0","0","1","1.87012987012987","0","1150029","6","0","770","15","29"
"0","1","0","4","0","2.87012987012987","1150030","6","0","0","15","30"
"0","0","vo_10011600","2","0","0","1150031","0","vo_10011600_1511","0","15","31"
"0","0","0","1","1.55844155844156","0","1150032","7","0","375","15","32"
"0","1","0","4","0","1.75844155844156","1150033","7","0","0","15","33"
"0","0","vo_10011600","2","0","0","1150034","0","vo_10011600_1512","0","15","34"
"375","0","0","1","1.26753246753247","0","1150035","7","0","680","15","35"
"0","1","0","4","0","2.51753246753247","1150036","7","0","0","15","36"
"0","0","vo_10011600","2","0","0","1150037","0","vo_10011600_1513","0","15","37"
"0","0","0","1","1.99480519480519","0","1150038","8","0","480","15","38"
"0","1","0","4","0","2.49480519480519","1150039","8","0","0","15","39"
"0","0","vo_10011600","2","0","0","1150040","0","vo_10011600_1514","0","15","40"
"480","0","0","1","1.03896103896104","0","1150041","8","0","730","15","41"
"0","1","0","4","0","2.53896103896104","1150042","8","0","0","15","42"
"0","0","0","1","0.01","0","1150043","9","0","400","15","43"
"0","1","0","4","0","0","1150044","9","0","0","15","44"
"0","0","vo_10011600","2","0","0","1150045","0","vo_10011600_1515","0","15","45"
"400","0","0","1","1.32987012987013","0","1150046","9","0","720","15","46"
"0","0","vo_10011600","2","0","0","1160001","0","vo_10011600_1601","0","16","1"
"0","0","0","1","0.623376623376623","0","1160002","1","0","150","16","2"
"0","1","0","4","0","2.12337662337662","1160003","1","0","0","16","3"
"0","0","vo_10011600","2","0","0","1160004","0","vo_10011600_1602","0","16","4"
"0","0","0","1","3.63636363636364","0","1160005","2","0","700","16","5"
"0","1","0","4","0","5.13636363636364","1160006","2","0","0","16","6"
"0","0","vo_10011600","2","0","0","1160007","0","vo_10011600_1603","0","16","7"
"0","0","0","1","1.18441558441558","0","1160008","3","0","285","16","8"
"0","1","0","4","0","2.18441558441558","1160009","3","0","0","16","9"
"0","0","vo_10011600","2","0","0","1160010","0","vo_10011600_1604","0","16","10"
"285","0","0","1","0.353246753246753","0","1160011","3","0","370","16","11"
"0","1","0","4","0","0.553246753246753","1160012","3","0","0","16","12"
"0","0","vo_10011600","2","0","0","1160013","0","vo_10011600_1605","0","16","13"
"370","0","0","1","1.1012987012987","0","1160014","3","0","635","16","14"
"0","1","0","4","0","1.1012987012987","1160015","3","0","0","16","15"
"0","0","0","1","1.95324675324675","0","1160016","4","0","470","16","16"
"0","1","0","4","0","2.45324675324675","1160017","4","0","0","16","17"
"0","0","vo_10011600","2","0","0","1160018","0","vo_10011600_1606","0","16","18"
"470","0","0","1","0.78961038961039","0","1160019","4","0","660","16","19"
"0","1","0","4","0","1.78961038961039","1160020","4","0","0","16","20"
"0","0","vo_10011600","2","0","0","1160021","0","vo_10011600_1607","0","16","21"
"0","0","0","1","1.99480519480519","0","1160022","5","0","480","16","22"
"0","1","0","4","0","2.99480519480519","1160023","5","0","0","16","23"
"0","0","vo_10011600","2","0","0","1160024","0","vo_10011600_1608","0","16","24"
"480","0","0","1","0.748051948051948","0","1160025","5","0","660","16","25"
"0","1","0","4","0","1.99805194805195","1160026","5","0","0","16","26"
"0","0","vo_10011600","2","0","0","1160027","0","vo_10011600_1609","0","16","27"
