da76ae9ffa84c714cc37f697fbf66293996c57c22ab84fda5e9f7a7dc1fa5ef1,8d38c4a605ef8f8c5740c83ff1a9c99537822b4316913ec8096e3a13353691ac,fa0610969b41b706f5e7511a9ace8494dd03e6ac244ab8c1b431cda5e8e43de0,68c83648dc58cd2f5e6a9fdad35794ec23be0c937fe2f68bb1fdf3a9e3d9719b,d2131fab2e859cd8261dac458dccf8acbee1abaa6e6f95a58c0ef7e7d703b7e0,640b994f7070ca0ebe6a5e252e16bedb0be425e0b1ffc66d059dee09580430e6,6e81069152d449079aa00edfba4368b57c3493700af35dbdb592cd0799995c2e,02b92519a1f7848e67bfd57fca0e3ab9b0dbbbd52a67f1b5822dcb776ab76e6a,dfb950df30d9e306b858504f1dd7fdeddb9aac557d9cbc596dd8c7ca5f306114,0197d55b6a29d28984db98bc17f1b9daee224eaa4848a93b39fc4daa36ec4f18,e1fb60b915dc1d9f26cd635fcf469ade7e3041398f9fa547bf83beb72be8e624,b51bcca6edd25c73f0595cf07cb485e8c8c2e9befbe1badf70fce594d157f917
"1","500000000","0","92407","924071100","92407120","92407110","1","1","924073101","90","924072101"
"1","1000000000","92407110","92407","924071200","92407130","92407120","2","2","924073102","90","924072102"
"1","1500000000","92407120","92407","924071300","92407140","92407130","3","3","924073103","90","924072103"
"1","0","92407130","92407","924071400","0","92407140","4","3","924073104","90","924072104"
"1","500000000","0","92407","924072100","92407220","92407210","1","1","924073201","90","924072201"
"1","1000000000","92407210","92407","924072200","92407230","92407220","2","2","924073202","90","924072202"
"1","1500000000","92407220","92407","924072300","92407240","92407230","3","3","924073203","90","924072203"
"1","0","92407230","92407","924072400","0","92407240","4","3","924073204","90","924072204"
"1","500000000","0","92407","924073100","92407320","92407310","1","1","924073301","90","924072301"
"1","1000000000","92407310","92407","924073200","92407330","92407320","2","2","924073302","90","924072302"
"1","1500000000","92407320","92407","924073300","92407340","92407330","3","3","924073303","90","924072303"
"1","0","92407330","92407","924073400","0","92407340","4","3","924073304","90","924072304"
"1","500000000","0","92408","924081100","92408120","92408110","1","1","924083101","90","924082101"
"1","1000000000","92408110","92408","924081200","92408130","92408120","2","2","924083102","90","924082102"
"1","1500000000","92408120","92408","924081300","92408140","92408130","3","3","924083103","90","924082103"
"1","0","92408130","92408","924081400","0","92408140","4","3","924083104","90","924082104"
"1","500000000","0","92408","924082100","92408220","92408210","1","1","924083201","90","924082201"
"1","1000000000","92408210","92408","924082200","92408230","92408220","2","2","924083202","90","924082202"
"1","1500000000","92408220","92408","924082300","92408240","92408230","3","3","924083203","90","924082203"
"1","0","92408230","92408","924082400","0","92408240","4","3","924083204","90","924082204"
"1","500000000","0","92408","924083100","92408320","92408310","1","1","924083301","90","924082301"
