c30822623ca9de7c49666f0a15730d4102be21ecbc96b77ae3cb3d891089939d,bf880c8387fcba9ad01cf0e6ac1e49393356ae8b8bc7c77951922d68e6b71cc0,3722a0caf3c3196c844e54f2ca4da0ee237cab05ec48ca2b09c915a0834d900d,a29382c10a23c3e1fbea74681474f1312a6bbfe26b9ef09d90533baf084ff871,97c94b71758cf43e70de2c7967f49d006f3ae790e5f88a015ec4a12cf99ed892
"3","10201","1","2","1"
"3","10202","2","2","2"
"3","10203","3","2","3"
"10","10301","4","2","4"
"10","10302","5","2","5"
"10","10303","6","2","6"
"10","10304","7","2","7"
"20","10401","8","2","8"
"20","10402","9","2","9"
"20","10403","10","2","10"
"20","10404","11","2","11"
"20","10405","12","2","12"
"20","10406","13","2","13"
"20","10407","14","2","14"
"20","10408","15","2","15"
"20","10409","16","2","16"
"3","10701","17","1","1"
"3","10601","18","1","2"
"3","10602","19","1","3"
"3","10603","20","1","4"
"3","10604","21","1","5"
"10","11301","22","1","6"
"10","11302","23","1","7"
"10","11303","24","1","8"
"20","11401","25","1","9"
"20","11402","26","1","10"
"20","11403","27","1","11"
"20","11601","28","1","12"
"20","11602","29","1","13"
"20","11603","30","1","14"
"20","11604","31","1","15"
"20","11605","32","1","16"
"20","11606","33","1","17"
"20","11101","34","1","18"
"20","11102","35","1","19"
"20","11103","36","1","20"
"20","11701","37","1","21"
"20","11702","38","1","22"
"20","11703","39","1","23"
"3","10501","40","3","1"
"3","10502","41","3","2"
"3","10503","42","3","3"
"10","11201","43","3","4"
"10","10801","44","3","5"
"10","10802","45","3","6"
"10","10803","46","3","7"
"10","10804","47","3","8"
"20","10901","48","3","9"
"20","10902","49","3","10"
"20","10903","50","3","11"
"20","10904","51","3","12"
"20","11001","52","3","13"
"20","11002","53","3","14"
"20","11003","54","3","15"
"20","11501","55","3","16"
"20","11502","56","3","17"
"20","11503","57","3","18"
"20","11504","58","3","19"
"20","11505","59","3","20"
"20","11506","60","3","21"
