d35fa2a4bab16a14efe80af537f64208ea856b29b3042e200956552c1075f084,323a44a568e944c3deb7abf256c93e3f5a0b3b2c6b561369aed5db384f9203f5,a7b8e5d0729ca18f62087685aa4dad17e4489fbb40de055baa80bd5f37af9da7,734ec9d74254e3eef2c2bba6b1be56818fff6ef4276c68a48501d856838b0835,23b9b43f4d6d503026ee9217d8f727ec8628cd186bc037ca7c3d0d27b6b1768d,ad21cfeb92286bba8fcee02b73bd7f4321fe8801d3ced4607bd3d2a00ec14fbd,853edb0ecde48024e69696f2b0006547e1d675af4b62381a9766f25956b09e1f,29cfb7f31716499c548ec1b52e0c7d05b246a629df9b48b1ee65e0833be16edb,721f14e3a4bd876059b34c78fb0ee6a84e9313032104de16fd9de91cba8015e0,f61a06cefc6ffad685f5e7c63dbe9e96448522be51083b10790da42738efb755,b7eb02528fe3ef012d04daf71555279170a0073eff37ecf8b7b574cec0e74464
"1001","1","1","1","1","taq_karin_idle","118511","-194","1.65","72","100"
"1002","1","21","vo_minigame_1009","","","vo_minigame_1009_top_001","","","0","0"
"1003","1","11","118511","0","0","賞品も用意して\nいますので頑張って\nくださいね♪","0","0","0","8"
"1004","1","3","118511","","","taq_karin_talk_normal","","0.2","","1"
"1005","1","91","1003","","","","","","",""
"1006","1","3","118511","","","taq_karin_idle","","0.2","","1"
"2001","2","1","1","1","taq_karin_idle","118511","-194","1.65","72","100"
"2002","2","21","vo_minigame_1009","","","vo_minigame_1009_top_002","","","0","0"
"2003","2","11","118511","0","0","みなさんの知識が\n試されますよ","0","0","0","8"
"2004","2","3","118511","","","taq_karin_talk_thinking","","0.2","","1"
"2005","2","91","2003","","","","","","",""
"2006","2","3","118511","","","taq_karin_idle","","0.2","","1"
"3001","3","1","1","1","taq_karin_idle","118511","-194","1.65","72","100"
"3002","3","21","vo_minigame_1009","","","vo_minigame_1009_top_003","","","0","0"
"3003","3","11","118511","0","0","世の中にはまだまだ\n知らないことが\nたくさんあるんですね","0","0","0","8"
"3004","3","3","118511","","","taq_karin_talk_surprise","","0.2","","1"
"3005","3","91","3003","","","","","","",""
"3006","3","3","118511","","","taq_karin_idle","","0.2","","1"
"4001","4","1","1","1","taq_karin_idle","118511","-194","1.65","72","100"
"4002","4","21","vo_minigame_1009","","","vo_minigame_1009_top_004","","","0","0"
"4003","4","11","118511","0","0","わからないときは\n勘に頼ってみても\nいいと思います","0","0","0","8"
"4004","4","3","118511","","","taq_karin_talk_normal2","","0.2","","1"
"4005","4","91","4003","","","","","","",""
"4006","4","3","118511","","","taq_karin_idle","","0.2","","1"
"5001","5","1","1","1","taq_karin_idle","118511","-194","1.65","72","100"
"5002","5","21","vo_minigame_1009","","","vo_minigame_1009_top_005","","","0","0"
"5003","5","11","118511","0","0","仲よく協力して\n全問正解を\n目指してくださいね♪","0","0","0","7"
"5004","5","3","118511","","","taq_karin_talk_joy3","","0.2","","1"
"5005","5","91","5003","","","","","","",""
"5006","5","3","118511","","","taq_karin_idle","","0.2","","1"
