6a62a6c3fa5627858691bbd494fecf41606b21fa90c9190ab9ce0e937f1cb551,eb81a7246aecadab650e9277ca930222ead5533eb44d942458e251580a1b7ada,39749301739d42c24424040503c517fc3a389bd8e4499529d5386590609bd05f,1a8112c813eccc2e0b9b8d459cdca9bbbdefc8e11a4a19290cfac576fdc2f434,8c8436673727c1a939cbd41dd9cee251c2985bdb9c82f3c8a1058c0be5f47935,fb3dda0b0248ddbbbfb8a1dfd28e788099a3b7ad599c416f13ce60ecc1bad2d8,8c41b53c5741ec900f6de18e67a5860e21be2d4d1a32f482d23839312b0cda30,f45e7aae3d52fb8d95064e7109459acb18d5b2bf60caee7232c1383c8056c43e,72c1e7ed7ff7d7b23926fdd61c0c283039b51f580776e382fcbc8f71fee1505e,d209d2111601fcf6a05c664bd045c7641b7d630e7a8b72216383a447e950e59b,5329caf383f47663e7825051119863f0428287b6d3dd37350bc89b617190a818,c35c05ed0578d1113e46d0b6cb2020880898550b68aeeb86cfad68dd023c163c,762d0da73a722d0da9625c3741774687be2916b2035932cb2c5af97060267d5a,f50da7db91118f395f897a95ddfcb5fc2ad04d21cf2fdb0a16379efe2fda21d8,082d1f4ebe4dc3ff3fe25e7f04135bbe7f02e823503438b1f23a9221b252b2f7,391e236c85dcb89da520b9bae00cc50fed179af4bd1e5142a52e68161a456204,5ac70036a6d427dc1f954d7d4a1cc54de3eaf746f817434447dd8f0493cf0b21,8e1e963e05ddac428015a670bb7b9f0b0217705ee785f817073b0cc9482ef141
"150","5","12","1","20003","91002","5","1","20","0","150000","8","0","2","94002","22003","0","2"
"145","2","12","2","20003","91002","9","6","15","0","100000","8","0","2","94002","22003","0","2"
"140","5","12","3","20003","91002","19","10","11","0","80000","8","0","2","94002","22002","0","2"
"130","5","12","4","20003","91002","29","20","10","0","80000","8","0","2","94002","22002","0","2"
"120","4","12","5","20003","91002","39","30","9","0","70000","8","0","2","94002","22002","0","2"
"110","4","12","6","20003","91002","49","40","8","0","70000","8","0","2","94002","22002","0","2"
"100","3","12","7","20003","91002","99","50","7","0","60000","8","0","2","94002","22002","0","2"
"80","2","12","8","20003","91002","499","100","2","0","40000","8","0","2","94002","22002","0","2"
"50","1","12","9","20002","91002","999","500","7","0","20000","8","0","2","94002","22002","0","2"
"20","3","12","10","20002","91002","4999","1000","4","0","16000","8","0","2","94002","22001","0","2"
"15","2","12","11","20002","91002","9999","5000","3","0","9000","8","0","2","94002","22001","0","2"
"10","1","12","12","20001","91002","11999","10000","8","0","4000","8","0","2","94002","22001","0","2"
"5","1","12","13","20001","91002","13999","12000","7","0","3000","8","0","2","94002","22001","0","2"
"4","1","12","14","20001","91002","14999","14000","6","0","2000","8","0","2","94002","22001","0","2"
"3","1","12","15","20001","91002","30000","15000","5","0","1800","8","0","2","94002","22001","0","2"
