cb67338376c355f28378c0d17ac017d7d3cad4f5bbbfd7e30a74e8486f88d424,24fa6eecd61e2c36965878329d54ccb414c3bbb4a3b27963ba9030056d1b9ea8,3b2618a3294e285230014d4e6fb1922048061fae1ce9d2948a2c71e3713acaf3,3c8d7e783bb587b0c1331e206bb24edded8e0b64594e6b355e8528cdf57eb52f,c85a2a29cc19555444787198148b56329df58f9b85d43ef99ab0b0115d51435f,9cb38917692136970a571b6c5e17a998bf29688d9222925bd64ca6a72053ffc2,8e8c26f39bdaab47f5df4c1c12330d5bea6ae694172597e988277d8dfc08cba1,b5f3bd6e94ab7fa50f8c214face1efdc46dad4bed6accad6d4bfd50eef946766,240d75375040ca8e085790435f8a82cb5681623f081911af5a939de23f0785fb,7262ca6c05ae86fe82ef181256b2667b8ad090168aa852bbe42fd1fad9ab808b,45c55c0918bd34056351a5980badef2d758b164dbef612bbee42838be14a82cd,c8dfc7a32f3f9b01bc91ef9bb31fe0aacd774ca080b9a8e4cc47b5502b69ee60,1b54e9db0c5cbc57d5a4821aca18dfcc837c03abb2cf674f2c5d160d5f72bfc1,3e2bc0790478c42bfc5fc7fa6ecdb97d39b31e82cf21440cc8b0802f2b8bbb06,cba14e3d88e54c0618b32949811b070056f0f36148367f88f88168553939c727
"雲海の山脈","1","31001","501010001","400","45","10","195","400","雲をつらぬく山脈","11002012","0","4003002","4003001","200010"
"密林の大樹","1","31002","501010002","300","30","10","-110","300","深い森の奥に存在する1本の大樹","11005013","0","4003004","4003003","200020"
"断崖の遺跡","1","31003","501010003","200","-190","10","-570","200","断崖絶壁で発見された遺跡","11007014","0","4003006","4003005","200030"
"蒼海の孤塔","1","31004","501010004","100","-30","10","750","100","大海原にそびえる謎の巨塔","11011017","0","4003008","4003007","200040"
"毒瘴の闇稜","1","31005","501010005","100","20","10","465","100","瘴気渦巻く常闇の孤峰","11014014","0","4003010","4003009","200050"
"緑竜の骸嶺","1","31006","501010006","100","90","10","360","100","厳峰に佇む竜の寝床","11026014","0","4003012","4003011","200060"
"天上の浮城","1","31007","501010007","100","90","10","130","100","天空の番人が静かに眠る聖城","11035014","0","4003014","4003013","200070"
"砂瀑の底都","1","31008","501010008","100","120","10","-50","100","砂の大瀑布が落ちゆく果ての都","11047014","0","4003018","4003017","200080"
"紺碧の王砦","1","31009","501010009","100","70","10","-360","100","紺碧の底に君臨する海王の城砦","11057014","0","4003020","4003019","200090"
"四彩の霊峰","1","31010","501010010","100","0","10","0","0","四季彩りし霊狐の仙境","11062014","0","4003022","4003021","0"
"スペシャルダンジョン","1","32001","0","100","0","10","0","100","期間限定ダンジョンの踏破に挑戦","0","31006","4003016","4003015","0"
"スペシャルダンジョン","1","32002","0","100","0","10","0","100","期間限定ダンジョンの踏破に挑戦","0","31006","0","0","0"
"スペシャルダンジョン","1","32003","0","100","0","10","0","100","期間限定ダンジョンの踏破に挑戦","0","31006","0","0","0"
"スペシャルダンジョン","1","32004","0","100","0","10","0","100","期間限定ダンジョンの踏破に挑戦","0","31006","0","0","0"
"スペシャルダンジョン","1","32005","0","100","0","10","0","100","期間限定ダンジョンの踏破に挑戦","0","31006","0","0","0"
"スペシャルダンジョン","1","32006","0","100","0","10","0","100","期間限定ダンジョンの踏破に挑戦","0","31006","0","0","0"
"スペシャルダンジョン","1","32007","0","100","0","10","0","100","期間限定ダンジョンの踏破に挑戦","0","31006","0","0","0"
"スペシャルダンジョン","1","32008","0","100","0","10","0","100","期間限定ダンジョンの踏破に挑戦","0","31006","0","0","0"
"スペシャルダンジョン","1","32009","0","100","0","10","0","100","期間限定ダンジョンの踏破に挑戦","0","31006","0","0","0"
"スペシャルダンジョン","1","32010","0","100","0","10","0","100","期間限定ダンジョンの踏破に挑戦","0","31006","0","0","0"
