e3967f3a1f6109255ccd1dd28a815aebd3548ae508b7b98e3e02aaf0eb25522b,1eee1ba818bcbe6cc974ce12f2e0228bb4157b47fc203c1fd4454669f6c6cf01,aa9c383f7896c0b6a7922d7ff698a8ccc00b8c5f08b26ff6a29f47fe6ada5f92,11d4ebf4d3b43a611574b972148bd2cab93aace7162898950ee5b8df519b44bb,c79881d0c38e46a221fec897e75bdac1b5a71851b15d6d4876a6f194b9afeafa,255744280b82546be486c476a10937637aff72750ab1c466ea819496f79d392d,ebb952f289d3404077a36de8b40b0157d8cc304b00cd61fbde0ca48a5b335d49
"10001","2","1000101","vo_minigame_1004_top_1_000","1","vo_minigame_1004","ふっふっふ、これでカヤぴぃとボスを見返してやるです！"
"10002","2","1000201","vo_minigame_1004_top_1_003","1","vo_minigame_1004","しりとりでの戦い、お兄さんにも手伝ってもらうです"
"10003","1","1000301","vo_minigame_1004_top_1_004","2","vo_minigame_1004","どんなケンカも売られた以上は買うのが喧嘩屋だ！やってやるぜ！"
"10004","1","1000401","vo_minigame_1004_top_1_005","2","vo_minigame_1004","石板でしりとりか……イノリのヤツおもしろいこと考えるな"
"10005","1","1000501","vo_minigame_1004_top_1_006","2","vo_minigame_1004","しりとりだろうがなんだろうが返り討ちにしてやるぜ"
"10006","2","1000601","vo_minigame_1004_top_1_007","3","vo_minigame_1004","ぐもも……（オデ、ハラヘッタ）"
"10007","2","1000701","vo_minigame_1004_top_1_008","3","vo_minigame_1004","ぐもももも（シリトリ タノシイ）"
"10008","2","1000801","vo_minigame_1004_top_1_009","3","vo_minigame_1004","ぐもももも！（イノリ イイヤツ）"
"10009","2","1000901","vo_minigame_1004_top_2_010","1","vo_minigame_1004","カヤぴぃ相手でも手加減しないです"
"10009","1","1000902","vo_minigame_1004_top_2_011","2","vo_minigame_1004","上等だ！やるからには本気で来いよな"
"10010","2","1001001","vo_minigame_1004_top_2_012","1","vo_minigame_1004","カヤぴぃ、謝るなら今のうちです"
"10010","1","1001002","vo_minigame_1004_top_2_013","2","vo_minigame_1004","イノリこそ泣きを入れるなら今のうちだぜ？"
"10011","2","1001101","vo_minigame_1004_top_2_014","1","vo_minigame_1004","カヤぴぃ、これからは知性の時代ですよ？"
"10011","1","1001102","vo_minigame_1004_top_2_015","2","vo_minigame_1004","待て！オレがバカみたいにいうな！！"
"10012","1","1001201","vo_minigame_1004_top_2_016","1","vo_minigame_1004","さあ、あたしたちの力を見せてやるです"
"10012","2","1001202","vo_minigame_1004_top_2_017","3","vo_minigame_1004","ぐも！（マカセロ！）"
