dee597015a49bab1fbac627503341c63c5285afe8f3ff80a949335467cb65a77,ab4fde7956d60a6fbb7ec2e8bdb1a9c084467c0e313908baca0215a435d01da7,782a4c08e0d48a17d2d2ebfa4e30b6d396ee61b0e00496d0cd5fbf40b46edc17,7b45ea62e1fc83de2bedd788a7b7e8b896e2127065c80a90fa291a05df057d34,bcd9aa22082f08b7bb298d053793534a2eb481ee4c746525c6f4402d2f68340e,d2f56befe2940946e4d1baf0aa2faf3e781222341c318efe45c80a8a46b88817
"2816","1","11","-1480","1","-1480"
"2816","1","21","-1302","1","-1400"
"2816","1","31","-1263","1","-1302"
"2816","1","41","-1224","1","-1263"
"2816","1","51","-1185","1","-1224"
"2816","1","61","-1146","1","-1185"
"2816","1","71","-1146","1","-1146"
"2816","1","81","-1146","1","-1146"
"2816","1","91","-1107","1","-1146"
"2816","1","101","-1068","1","-1107"
"2816","1","111","-1029","1","-1068"
"2816","1","121","-1029","1","-1029"
"2816","1","131","-1029","1","-1029"
"2816","1","141","-1029","1","-1029"
"2816","1","151","-988","1","-1029"
"2816","1","161","-947","1","-988"
"2816","1","171","-906","1","-947"
"2816","1","181","-865","1","-906"
"2816","1","191","-865","1","-865"
"2816","1","201","-865","1","-865"
"2816","1","211","-824","1","-865"
"2816","1","221","-783","1","-824"
"2816","1","231","-742","1","-783"
"2816","1","241","-701","1","-742"
"2816","1","251","-660","1","-701"
"2816","1","261","-619","1","-660"
"2816","1","271","-619","1","-619"
"2816","1","281","-619","1","-619"
"2816","1","291","-619","1","-619"
"2816","1","301","-578","1","-619"
"2816","1","311","-537","1","-578"
"2816","1","321","-496","1","-537"
"2816","1","331","-496","1","-496"
"2816","1","341","-496","1","-496"
"2816","1","351","-496","1","-496"
"2816","1","361","-455","1","-496"
"2816","1","371","-414","1","-455"
"2816","1","381","-373","1","-414"
"2816","1","391","-332","1","-373"
"2816","1","401","-332","1","-332"
"2816","1","411","-332","1","-332"
"2816","1","421","-200","1","-332"
"2816","2","431","-1181","2","-1246"
"2816","2","441","-1152","2","-1181"
"2816","2","451","-1152","2","-1152"
"2816","2","461","-1123","2","-1152"
"2816","2","471","-1094","2","-1123"
"2816","2","481","-1094","2","-1094"
"2816","2","491","-1065","2","-1094"
"2816","2","501","-1065","2","-1065"
"2816","2","511","-1036","2","-1065"
"2816","2","521","-1036","2","-1036"
"2816","2","531","-1007","2","-1036"
"2816","2","541","-978","2","-1007"
"2816","2","551","-978","2","-978"
"2816","2","561","-949","2","-978"
"2816","2","571","-920","2","-949"
"2816","2","581","-891","2","-920"
"2816","2","591","-862","2","-891"
"2816","2","601","-862","2","-862"
"2816","2","611","-862","2","-862"
"2816","2","621","-862","2","-862"
"2816","2","631","-833","2","-862"
"2816","2","641","-804","2","-833"
"2816","2","651","-775","2","-804"
"2816","2","661","-746","2","-775"
"2816","2","671","-717","2","-746"
"2816","2","681","-688","2","-717"
"2816","2","691","-659","2","-688"
"2816","2","701","-630","2","-659"
"2816","2","711","-601","2","-630"
"2816","2","721","-572","2","-601"
"2816","2","731","-543","2","-572"
"2816","2","741","-514","2","-543"
"2816","2","751","-449","2","-514"
"2816","2","761","-1153","3","-1226"
"2816","2","771","-1115","3","-1153"
"2816","2","781","-1115","3","-1115"
"2816","2","791","-1077","3","-1115"
"2816","2","801","-1077","3","-1077"
"2816","2","811","-1039","3","-1077"
"2816","2","821","-1001","3","-1039"
"2816","2","831","-1001","3","-1001"
"2816","2","841","-963","3","-1001"
"2816","2","851","-963","3","-963"
"2816","2","861","-963","3","-963"
"2816","2","871","-925","3","-963"
"2816","2","881","-887","3","-925"
"2816","2","891","-887","3","-887"
"2816","2","901","-887","3","-887"
"2816","2","911","-849","3","-887"
"2816","2","921","-811","3","-849"
"2816","2","931","-773","3","-811"
"2816","2","941","-735","3","-773"
"2816","2","951","-697","3","-735"
"2816","2","961","-659","3","-697"
"2816","2","971","-621","3","-659"
"2816","2","981","-583","3","-621"
"2816","2","991","-583","3","-583"
"2816","2","1001","-583","3","-583"
"2816","2","1011","-583","3","-583"
"2816","2","1021","-545","3","-583"
"2816","2","1031","-507","3","-545"
"2816","2","1041","-507","3","-507"
"2816","2","1051","-507","3","-507"
"2816","2","1061","-434","3","-507"
"2816","2","1071","-1137","4","-1220"
"2816","2","1081","-1096","4","-1137"
"2816","2","1091","-1096","4","-1096"
"2816","2","1101","-1096","4","-1096"
"2816","2","1111","-1096","4","-1096"
"2816","2","1121","-1096","4","-1096"
"2816","2","1131","-1055","4","-1096"
"2816","2","1141","-1014","4","-1055"
"2816","2","1151","-1014","4","-1014"
"2816","2","1161","-1014","4","-1014"
"2816","2","1171","-1014","4","-1014"
"2816","2","1181","-973","4","-1014"
"2816","2","1191","-932","4","-973"
"2816","2","1201","-891","4","-932"
"2816","2","1211","-891","4","-891"
"2816","2","1221","-891","4","-891"
"2816","2","1231","-891","4","-891"
"2816","2","1241","-850","4","-891"
"2816","2","1251","-809","4","-850"
"2816","2","1261","-809","4","-809"
"2816","2","1271","-809","4","-809"
"2816","2","1281","-768","4","-809"
"2816","2","1291","-727","4","-768"
"2816","2","1301","-686","4","-727"
"2816","2","1311","-686","4","-686"
"2816","2","1321","-645","4","-686"
"2816","2","1331","-604","4","-645"
"2816","2","1341","-563","4","-604"
"2816","2","1351","-522","4","-563"
"2816","2","1361","-439","4","-522"
"2816","2","1371","-1166","5","-1230"
"2816","2","1381","-1129","5","-1166"
"2816","2","1391","-1129","5","-1129"
"2816","2","1401","-1129","5","-1129"
"2816","2","1411","-1129","5","-1129"
"2816","2","1421","-1092","5","-1129"
"2816","2","1431","-1092","5","-1092"
"2816","2","1441","-1055","5","-1092"
"2816","2","1451","-1018","5","-1055"
"2816","2","1461","-981","5","-1018"
"2816","2","1471","-981","5","-981"
"2816","2","1481","-944","5","-981"
"2816","2","1491","-907","5","-944"
"2816","2","1501","-870","5","-907"
"2816","2","1511","-833","5","-870"
"2816","2","1521","-796","5","-833"
"2816","2","1531","-759","5","-796"
"2816","2","1541","-722","5","-759"
