79b844a0da154e2269e6962cedf1ec042147e00dd305a78decd6648c3e9759df,25d023fd48d652057acd2c22420adbcc9732f58f2fae89d876c534d0848b92f3,df906a61121dc5452822f9d00ec70d8a403715295a5849cae0943045049460fc,873d1db1ed8e964b422c97016dd6681b33afa319f2609f7ba33ad79c7a9cebf8,825e6707fa1bb3b6ad674845769d063c6c66b446fbc6b6297b0b01a3f99ca883,c7117c018a4440847af7c13c5dee2fbd0cbe4d9d4f479b4be8373675e76759fb,73c10cbeeb6e239c7296b49027935dc038cebd15966916ceaa364bb22775e9bc,f6cf56b69244a69ed1e46c9be7a96edd3074763ba35bbb55c6f875d6e3ee4ba7
"1005","0","1005","0","2","ＴＰ250アップ","1005","バトル開始時、味方のＴＰが250アップ"
"1006","0","1006","0","2","ＴＰ250アップ","1006","バトル開始時、味方のＴＰが250アップ"
"1007","0","1007","0","2","ＴＰ250アップ","1007","バトル開始時、味方のＴＰが250アップ"
"1008","0","1008","0","2","ＴＰ250アップ","1008","バトル開始時、味方のＴＰが250アップ"
"100501","36000","1005","27160000000000","1","物理攻撃ダウン90秒","100501","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100502","36000","1005","26040000000000","1","物理攻撃ダウン90秒","100502","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100503","36000","1005","25200000000000","1","物理防御ダウン90秒","100503","バトル開始から90秒間、敵の物理防御力がダウン"
"100504","36000","1005","24360000000000","1","魔法防御ダウン90秒","100504","バトル開始から90秒間、敵の魔法防御力がダウン"
"100505","36000","1005","23520000000000","1","物理攻撃ダウン90秒","100505","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100506","36000","1005","22400000000000","1","物理攻撃ダウン90秒","100506","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100507","36000","1005","21560000000000","1","物理防御ダウン90秒","100507","バトル開始から90秒間、敵の物理防御力がダウン"
"100508","36000","1005","20720000000000","1","魔法防御ダウン90秒","100508","バトル開始から90秒間、敵の魔法防御力がダウン"
"100509","36000","1005","19600000000000","1","物理攻撃ダウン90秒","100509","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100510","36000","1005","18760000000000","1","物理攻撃ダウン90秒","100510","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100511","36000","1005","17920000000000","1","物理攻撃ダウン90秒","100511","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100512","36000","1005","16800000000000","1","物理攻撃ダウン90秒","100512","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100513","36000","1005","15960000000000","1","物理防御ダウン90秒","100513","バトル開始から90秒間、敵の物理防御力がダウン"
"100514","36000","1005","15120000000000","1","魔法防御ダウン90秒","100514","バトル開始から90秒間、敵の魔法防御力がダウン"
"100515","36000","1005","14280000000000","1","物理攻撃ダウン90秒","100515","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100516","36000","1005","13160000000000","1","物理攻撃ダウン90秒","100516","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100517","36000","1005","12320000000000","1","物理防御ダウン90秒","100517","バトル開始から90秒間、敵の物理防御力がダウン"
"100518","36000","1005","11480000000000","1","魔法防御ダウン90秒","100518","バトル開始から90秒間、敵の魔法防御力がダウン"
"100519","36000","1005","10360000000000","1","物理攻撃ダウン90秒","100519","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100520","36000","1005","9520000000000","1","物理攻撃ダウン90秒","100520","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100521","36000","1005","8680000000000","1","物理攻撃ダウン90秒","100521","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100522","36000","1005","7560000000000","1","物理攻撃ダウン90秒","100522","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100523","36000","1005","6720000000000","1","物理防御ダウン90秒","100523","バトル開始から90秒間、敵の物理防御力がダウン"
"100524","36000","1005","5880000000000","1","魔法防御ダウン90秒","100524","バトル開始から90秒間、敵の魔法防御力がダウン"
"100525","36000","1005","5040000000000","1","物理攻撃ダウン90秒","100525","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100526","36000","1005","3920000000000","1","ＴＰ150アップ","100526","バトル開始時、味方のＴＰが150アップ"
"100527","36000","1005","3080000000000","1","無敵10秒","100527","バトル開始から10秒間、味方が無敵状態になる"
"100528","36000","1005","2240000000000","1","物理攻撃ダウン90秒","100528","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100529","36000","1005","1120000000000","1","物理防御ダウン90秒","100529","バトル開始から90秒間、敵の物理防御力がダウン"
"100530","36000","1005","280000000000","1","魔法防御ダウン90秒","100530","バトル開始から90秒間、敵の魔法防御力がダウン"
"100601","36000","1006","43650000000000","1","魔法攻撃アップ90秒","100601","バトル開始から90秒間、味方の魔法攻撃力がアップ"
"100602","36000","1006","41850000000000","1","物理攻撃アップ90秒","100602","バトル開始から90秒間、味方の物理攻撃力がアップ"
"100603","36000","1006","40500000000000","1","物理防御ダウン90秒","100603","バトル開始から90秒間、敵の物理防御力がダウン"
"100604","36000","1006","39150000000000","1","魔法防御ダウン90秒","100604","バトル開始から90秒間、敵の魔法防御力がダウン"
"100605","36000","1006","37800000000000","1","魔法攻撃アップ90秒","100605","バトル開始から90秒間、味方の魔法攻撃力がアップ"
"100606","36000","1006","36000000000000","1","物理攻撃アップ90秒","100606","バトル開始から90秒間、味方の物理攻撃力がアップ"
"100607","36000","1006","34650000000000","1","毎秒ＨＰ回復90秒","100607","バトル開始から90秒間、味方のＨＰが毎秒回復"
"100608","36000","1006","33300000000000","1","物理攻撃アップ90秒","100608","バトル開始から90秒間、味方の物理攻撃力がアップ"
"100609","36000","1006","31500000000000","1","物理攻撃アップ90秒","100609","バトル開始から90秒間、味方の物理攻撃力がアップ"
"100610","36000","1006","30150000000000","1","魔法防御ダウン90秒","100610","バトル開始から90秒間、敵の魔法防御力がダウン"
"100611","36000","1006","28800000000000","1","魔法攻撃アップ90秒","100611","バトル開始から90秒間、味方の魔法攻撃力がアップ"
"100612","36000","1006","27000000000000","1","物理攻撃アップ90秒","100612","バトル開始から90秒間、味方の物理攻撃力がアップ"
"100613","36000","1006","25650000000000","1","物理防御ダウン90秒","100613","バトル開始から90秒間、敵の物理防御力がダウン"
"100614","36000","1006","24300000000000","1","魔法防御ダウン90秒","100614","バトル開始から90秒間、敵の魔法防御力がダウン"
"100615","36000","1006","22950000000000","1","魔法攻撃アップ90秒","100615","バトル開始から90秒間、味方の魔法攻撃力がアップ"
"100616","36000","1006","21150000000000","1","物理攻撃アップ90秒","100616","バトル開始から90秒間、味方の物理攻撃力がアップ"
"100617","36000","1006","19800000000000","1","毎秒ＨＰ回復90秒","100617","バトル開始から90秒間、味方のＨＰが毎秒回復"
"100618","36000","1006","18450000000000","1","物理攻撃アップ90秒","100618","バトル開始から90秒間、味方の物理攻撃力がアップ"
"100619","36000","1006","16650000000000","1","物理攻撃アップ90秒","100619","バトル開始から90秒間、味方の物理攻撃力がアップ"
"100620","36000","1006","15300000000000","1","魔法防御ダウン90秒","100620","バトル開始から90秒間、敵の魔法防御力がダウン"
"100621","36000","1006","13950000000000","1","物理防御ダウン90秒","100621","バトル開始から90秒間、敵の物理防御力がダウン"
"100622","36000","1006","12150000000000","1","魔法攻撃アップ90秒","100622","バトル開始から90秒間、味方の魔法攻撃力がアップ"
"100623","36000","1006","10800000000000","1","物理攻撃アップ90秒","100623","バトル開始から90秒間、味方の物理攻撃力がアップ"
"100624","36000","1006","9450000000000","1","毎秒ＨＰ回復90秒","100624","バトル開始から90秒間、味方のＨＰが毎秒回復"
"100625","36000","1006","8100000000000","1","魔法防御ダウン90秒","100625","バトル開始から90秒間、敵の魔法防御力がダウン"
"100626","36000","1006","6300000000000","1","ＴＰ150アップ","100626","バトル開始時、味方のＴＰが150アップ"
"100627","36000","1006","4950000000000","1","無敵10秒","100627","バトル開始から10秒間、味方が無敵状態になる"
"100628","36000","1006","3600000000000","1","魔法攻撃アップ90秒","100628","バトル開始から90秒間、味方の魔法攻撃力がアップ"
"100629","36000","1006","1800000000000","1","物理攻撃アップ90秒","100629","バトル開始から90秒間、味方の物理攻撃力がアップ"
"100630","36000","1006","450000000000","1","魔法防御ダウン90秒","100630","バトル開始から90秒間、敵の魔法防御力がダウン"
"100701","36000","1007","27160000000000","1","毎秒ＴＰアップ90秒","100701","バトル開始から90秒間、味方のＴＰが毎秒アップ"
"100702","36000","1007","26040000000000","1","ＴＰ50アップ","100702","バトル開始時、味方のＴＰが50アップ"
"100703","36000","1007","25200000000000","1","火傷ダメージ10秒","100703","バトル開始から10秒間、敵が火傷状態になる"
"100704","36000","1007","24360000000000","1","物理防御ダウン90秒","100704","バトル開始から90秒間、敵の物理防御力がダウン"
"100705","36000","1007","23520000000000","1","物理防御ダウン90秒","100705","バトル開始から90秒間、敵の物理防御力がダウン"
"100706","36000","1007","22400000000000","1","物理攻撃アップ90秒","100706","バトル開始から90秒間、味方の物理攻撃力がアップ"
"100707","36000","1007","21560000000000","1","魔法攻撃アップ90秒","100707","バトル開始から90秒間、味方の魔法攻撃力がアップ"
"100708","36000","1007","20720000000000","1","火傷ダメージ10秒","100708","バトル開始から10秒間、敵が火傷状態になる"
"100709","36000","1007","19600000000000","1","物理防御ダウン90秒","100709","バトル開始から90秒間、敵の物理防御力がダウン"
"100710","36000","1007","18760000000000","1","物理攻撃アップ90秒","100710","バトル開始から90秒間、味方の物理攻撃力がアップ"
"100711","36000","1007","17920000000000","1","毎秒ＴＰアップ90秒","100711","バトル開始から90秒間、味方のＴＰが毎秒アップ"
"100712","36000","1007","16800000000000","1","火傷ダメージ10秒","100712","バトル開始から10秒間、敵が火傷状態になる"
"100713","36000","1007","15960000000000","1","物理防御ダウン90秒","100713","バトル開始から90秒間、敵の物理防御力がダウン"
"100714","36000","1007","15120000000000","1","魔法防御ダウン90秒","100714","バトル開始から90秒間、敵の魔法防御力がダウン"
"100715","36000","1007","14280000000000","1","魔法攻撃アップ90秒","100715","バトル開始から90秒間、味方の魔法攻撃力がアップ"
