cbef125fb6b5d6a21ddea2fc9669e76ebff4c8d12916e019c6009fc2de64ee90,f2aef0dcb24d358d97ca7c52c34de8646c034d662321919ac8f8b958e664cc59,19489d7d64249c7b69686353052c0d46ae0d11176882892899208d4d9e9148dd,09490f5c6d10dfd62d017dc91e1af708acb547c041030e2d93b0a6a93095e6ca,58eee81dc442c88a627c16af8912848085d35ca3d21c997e7fdb8188822f9cc0,f9456a26c2b553ec5e650ebc9ff7812033f009c6301003e0690525244a4b1ab8,8acf2e1e012251b7ddadd4ff7b93878a60066a788d7815190d20013e04610581,9a7b5ea2d874493e7d22fd8c17998336169cc7a0fd60ba713498248319ce2007,b3e6da6ed78972c009bf35dc6888dfd40bbd909598dfd230069487e19386bae7,c562cc0a56505f4589d74fa7bc5d45c2f5ddc572821fca82066b9ab17425fd15,4ded8a03ca92f00283c4419ff83807db0f3ee5035dc52495356f677765245261
"","","se_travel","","1001","","","0","1010010001","23","se_travel_finish_assemble"
"-160","-275","1","0","1001","1.46","travel_exdrama_r_100_run","1","1010010002","1","1000001"
"-200","-575","1","0","1001","1.46","travel_exdrama_r_100_run","2","1010010003","1","1000002"
"-250","-750","1","0","1001","1.46","travel_exdrama_r_100_run","3","1010010004","1","1000003"
"-175","575","1","1","1001","1.46","travel_exdrama_r_100_run","4","1010010005","1","1000004"
"-250","750","1","1","1001","1.46","travel_exdrama_r_100_run","5","1010010006","1","1000005"
"0","1","1000001","","1001","","","-160","1010010007","2","-100"
"0","1","1000002","","1001","","","-200","1010010008","2","-275"
"0","1","1000003","","1001","","","-250","1010010009","2","-450"
"0","1","1000004","","1001","","","-175","1010010010","2","275"
"0","1","1000005","","1001","","","-250","1010010011","2","450"
"0","0","1","","1001","","","0","1010010012","93","0"
"0","","1000001","0","1001","0.2","","0","1010010013","3","travel_exdrama_r_100_raiseup"
"0","","1000002","0","1001","0","","1","1010010014","3","travel_exdrama_r_100_idle"
"0","","1000003","0","1001","0","","1","1010010015","3","travel_exdrama_r_100_idle"
"0","","1000004","0","1001","0","","1","1010010016","3","travel_exdrama_r_100_idle"
"0","","1000005","0","1001","0","","1","1010010017","3","travel_exdrama_r_100_idle"
"-160","-100","1","0","1001","1.46","travel_exdrama_r_100_raiseup","11","1010010018","5","1"
"","","1","","1001","","","","1010010019","93","0"
"0","","1000001","","1001","0.12","","","1010010020","6",""
"0","","1000002","","1001","0.12","","","1010010021","6",""
"0","","1000003","","1001","0.12","","","1010010022","6",""
"0","","1000004","","1001","0.12","","","1010010023","6",""
"0","","1000005","","1001","0.12","","","1010010024","6",""
"0","","1","","1001","0.12","","","1010010025","6",""
"","","0.12","","1001","","","","1010010026","93","0"
"","","0","","1001","","","","1010010027","91",""
"","","se_travel","","1002","","","0","1010020001","23","se_travel_finish_assemble"
"-160","-275","1","0","1002","1.46","travel_exdrama_r_100_run","1","1010020002","1","1000001"
"-200","-575","1","0","1002","1.46","travel_exdrama_r_100_run","2","1010020003","1","1000002"
"-250","-750","1","0","1002","1.46","travel_exdrama_r_100_run","3","1010020004","1","1000003"
"-175","575","1","1","1002","1.46","travel_exdrama_r_100_run","4","1010020005","1","1000004"
"-250","750","1","1","1002","1.46","travel_exdrama_r_100_run","5","1010020006","1","1000005"
"1","20","10000","","1002","0","","-40","1010020007","31","10000"
"0","1","1000001","","1002","","","-160","1010020008","2","-100"
"0","1","1000002","","1002","","","-200","1010020009","2","-275"
"0","1","1000003","","1002","","","-250","1010020010","2","-450"
"0","1","1000004","","1002","","","-175","1010020011","2","275"
"0","1","1000005","","1002","","","-250","1010020012","2","450"
"0","0","1","","1002","","","0","1010020013","93","0"
"0","","1000001","0","1002","0.2","","0","1010020014","3","travel_exdrama_r_100_raiseup"
"0","","1000002","0","1002","0","","1","1010020015","3","travel_exdrama_r_100_idle"
"0","","1000003","0","1002","0","","1","1010020016","3","travel_exdrama_r_100_idle"
"0","","1000004","0","1002","0","","1","1010020017","3","travel_exdrama_r_100_idle"
"0","","1000005","0","1002","0","","1","1010020018","3","travel_exdrama_r_100_idle"
"-160","-100","1","0","1002","1.46","travel_exdrama_r_100_raiseup","11","1010020019","5","1"
"0","0","0.4","","1002","0","","0","1010020020","93","0"
"0","","10000","","1002","","","","1010020021","32","1"
"","","0.6","","1002","","","","1010020022","93","0"
"0","","1000001","","1002","0.12","","","1010020023","6",""
"0","","1000002","","1002","0.12","","","1010020024","6",""
"0","","1000003","","1002","0.12","","","1010020025","6",""
"0","","1000004","","1002","0.12","","","1010020026","6",""
"0","","1000005","","1002","0.12","","","1010020027","6",""
"0","","1","","1002","0.12","","","1010020028","6",""
"","","0.12","","1002","","","","1010020029","93","0"
"","","0","","1002","","","","1010020030","91",""
"1","5","10100","","1011","1","","-350","1010110001","31","10100"
"1","50","10002","","1011","0","","-525","1010110002","31","10002"
"1","-121","10101","","1011","1","","-184","1010110003","31","10101"
"1","5","10102","","1011","0","","-350","1010110004","31","10102"
"1","5","10103","","1011","0","","-350","1010110005","31","10103"
"1","5","10104","","1011","0","","-350","1010110006","31","10104"
"-200","-470","1","0","1011","1.46","travel_exdrama_r_101_walk","11","1010110007","1","1000001"
"-150","-320","1","0","1011","1.46","travel_exdrama_r_101_walk","1","1010110008","1","1000002"
"-200","-470","1","0","1011","1.46","travel_exdrama_r_101_walk","12","1010110009","5","1"
"-150","-320","1","0","1011","1.46","travel_exdrama_r_101_walk","2","1010110010","5","2"
