3c7515322f885b127be2bbe621866fb4d8e5c5e2bca87e5a2d4d4b3c5944c5cc,fab55373ab396d5a3e97baebd92d7b0cd7651567a1168a33289094e4ea7968e8,b87f9bc1a51e139daa8f2d36d08449c3c48051beebee91a36ca6962e08f65741
"32001","エレクトロ・ギガス","6"
"32001","壊乱の黒鎧騎士","7"
"32001","ライライ","8"
"32001","ニードルクリーパー","9"
"32001","白陽・黒月の守護像","10"
"32002","エレクトロ・ギガス","6"
"32002","壊乱の黒鎧騎士","7"
"32002","ライライ","8"
"32002","ニードルクリーパー","9"
"32002","白陽・黒月の守護像","10"
"32003","ハイ・ガルグ","6"
"32003","カース・オラム","7"
"32003","ワイルドグリフォン","8"
"32003","ジャッカルシーフ","9"
"32003","黒月・白陽の守護像","10"
"32004","マスター・ウキキー","6"
"32004","キリングオルカ","7"
"32004","ランドスロース","8"
"32004","マッドベア","9"
"32004","ラースドラゴン","10"
"32005","イワノヅチ","6"
"32005","水瑚麟","7"
"32005","ワイバーン","8"
"32005","マダムプリズム","9"
"32005","ラースドラゴン","10"
"32006","ロード・イビリィ","6"
"32006","紅極鳥","7"
"32006","ライライ","8"
"32006","オークチーフ","9"
"32006","ラースドラゴン","10"
"32007","エレクトロ・ギガス","6"
"32007","クリスタルゴーレム","7"
"32007","ランドスロース","8"
"32007","ソードコブラ","9"
"32007","アルティマガーディアン","10"
"32008","マスター・ウキキー","6"
"32008","カース・オラム","7"
"32008","ゴブリンライダー","8"
"32008","ライデン","9"
"32008","アルティマガーディアン","10"
"32009","イワノヅチ","6"
"32009","紅極鳥","7"
"32009","ワイバーン","8"
"32009","トライロッカー","9"
"32009","アルティマガーディアン","10"
"32010","マスター・ウキキー","6"
"32010","ゴブリンメイスター","7"
"32010","フロストハウンド","8"
"32010","スカイワルキューレ","9"
"32010","ゴブリンロード","10"
"32011","壊乱の黒鎧騎士","6"
"32011","オクタスキッド","7"
"32011","ゴブリングレート","8"
"32011","ティタノタートル","9"
"32011","ゴブリンロード","10"
