99aec0dc99d40b173f9aa6face34418fee4400b67fd146248796210367514f81,36799ee621782fe2488bbcbc932c51fb4031e21d4f59f15b90ffb78563ecc30b,4e16d70b7c1dfdb843b2b8064aac91fd646fa74f2215cb17ec5e0d03709bc2be,4a28bb68427de22a1fecf9415eed1132c8135dad47039679972c08a63f749223,2e8bf163bacf8b94c38447ea9ec211316b4260ffccb045c019dff48c182af621
"94002","1","3000000","12","100101"
"20004","2","300","2","100101"
"90008","3","1000","2","100102"
"25001","4","6","2","100103"
"94002","5","1000000","12","100104"
"20004","6","300","2","100104"
"90008","7","1000","2","100105"
"25001","8","6","2","100106"
"91002","9","40","8","100107"
"94002","10","1000000","12","100107"
"20004","11","300","2","100107"
"90008","12","1000","2","100108"
"41000","13","1","2","100109"
"25001","14","7","2","100109"
"94002","15","1000000","12","100110"
"20004","16","400","2","100110"
"90008","17","1500","2","100111"
"91002","18","40","8","100112"
"25001","19","7","2","100112"
"94002","20","1000000","12","100113"
"20004","21","400","2","100113"
"90008","22","1500","2","100114"
"41000","23","1","2","100115"
"25001","24","7","2","100115"
"94002","25","1000000","12","100116"
"20004","26","500","2","100116"
"91002","27","40","8","100117"
"90008","28","1500","2","100117"
"94002","29","2000000","12","100118"
"25001","30","8","2","100118"
"90008","31","2000","2","100118"
"94002","32","3000000","12","100201"
"20004","33","300","2","100201"
"90008","34","1000","2","100202"
"25001","35","12","2","100203"
"94002","36","1000000","12","100204"
"20004","37","300","2","100204"
"90008","38","1000","2","100205"
"25001","39","10","2","100206"
"91002","40","40","8","100207"
"94002","41","1000000","12","100207"
"20004","42","300","2","100207"
"90008","43","1000","2","100208"
"41000","44","1","2","100209"
"25001","45","10","2","100209"
"94002","46","1000000","12","100210"
"20004","47","400","2","100210"
"90008","48","1500","2","100211"
"91002","49","40","8","100212"
"25001","50","9","2","100212"
"94002","51","1000000","12","100213"
"20004","52","400","2","100213"
"90008","53","1500","2","100214"
"41000","54","1","2","100215"
"94002","55","1000000","12","100216"
"20004","56","500","2","100216"
"91002","57","40","8","100217"
"90008","58","1500","2","100217"
"94002","59","2000000","12","100218"
"90008","60","2000","2","100218"
"94002","61","3000000","12","100301"
"20004","62","300","2","100301"
"90008","63","1000","2","100302"
"25001","64","12","2","100303"
"94002","65","1000000","12","100304"
"20004","66","300","2","100304"
"90008","67","1000","2","100305"
"25001","68","10","2","100306"
"91002","69","40","8","100307"
"94002","70","1000000","12","100307"
"20004","71","300","2","100307"
"90008","72","1000","2","100308"
"41000","73","1","2","100309"
"25001","74","10","2","100309"
"94002","75","1000000","12","100310"
"20004","76","400","2","100310"
"90008","77","1500","2","100311"
"91002","78","40","8","100312"
"25001","79","9","2","100312"
"94002","80","1000000","12","100313"
"20004","81","400","2","100313"
"90008","82","1500","2","100314"
"41000","83","1","2","100315"
"94002","84","1000000","12","100316"
"20004","85","500","2","100316"
"91002","86","40","8","100317"
"90008","87","1500","2","100317"
"94002","88","2000000","12","100318"
"90008","89","2000","2","100318"
"94002","90","3000000","12","100401"
"20004","91","300","2","100401"
"90008","92","1000","2","100402"
"25001","93","12","2","100403"
"94002","94","1000000","12","100404"
"20004","95","300","2","100404"
"90008","96","1000","2","100405"
"25001","97","10","2","100406"
"91002","98","40","8","100407"
"94002","99","1000000","12","100407"
"20004","100","300","2","100407"
"90008","101","1000","2","100408"
"41000","102","1","2","100409"
"25001","103","10","2","100409"
