0229e82f09bc274a61e5850cc42f7340ba960fc258c5d16b69d49ed58d31b519,d5099623aa4b69514b48bcda2c60e6678ebb4f30976d1819601bec2aa504b832,ae060323728267bb70e0e783577d7b60395f75bf2bd8240f7ab546f49b9d6cb7,34f514399a062b0f4502fe7936ff07fb21beb15e3f859e9f923165622bc41961,0858962e52e39ef18a336f26df5503a88f380853d53f12565ee9d396b38f419d,dcf54120cacb32cb51e0597c5ff6c28b2ad1e6b8cb0a706043837527b5be2360,01164f898ee45bea5c941e4a55387ba71bc6ad1ecc4724176a896bad237e4016,afd70ffc26bc7cedb06ab4dc9eb317e2e6303d47e880f9521518706e293abd60,273f4c9cce3519d91b713815f0f861264490f59693a0a80e133064a7ba884514,230667e51fb1ffdc84271fa1e3e8aac98f97cf71d5a3181604f38e08ddd9e728,ac8acc677e7acc253e4272241459c948a50266f5fe15c8378a107103231a7dac,3a739234341d6744e82c8472d15b493e789c4e6ae4e0bddc37af37832cff8e5f,c183414e25c729a42eb6da189d62d19025c9f95f4c413d22fc52aa71a5f6564e
"29","","","","","","","1","3100101","","","31001_01",""
"59","","","","","","","30","3100101","","","31001_03",""
"-1","","","","","","","60","3100101","","","31001_05",""
"29","","","","","","","1","3100102","31001_01","","31001_01",""
"59","","","","","","","30","3100102","31001_03","","31001_03",""
"-1","","","","","","","60","3100102","31001_05","","31001_05",""
"29","","","","","","","1","3100103","31001_01","","31001_01","31001_01"
"59","","","","","","","30","3100103","31001_03","","31001_03","31001_03"
"-1","","","","","","","60","3100103","31001_05","","31001_05","31001_05"
"29","","","","","","","1","3100104","31001_01","31001_01","31001_01","31001_01"
"59","","","","","","","30","3100104","31001_03","31001_03","31001_03","31001_03"
"-1","","","","","","","60","3100104","31001_05","31001_05","31001_05","31001_05"
"289","","","","","","","1","3100201","","","61005_01",""
"299","","","","","","","290","3100201","","","61005_02",""
"309","","","","","","","300","3100201","","","61005_03",""
"319","","","","","","","310","3100201","","","61005_04",""
"329","","","","","","","320","3100201","","","61005_05",""
"339","","","","","","","330","3100201","","","61005_06",""
"349","","","","","","","340","3100201","","","61005_07",""
"359","","","","","","","350","3100201","","","61005_08",""
"369","","","","","","","360","3100201","","","61005_09",""
"-1","","","","","","","370","3100201","","","61005_10",""
