645e219a3671772f51b0b42cb4f13b061d8231b5c2bfcf1ca8de18b0650a2520,e69694bbed3703ccf351db40034ef2f75c5e6a7e05309ace15d0cc56f54ded93,45e76a47311f8a59fc6cf6e790bd26fe17fc04dbb95b5d99eb9d4ca05369c0cf,fdb47db4d8b2871a4fed21a6e1d2c4432965a1584ebaf40fbe6ce7191ca54cdb,d727f26b90d64181f3bc465ddf90ed21e3b27a33db165b22f830c829b00e5bb2,65c2b73fdccd14368e40f2e3119ff7a294f29f864ded4345ca0ace684d3db752
"100111","10011","0","0","0","100112"
"100121","10012","100125","100124","100123","100122"
"100131","10013","100135","100134","100133","100132"
"100211","10021","0","0","0","0"
"100221","10022","0","0","0","0"
"100231","10023","0","0","0","100232"
"100311","10031","0","0","0","0"
"100321","10032","0","0","0","0"
"100331","10033","100335","100334","100333","100332"
"100411","10041","0","0","0","100412"
"100421","10042","0","0","0","100422"
"100431","10043","0","0","0","100432"
"100511","10051","0","0","0","0"
"100521","10052","100525","100524","100523","100522"
"100531","10053","100535","100534","100533","100532"
"110011","11001","0","0","0","0"
"110021","11002","0","0","0","0"
"110031","11003","0","0","0","0"
"110041","11004","0","0","0","0"
"110051","11005","0","0","0","0"
"120011","12001","0","0","0","0"
"120021","12002","0","0","0","0"
"120031","12003","0","0","0","0"
"120041","12004","0","0","0","0"
"120051","12005","0","0","0","0"
"130011","13001","0","0","0","0"
"130021","13002","0","0","0","130022"
"130031","13003","0","0","0","0"
"130041","13004","0","0","0","130042"
"130051","13005","0","0","0","0"
"140011","14001","0","0","0","0"
"140021","14002","0","0","0","0"
"140031","14003","0","0","0","0"
"140041","14004","0","0","0","140042"
"140051","14005","0","0","0","140052"
"150011","15001","0","0","0","0"
"150021","15002","0","0","0","0"
"150031","15003","150035","150034","150033","150032"
"150041","15004","150045","150044","150043","150042"
"150051","15005","0","0","0","0"
"210011","21001","0","0","0","0"
"210021","21002","0","0","0","0"
"210031","21003","0","0","0","0"
"210041","21004","0","0","0","0"
"210051","21005","0","0","0","0"
"220011","22001","0","0","0","0"
"220021","22002","0","0","0","0"
"220031","22003","0","0","0","0"
"220041","22004","0","0","0","0"
"220051","22005","0","0","0","0"
"230011","23001","0","0","0","0"
"230021","23002","0","0","0","230022"
"230031","23003","0","0","0","0"
"230041","23004","0","0","0","230042"
"230051","23005","0","0","0","0"
"240011","24001","0","0","0","0"
"240021","24002","0","0","0","0"
"240031","24003","0","0","0","0"
"240041","24004","0","0","0","240042"
"240051","24005","0","0","0","240052"
"250011","25001","0","0","0","0"
"250021","25002","0","0","0","0"
"250031","25003","250035","250034","250033","250032"
"250041","25004","250045","250044","250043","250042"
"250051","25005","0","0","0","0"
"300011","30001","0","0","0","0"
"310011","31001","0","0","0","0"
"310021","31002","0","0","0","0"
"310031","31003","0","0","0","0"
"310041","31004","0","0","0","0"
"310051","31005","0","0","0","0"
"310061","31006","0","0","0","0"
"320011","32001","0","0","0","0"
"320021","32002","0","0","0","0"
"320031","32003","0","0","0","0"
"320041","32004","0","0","0","0"
"320051","32005","0","0","0","0"
"320061","32006","0","0","0","0"
"330011","33001","0","0","0","0"
"330021","33002","0","0","0","330022"
"330031","33003","0","0","0","0"
"330041","33004","0","0","0","330042"
"330051","33005","0","0","0","0"
"330061","33006","0","0","0","330062"
"340011","34001","0","0","0","0"
"340021","34002","0","0","0","0"
"340031","34003","0","0","0","0"
"340041","34004","0","0","0","340042"
"340051","34005","0","0","0","340052"
"340061","34006","0","0","0","0"
"350011","35001","0","0","0","0"
"350021","35002","0","0","0","0"
"350031","35003","350035","350034","350033","350032"
"350041","35004","350045","350044","350043","350042"
"350051","35005","0","0","0","0"
"350061","35006","0","0","0","0"
"400011","40001","0","0","400013","400012"
"400021","40002","0","0","0","0"
"400031","40003","0","0","0","0"
"400041","40004","0","400044","400043","400042"
"400051","40005","0","0","0","0"
"500011","50001","0","0","0","500012"
"500021","50002","0","0","0","0"
"500031","50003","0","0","0","0"
"500041","50004","0","0","0","0"
"500051","50005","0","0","0","0"
