3cefa09cbd32d783d5daab5c180ca089152387c92a641f824677c61d35ff9640,e88151d4fd9e703ff552fdc94bed2e471aa4a389a572a2d4aaa01246fc2b3308,edd53c307eab58b0d72335fb2a815e3d6e2a2875a268e4db1600733dab18a51e,000c57cdace1040c0647529549143f99dc3a5b3dd6fef068c48ab7665a388abd,d2fed92c9f8ea82513db1fb0830091c76276b5c3a8575345ba6ec7c482780722,be2494f37fc7dbf95c082f73f4975428b06563f55d41ee39891b2a3a83c67fd0
"211","803100263","212","2146041","1","3001"
"211","803100263","212","2146042","1","3002"
"211","803100263","212","2146043","1","3003"
"211","803100263","212","2146044","1","3004"
"213","803100272","212","2147041","1","3006"
"213","803100272","212","2147042","1","3007"
"202","803100253","313","2145039","1","30011"
"105","803100253","302","2145040","0","30012"
"204","803100256","311","2145069","1","30021"
"205","803100256","312","2145070","1","30022"
"212","803100259","310","2145099","1","30031"
"107","803100259","301","2145100","0","30032"
"110","803100262","307","2146039","0","30041"
"105","803100262","302","2146040","0","30042"
"203","803100267","314","2146081","1","30051"
"205","803100269","312","2147019","1","30061"
"106","803100269","303","2147020","0","30062"
"202","803100271","313","2147039","1","30071"
"212","803100271","310","2147040","1","30072"
"104","803100251","100","2145011","0","300101"
"104","803100251","100","2145012","0","300102"
"105","803100251","102","2145013","0","300103"
"104","803100251","100","2145014","0","300104"
"105","803100251","102","2145015","0","300105"
"106","803100251","103","2145016","0","300106"
"105","803100251","102","2145017","0","300107"
"106","803100251","103","2145018","0","300108"
"204","803100251","111","2145019","1","300109"
"104","803100251","100","2145020","0","300110"
"104","803100252","100","2145021","0","300111"
"105","803100252","102","2145022","0","300112"
"104","803100252","100","2145023","0","300113"
"105","803100252","102","2145024","0","300114"
"106","803100252","103","2145025","0","300115"
"105","803100252","102","2145026","0","300116"
"106","803100252","103","2145027","0","300117"
"204","803100252","111","2145028","1","300118"
"104","803100252","100","2145029","0","300119"
"104","803100252","100","2145030","0","300120"
"105","803100253","102","2145031","0","300121"
"104","803100253","100","2145032","0","300122"
"105","803100253","102","2145033","0","300123"
"208","803100253","112","2145034","1","300124"
"212","803100253","110","2145035","1","300125"
"104","803100253","100","2145036","0","300126"
"105","803100253","102","2145037","0","300127"
"106","803100253","103","2145038","0","300128"
"107","803100254","101","2145041","0","300201"
"107","803100254","101","2145042","0","300202"
"105","803100254","102","2145043","0","300203"
"106","803100254","103","2145044","0","300204"
"202","803100254","113","2145045","1","300205"
"203","803100254","114","2145046","1","300206"
"107","803100254","101","2145047","0","300207"
"202","803100254","113","2145048","1","300208"
"203","803100254","114","2145049","1","300209"
"107","803100254","101","2145050","0","300210"
"107","803100255","101","2145051","0","300211"
"105","803100255","102","2145052","0","300212"
"106","803100255","103","2145053","0","300213"
"202","803100255","113","2145054","1","300214"
"203","803100255","114","2145055","1","300215"
"107","803100255","101","2145056","0","300216"
"202","803100255","113","2145057","1","300217"
"203","803100255","114","2145058","1","300218"
"107","803100255","101","2145059","0","300219"
"107","803100255","101","2145060","0","300220"
"105","803100256","102","2145061","0","300221"
"106","803100256","103","2145062","0","300222"
"107","803100256","101","2145063","0","300223"
"208","803100256","112","2145064","1","300224"
"212","803100256","110","2145065","1","300225"
"105","803100256","102","2145066","0","300226"
"106","803100256","103","2145067","0","300227"
"107","803100256","101","2145068","0","300228"
"104","803100257","100","2145071","0","300301"
"107","803100257","101","2145072","0","300302"
"107","803100257","101","2145073","0","300303"
"202","803100257","113","2145074","1","300304"
"203","803100257","114","2145075","1","300305"
"104","803100257","100","2145076","0","300306"
"107","803100257","101","2145077","0","300307"
"204","803100257","111","2145078","1","300308"
"205","803100257","112","2145079","1","300309"
"104","803100257","100","2145080","0","300310"
"107","803100258","101","2145081","0","300311"
"107","803100258","101","2145082","0","300312"
"202","803100258","113","2145083","1","300313"
"203","803100258","114","2145084","1","300314"
"104","803100258","100","2145085","0","300315"
"107","803100258","101","2145086","0","300316"
"204","803100258","111","2145087","1","300317"
"205","803100258","112","2145088","1","300318"
"104","803100258","100","2145089","0","300319"
"107","803100258","101","2145090","0","300320"
"104","803100259","100","2145091","0","300321"
"107","803100259","101","2145092","0","300322"
"202","803100259","113","2145093","1","300323"
"208","803100259","112","2145094","1","300324"
"104","803100259","100","2145095","0","300325"
"107","803100259","101","2145096","0","300326"
"204","803100259","111","2145097","1","300327"
"205","803100259","112","2145098","1","300328"
"105","803100260","102","2146011","0","300401"
"105","803100260","102","2146012","0","300402"
"202","803100260","113","2146013","1","300403"
"203","803100260","114","2146014","1","300404"
"105","803100260","102","2146015","0","300405"
"202","803100260","113","2146016","1","300406"
"203","803100260","114","2146017","1","300407"
"105","803100260","102","2146018","0","300408"
"105","803100260","102","2146019","0","300409"
"105","803100260","102","2146020","0","300410"
"105","803100261","102","2146021","0","300411"
"202","803100261","113","2146022","1","300412"
"203","803100261","114","2146023","1","300413"
"105","803100261","102","2146024","0","300414"
"202","803100261","113","2146025","1","300415"
"203","803100261","114","2146026","1","300416"
"105","803100261","102","2146027","0","300417"
"105","803100261","102","2146028","0","300418"
"202","803100261","113","2146029","1","300419"
"202","803100261","113","2146030","1","300420"
"202","803100262","113","2146031","1","300421"
"203","803100262","114","2146032","1","300422"
"105","803100262","102","2146033","0","300423"
"208","803100262","112","2146034","1","300424"
"212","803100262","110","2146035","1","300425"
"202","803100262","113","2146036","1","300426"
"202","803100262","113","2146037","1","300427"
"105","803100262","102","2146038","0","300428"
"104","803100264","100","2146051","0","300501"
"104","803100264","100","2146052","0","300502"
"104","803100264","100","2146053","0","300503"
"104","803100264","100","2146054","0","300504"
"105","803100264","102","2146055","0","300505"
"106","803100264","103","2146056","0","300506"
"104","803100264","100","2146057","0","300507"
"104","803100264","100","2146058","0","300508"
"105","803100264","102","2146059","0","300509"
"106","803100264","103","2146060","0","300510"
"104","803100265","100","2146061","0","300511"
"104","803100265","100","2146062","0","300512"
"104","803100265","100","2146063","0","300513"
"104","803100265","100","2146064","0","300514"
"105","803100265","102","2146065","0","300515"
"106","803100265","103","2146066","0","300516"
"104","803100265","100","2146067","0","300517"
"104","803100265","100","2146068","0","300518"
"105","803100265","102","2146069","0","300519"
"106","803100265","103","2146070","0","300520"
"104","803100266","100","2146071","0","300521"
"104","803100266","100","2146072","0","300522"
"202","803100266","113","2146073","1","300523"
"203","803100266","114","2146074","1","300524"
"104","803100266","100","2146075","0","300525"
"208","803100266","112","2146076","1","300526"
"212","803100266","110","2146077","1","300527"
"202","803100266","113","2146078","1","300528"
"203","803100266","114","2146079","1","300529"
"104","803100266","100","2146080","0","300530"
"203","803100268","114","2146091","1","300601"
"202","803100268","113","2146092","1","300602"
"105","803100268","102","2146093","0","300603"
"203","803100268","114","2146094","1","300604"
"106","803100268","103","2146095","0","300605"
"203","803100268","114","2146096","1","300606"
"204","803100268","111","2146097","1","300607"
"203","803100268","114","2146098","1","300608"
"202","803100268","113","2146099","1","300609"
"105","803100268","102","2146100","0","300610"
"203","803100269","114","2147011","1","300611"
"106","803100269","103","2147012","0","300612"
"203","803100269","114","2147013","1","300613"
"204","803100269","111","2147014","1","300614"
"212","803100269","110","2147015","1","300615"
"203","803100269","114","2147016","1","300616"
"105","803100269","102","2147017","0","300617"
"106","803100269","103","2147018","0","300618"
"204","803100270","111","2147021","1","300701"
"104","803100270","100","2147022","0","300702"
"107","803100270","101","2147023","0","300703"
"202","803100270","113","2147024","1","300704"
"203","803100270","114","2147025","1","300705"
"105","803100270","102","2147026","0","300706"
"205","803100270","112","2147027","1","300707"
