bb8f9b397466a87e9754826be177eedfa336dd68a57a271c74adb0d0eacdbc79,48a2762a73c9247228b13cadf20fc98ad2e3dad6992a6259a4b88d53e7f5f9f6,51ece732eec600386f39e3073a7c6ebb810ab9ca65f444070319973e57a66e2b,1aa2083d316561daaf108b20778bf2598f3aa4edd2d0b29a461d15442f1e7ec9,3e5526c31c4cda900009667a13a1a225601567952483a1cc6321a0d3c4f8585e,2548d9ecde3c1074ca2bb9a841f48513dc72121829e6ddca2cf6bbbc3e0d33ba,557d160e2f7eed7b514507e59fdd783c4010146e63af4b73ab9751e8e949bd18,85e20c4f81905b03648437ff4272b7eaabcdf65321af6b7d23c553e32330cf51
"1","1","100","平凡な未鑑定トレジャー","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","200","平凡な\n未鑑定トレジャー","53001"
"2","1","200","貴重な未鑑定トレジャー","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","400","貴重な\n未鑑定トレジャー","53002"
"3","1","400","至高の未鑑定トレジャー","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。","800","至高の\n未鑑定トレジャー","53003"
"1","0","100","平凡なジェムストーン","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","200","平凡なジェムストーン","53004"
"2","0","200","貴重なジェムストーン","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","400","貴重なジェムストーン","53005"
"3","0","400","至高のジェムストーン","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","800","至高のジェムストーン","53006"
"1","0","100","平凡なインゴット","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","200","平凡なインゴット","53007"
"2","0","200","貴重なインゴット","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","400","貴重なインゴット","53008"
"3","0","400","至高のインゴット","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","800","至高のインゴット","53009"
"1","0","100","平凡なスクロール","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","200","平凡なスクロール","53010"
"2","0","200","貴重なスクロール","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","400","貴重なスクロール","53011"
"3","0","400","至高のスクロール","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","800","至高のスクロール","53012"
"1","0","100","平凡なティアラ","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","200","平凡なティアラ","53013"
"2","0","200","貴重なティアラ","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","400","貴重なティアラ","53014"
"3","0","400","至高のティアラ","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","800","至高のティアラ","53015"
"1","0","100","平凡なルーン","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","200","平凡なルーン","53016"
"2","0","200","貴重なルーン","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","400","貴重なルーン","53017"
"3","0","400","至高のルーン","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","800","至高のルーン","53018"
"1","0","100","平凡なクラウン","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","200","平凡なクラウン","53019"
"2","0","200","貴重なクラウン","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","400","貴重なクラウン","53020"
"3","0","400","至高のクラウン","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","800","至高のクラウン","53021"
"1","0","100","平凡なアーティファクト","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","200","平凡なアーティファクト","53022"
"2","0","200","貴重なアーティファクト","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","400","貴重なアーティファクト","53023"
"3","0","400","至高のアーティファクト","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","800","至高のアーティファクト","53024"
