3e155f35dccab228607dc8774fa21ea4fac8d3e7af487dbef97349bb263396c0,90c5da8ce045a1d97834800e331eeab0d1830a8850ab32a0a3d589bd2a31a6c7,607d0decb85566b5c5d2783f24262f30537bd1d74290c43dab5401e6490c5b93,605d15390e95ed39174c1cd1abfd97ed6af3c47244cf909145bf6af53dea2fd5,d13e1eb6a46f6ae9c0420494898e7f612fe5472a1cc25df934ada3aac883b867,9f667d629bfbf51cfe282e39e6a917992aeedd9b631852f37a34a9813489d0e0
"150","10","0","150","1","1"
"250","10","0","400","2","1"
"400","10","0","800","3","1"
"150","20","0","150","1","2"
"250","20","0","400","2","2"
"400","20","0","800","3","2"
"500","20","1","1300","4","2"
"800","30","0","800","1","3"
"1000","30","0","1800","2","3"
"1200","30","0","3000","3","3"
"1400","30","1","4400","4","3"
"1600","30","2","6000","5","3"
"800","40","0","800","1","4"
"1000","40","0","1800","2","4"
"1200","40","0","3000","3","4"
"1400","40","1","4400","4","4"
"1600","40","2","6000","5","4"
"0","0","0","0","0","5"
