88025abfd9541492dcd81391542a95b67977d0b2a9c5b86cbf67f642f3f0269b,972af73d84a4b528b31af266269c9bd3c5be3f2b8a1c24389de05975caf77c06,6492e73d6f31beef55ce869940dece23703d35e095afe6e165840ab66ca2c728,5e7632e857fc358831c08a579b2c32ebda52a14b65c504551dca780b2a1a1f46,599bb4c3348709dff07d60843bc86b0ece85097e1bd862c46433704e25c1902e,0262ee55bdff539a8ab8ae338d0d72caa80636ebc7500d028fd34791b34be5ec,afb373961099b5e853ee5396bc36637d49c3efb3e35f667a6559f92616482044,246d56a1c709ea4b3f051efd5babf1db5c7e169c4a308b5b65d7162d2fc2fe0b,18ab76dfcc686be579fb7449a6d50bd69e5788356dfc10543dd19b45ccfe6673,9f35aa87a80e4418354c61f8d167fa7a9e291ec20d7941fea5514825214a94df,8680f53bfd0c8a1b649fdc12b4ded046b14e07f75d2c685f47c939a364ec5caa,8ece7b7dbfa1ee0d032a789166f04690bacabf7be2c88bd2e19fe0dbd028ce16,5977b652b3223fb026a8871614fe6751706088f23e725157fa09254484060a9e,8161ce58f3d3ee2dd42817bc8d79c5cdb27cdf3ad0415d2d5983f0b0acf32398,f86f2fd23fd5cc9329d2a60c3b09f0783d26893e2fad12fd5a29ec66d7795a9f
"90110001","100113","90","1","100113","bgm_M57","bgm_M57","1","110001","0","701000101","0","1","EASY","0"
"90110002","100113","90","1","100113","bgm_M57","bgm_M57","1","110001","0","701000102","0","2","NORMAL","0"
"90110003","100113","90","1","100113","bgm_M57","bgm_M57","1","110001","0","701000103","0","3","HARD","0"
"90110004","100113","90","1","100113","bgm_M57","bgm_M57","1","110001","0","701000104","0","4","VERY HARD","0"
"90110005","100113","90","1","100113","bgm_M57","bgm_M57","1","110001","0","701000105","0","5","EXTREME","0"
"90120001","103013","90","1","103013","bgm_M169","bgm_M169","2","120001","0","701000201","0","1","EASY","0"
"90120002","103013","90","1","103013","bgm_M169","bgm_M169","2","120001","0","701000202","0","2","NORMAL","0"
"90120003","103013","90","1","103013","bgm_M169","bgm_M169","2","120001","0","701000203","0","3","HARD","0"
"90120004","103013","90","1","103013","bgm_M169","bgm_M169","2","120001","0","701000204","0","4","VERY HARD","0"
"90120005","103013","90","1","103013","bgm_M169","bgm_M169","2","120001","0","701000205","0","5","EXTREME","0"
"90130001","100113","90","1","100113","bgm_M64","bgm_M64","3","130001","0","701000301","0","1","EASY","0"
"90130002","100113","90","1","100113","bgm_M64","bgm_M64","3","130001","0","701000302","0","2","NORMAL","0"
"90130003","100113","90","1","100113","bgm_M64","bgm_M64","3","130001","0","701000303","0","3","HARD","0"
"90130004","100113","90","1","100113","bgm_M64","bgm_M64","3","130001","0","701000304","0","4","VERY HARD","0"
"90130005","100113","90","1","100113","bgm_M64","bgm_M64","3","130001","0","701000305","0","5","EXTREME","0"
"90140001","100113","90","1","100113","bgm_M07","bgm_M07","4","140001","0","701000401","0","1","EASY","0"
"90140002","100113","90","1","100113","bgm_M07","bgm_M07","4","140001","0","701000402","0","2","NORMAL","0"
"90140003","100113","90","1","100113","bgm_M07","bgm_M07","4","140001","0","701000403","0","3","HARD","0"
"90140004","100113","90","1","100113","bgm_M07","bgm_M07","4","140001","0","701000404","0","4","VERY HARD","0"
"90140005","100113","90","1","100113","bgm_M07","bgm_M07","4","140001","0","701000405","0","5","EXTREME","0"
"90150001","103013","90","1","103013","bgm_M170","bgm_M170","5","150001","0","701000501","0","1","EASY","0"
"90150002","103013","90","1","103013","bgm_M170","bgm_M170","5","150001","0","701000502","0","2","NORMAL","0"
"90150003","103013","90","1","103013","bgm_M170","bgm_M170","5","150001","0","701000503","0","3","HARD","0"
"90150004","103013","90","1","103013","bgm_M170","bgm_M170","5","150001","0","701000504","0","4","VERY HARD","0"
"90150005","103013","90","1","103013","bgm_M170","bgm_M170","5","150001","0","701000505","0","5","EXTREME","0"
