e4da03ba096581dc51d312017e18941b78927fe7629463f208a2c9094bdc8c85,0fcf87de06a53d897be11990a53dcb5f517d7177f2997ec1615527f4ef05d1d6,ae9babca60f223a11c8b1fedb4d791ff4be63a249ab961c28016dfc0278148bb,13e43de079407ce5ef443ec3f087dcfe7b225662e17d62a77c535c44b8e15ee9,179b7f5fe0eea24db1858681881506a7487c23a2c655d196ea7abcae96e02255,9c87fbac4fbaf72f1c9e621d71ac2a887e26566a574df61e6c54879f40041310,6989138ce1fca706be12a99a2a57272dcd7ab8ae2eb21cb620ac1c2c689204fb,3096c36e4f76c6e44b224973f580e80efc12c8dfb8900306f12ab6165ad579f3,0488208eb73b3b42c143f705a7e491bcd34d0973407c67cf30bdc2200f58f359,cb416227e98cb1206cba012d151ccb6e113264c8a85a69db84addb0e627290d6,a8b577966239238e6a84eb00e1031f91fc416f0e47d403ca7293e27931c5beb5
"10101","オムレツ","1","250","1","110","8","1","0","0","1010100"
"10101","オムレツ","1","222","1","110","9","1","0","0","1010101"
"10101","オムレツ","1","200","1","110","10","1","0","0","1010102"
"10102","オムレツ","1","400","1","110","9","2","0","0","1010200"
"10102","オムレツ","1","367","1","110","10","2","0","0","1010201"
"10102","オムレツ","1","338","1","110","11","2","0","0","1010202"
"10103","オムレツ","1","640","1","110","10","3","0","0","1010300"
"10103","オムレツ","1","597","1","110","11","3","0","0","1010301"
"10103","オムレツ","1","560","1","110","12","3","0","0","1010302"
"10201","ギョーザ","2","275","1","115","9","1","0","0","1020100"
"10201","ギョーザ","2","248","1","115","10","1","0","0","1020101"
"10201","ギョーザ","2","225","1","115","11","1","0","0","1020102"
"10202","ギョーザ","2","440","1","115","10","2","0","0","1020200"
"10202","ギョーザ","2","406","1","115","11","2","0","0","1020201"
"10202","ギョーザ","2","377","1","115","12","2","0","0","1020202"
"10203","ギョーザ","2","704","1","115","11","3","0","0","1020300"
"10203","ギョーザ","2","660","1","115","12","3","0","0","1020301"
"10203","ギョーザ","2","621","1","115","13","3","0","0","1020302"
"10301","タコヤキ","3","200","1","100","8","1","0","0","1030100"
"10301","タコヤキ","3","175","1","100","9","1","0","0","1030101"
"10301","タコヤキ","3","156","1","100","10","1","0","0","1030102"
"10302","タコヤキ","3","320","1","100","9","2","0","0","1030200"
"10302","タコヤキ","3","291","1","100","10","2","0","0","1030201"
"10302","タコヤキ","3","267","1","100","11","2","0","0","1030202"
"10303","タコヤキ","3","512","1","100","10","3","0","0","1030300"
"10303","タコヤキ","3","475","1","100","11","3","0","0","1030301"
"10303","タコヤキ","3","444","1","100","12","3","0","0","1030302"
"10401","オニギリ","4","225","1","115","9","1","0","0","1040100"
"10401","オニギリ","4","200","1","115","10","1","0","0","1040101"
"10401","オニギリ","4","180","1","115","11","1","0","0","1040102"
"10402","オニギリ","4","360","1","115","10","2","0","0","1040200"
"10402","オニギリ","4","330","1","115","11","2","0","0","1040201"
"10402","オニギリ","4","305","1","115","12","2","0","0","1040202"
"10403","オニギリ","4","576","1","115","11","3","0","0","1040300"
"10403","オニギリ","4","538","1","115","12","3","0","0","1040301"
"10403","オニギリ","4","504","1","115","13","3","0","0","1040302"
"10501","ケバブ","5","300","1","150","10","1","0","0","1050100"
"10501","ケバブ","5","273","1","150","11","1","0","0","1050101"
"10501","ケバブ","5","250","1","150","12","1","0","0","1050102"
"10502","ケバブ","5","480","1","150","11","2","0","0","1050200"
"10502","ケバブ","5","446","1","150","12","2","0","0","1050201"
"10502","ケバブ","5","416","1","150","13","2","0","0","1050202"
"10503","ケバブ","5","768","1","150","12","3","0","0","1050300"
"10503","ケバブ","5","723","1","150","13","3","0","0","1050301"
"10503","ケバブ","5","683","1","150","14","3","0","0","1050302"
"20101","タイヤ（特大）","1","160","2","60","0","1","0","0","2010100"
"20102","タイヤ（特大）","1","256","2","60","0","2","0","0","2010200"
"20103","タイヤ（特大）","1","410","2","60","0","3","0","0","2010300"
"20201","タイヤ（大）","2","145","2","45","0","1","0","0","2020100"
"20202","タイヤ（大）","2","232","2","45","0","2","0","0","2020200"
"20203","タイヤ（大）","2","371","2","45","0","3","0","0","2020300"
"20301","タイヤ（中）","3","120","2","30","0","1","0","0","2030100"
"20302","タイヤ（中）","3","192","2","30","0","2","0","0","2030200"
"20303","タイヤ（中）","3","307","2","30","0","3","0","0","2030300"
"20401","タイヤ（小）","4","100","2","15","0","1","0","0","2040100"
"20402","タイヤ（小）","4","160","2","15","0","2","0","0","2040200"
"20403","タイヤ（小）","4","256","2","15","0","3","0","0","2040300"
"30101","キャノン","1","0","3","1","0","1","4","125","3010100"
"30101","キャノン","1","0","3","1","0","1","5","195","3010101"
"30101","キャノン","1","0","3","1","0","1","6","234","3010102"
"30102","キャノン","1","0","3","1","0","2","4","200","3010200"
"30102","キャノン","1","0","3","1","0","2","5","313","3010201"
"30102","キャノン","1","0","3","1","0","2","6","375","3010202"
"30103","キャノン","1","0","3","1","0","3","4","320","3010300"
"30103","キャノン","1","0","3","1","0","3","5","500","3010301"
"30103","キャノン","1","0","3","1","0","3","6","600","3010302"
"30201","スライサー","2","0","3","1","0","1","6","75","3020100"
"30201","スライサー","2","0","3","1","0","1","7","112","3020101"
"30201","スライサー","2","0","3","1","0","1","8","135","3020102"
"30202","スライサー","2","0","3","1","0","2","6","120","3020200"
"30202","スライサー","2","0","3","1","0","2","7","180","3020201"
"30202","スライサー","2","0","3","1","0","2","8","216","3020202"
"30203","スライサー","2","0","3","1","0","3","6","192","3020300"
"30203","スライサー","2","0","3","1","0","3","7","288","3020301"
"30203","スライサー","2","0","3","1","0","3","8","345","3020302"
"30301","ドリル","3","0","3","1","0","1","5","72","3030100"
"30301","ドリル","3","0","3","1","0","1","6","108","3030101"
"30301","ドリル","3","0","3","1","0","1","7","129","3030102"
"30302","ドリル","3","0","3","1","0","2","5","115","3030200"
"30302","ドリル","3","0","3","1","0","2","6","172","3030201"
"30302","ドリル","3","0","3","1","0","2","7","207","3030202"
