542be4fafd3f6a94834bbbf2802c21deacad8d5e932522cbf1d5245e1ab7be31,ccfbd1787cd39c632fd0adc780c81589791d6f2e8fe5398c9bed010b7f3c5427,4f52babd6587b000e5aa3a21ec49311bc09b29879c48ea00458a94cc7b24a027,cd93163fe1d3f5dd968fe8b88eb424c06194ec05436bc17059a2ae6e888f4490,f0417ca61e0c7df1bb0f4b7f6813aac2925f0a1e5cc9761dbe3be5e254c5a9eb,60bb94d70dcf73c1ed3dda2b585936aa12391775960ebc8cc721258666f5369d,1838dd4287fb035a30b79523aca7048492eb69c7c90a7c14f04c5d9a881b6a7c,f8f152ba7578e41837fde9ce9ce299ddfbe93ed87241606250a1fb20b9b06d09,304cf58d1ce8a8a5ff3c9f5197e9f16361ab44479bca4743fddd79f1165cc588
"53003","-1","5","6","22","7","10001","8","1"
"53002","-1","5","6","22","7","10002","4","1"
"53003","5","4","5","22","6","10101","6","1"
"53002","5","4","5","22","6","10102","5","1"
"53003","4","3","4","22","5","10201","5","1"
"53002","4","3","4","22","5","10202","5","1"
"53003","3","3","3","22","4","10301","4","1"
"53002","3","3","3","22","4","10302","3","1"
"53003","2","2","2","22","3","10401","3","1"
"53002","2","2","2","22","3","10402","2","1"
"53003","1","1","1","22","2","10501","2","1"
"53002","1","1","1","22","2","10502","1","1"
"53002","0","1","0","22","1","10601","2","1"
"53003","-1","5","6","22","7","10701","8","2"
"53002","-1","5","6","22","7","10702","4","2"
"53003","5","4","5","22","6","10801","6","2"
"53002","5","4","5","22","6","10802","5","2"
"53003","4","3","4","22","5","10901","5","2"
"53002","4","3","4","22","5","10902","5","2"
"53003","3","3","3","22","4","11001","4","2"
"53002","3","3","3","22","4","11002","3","2"
"53003","2","2","2","22","3","11101","3","2"
"53002","2","2","2","22","3","11102","2","2"
"53003","1","1","1","22","2","11201","2","2"
"53002","1","1","1","22","2","11202","1","2"
"53002","0","1","0","22","1","11301","2","2"
"53003","-1","5","6","22","7","11401","8","3"
"53002","-1","5","6","22","7","11402","4","3"
"53003","5","4","5","22","6","11501","6","3"
"53002","5","4","5","22","6","11502","5","3"
"53003","4","3","4","22","5","11601","5","3"
"53002","4","3","4","22","5","11602","5","3"
"53003","3","3","3","22","4","11701","4","3"
"53002","3","3","3","22","4","11702","3","3"
"53003","2","2","2","22","3","11801","3","3"
"53002","2","2","2","22","3","11802","2","3"
"53003","1","1","1","22","2","11901","2","3"
"53002","1","1","1","22","2","11902","1","3"
"53002","0","1","0","22","1","12001","2","3"
"53003","-1","5","6","22","7","12101","8","4"
"53002","-1","5","6","22","7","12102","4","4"
"53003","5","4","5","22","6","12201","6","4"
"53002","5","4","5","22","6","12202","5","4"
"53003","4","3","4","22","5","12301","5","4"
"53002","4","3","4","22","5","12302","5","4"
"53003","3","3","3","22","4","12401","4","4"
"53002","3","3","3","22","4","12402","3","4"
"53003","2","2","2","22","3","12501","3","4"
"53002","2","2","2","22","3","12502","2","4"
"53003","1","1","1","22","2","12601","2","4"
"53002","1","1","1","22","2","12602","1","4"
"53002","0","1","0","22","1","12701","2","4"
"53003","-1","5","6","22","7","12801","8","5"
"53002","-1","5","6","22","7","12802","4","5"
"53003","5","4","5","22","6","12901","6","5"
"53002","5","4","5","22","6","12902","5","5"
"53003","4","3","4","22","5","13001","5","5"
"53002","4","3","4","22","5","13002","5","5"
"53003","3","3","3","22","4","13101","4","5"
"53002","3","3","3","22","4","13102","3","5"
"53003","2","2","2","22","3","13201","3","5"
"53002","2","2","2","22","3","13202","2","5"
"53003","1","1","1","22","2","13301","2","5"
"53002","1","1","1","22","2","13302","1","5"
"53002","0","1","0","22","1","13401","2","5"
