bc7fd95382f1efadf00e216976b3a95d3585ce7558cf191d0fd0802bdb6fda21,7c6ddd9d8447322caa20bd31845b6864feb51d7094e98a1a06ccc417eaa1041c,218ae7406ff193c4621c3dfe79fec767b988d4d486b676da8021c4b827138fd9,7af52fe9a30ee577f61b70cb5dc9e2a7628b1a24e8b0e3c47cde789c649f5d3b
"20","1","2","20"
"30","1","3","30"
"50","2","3","80"
"80","3","3","160"
"60","1","4","60"
"100","2","4","160"
"180","3","4","340"
"360","4","4","700"
"500","5","4","1200"
"100","1","5","100"
"160","2","5","260"
"280","3","5","540"
"480","4","5","1020"
"780","5","5","1800"
"100","1","6","100"
"160","2","6","260"
"280","3","6","540"
"480","4","6","1020"
"780","5","6","1800"
"100","1","7","100"
"160","2","7","260"
"280","3","7","540"
"480","4","7","1020"
"780","5","7","1800"
"100","1","8","100"
"160","2","8","260"
"280","3","8","540"
"480","4","8","1020"
"780","5","8","1800"
"100","1","9","100"
"160","2","9","260"
"280","3","9","540"
"480","4","9","1020"
"780","5","9","1800"
"100","1","10","100"
"160","2","10","260"
"280","3","10","540"
"480","4","10","1020"
"780","5","10","1800"
"100","1","11","100"
"160","2","11","260"
"280","3","11","540"
"480","4","11","1020"
"780","5","11","1800"
