9f7df6b59b4533f0199c20f69f87630b230b9a96cbe96fac924dd7b400b217ed,2286a0609f885ab8342efbb59eb3e6084c7977d499fa055ce38c97dfe276f6b5,112f0e2e311f345d16d5a9753062c1da1cc0e9875e2d1a35fbee0757daf602d7
"1","1","10101"
"2","1","10102"
"3","1","10103"
"4","1","10104"
"1","2","10201"
"2","2","10202"
"3","2","10203"
"4","2","10204"
"1","3","10301"
"2","3","10302"
"3","3","10303"
"4","3","10304"
"1","4","10401"
"2","4","10402"
"3","4","10403"
"4","4","10404"
"1","5","10501"
"2","5","10502"
"3","5","10503"
"4","5","10504"
"1","6","10601"
"2","6","10602"
"3","6","10603"
"4","6","10604"
"1","7","10701"
"2","7","10702"
"3","7","10703"
"4","7","10704"
"1","8","10801"
"2","8","10802"
"3","8","10803"
"4","8","10804"
"0","0","99999"
