31ebf2d41230b34a24613ed57950599aae04cd3a24682396c31037e04fb9be96,776341f8677f159c25ec2ef615fc1cb3298f080a4d32804932bae19aff1f2db8,b33c628faa3388212b78bb1a67f1726a8351537f4160edebf4ab160f167ed40e,2d3a543e9936caff9ac07b373649d05ed5912e03b6cffdfdfe26cfaef6838b5d,1e3595a11c2dabed69af4768e5eaa5cf2aa8ff55a7999adbdaf8f54777cf6cc7,ade8c9b5fb265731ce1e2149b89f32527e983e4985b5abf24c33884f3790fb97,5f81e65e9a5a7b4e48259e3591787cbc5c57f34165744fc6981944d22a3e5ead,ae79009cfd64a96d4fe5c21d11aed8c5f16d354e0d07ddb59cb0cd0143c5f512,47f86e9f5fb64350f7ffac80da2295fd9a21801c8c15bb7034a8c81eeaf355cc
"1","43.5","320010106","1","0","0.7","1","11","502001102"
"3","13","320010106","2","0","0.65","2","67","502001103"
"2","-74","320010106","3","0","0.65","3","49","0"
"1","-49","320010107","4","0","0.7","1","13","502001108"
"3","-4","320010107","5","0","0.85","2","62","502001109"
"2","59","320010107","6","0","0.65","3","50","0"
"1","0","320010108","7","0","1.05","1","-10","0"
"1","-15","320010109","8","0","1.05","1","-10","0"
"1","-85","320010110","9","0","0.43","1","-45","0"
"2","85","320010110","10","0","0.43","2","-45","0"
"1","43.5","320010206","11","0","0.7","1","11","502001202"
"3","13","320010206","12","0","0.65","2","67","502001203"
"2","-74","320010206","13","0","0.65","3","49","0"
"1","-49","320010207","14","0","0.7","1","13","502001208"
"3","-4","320010207","15","0","0.85","2","62","502001209"
"2","59","320010207","16","0","0.65","3","50","0"
"1","0","320010208","17","0","1.05","1","-10","0"
"1","-15","320010209","18","0","1.05","1","-10","0"
"1","-85","320010210","19","0","0.43","1","-45","0"
"2","85","320010210","20","0","0.43","2","-45","0"
"1","43.5","320010306","21","0","0.7","1","11","502001302"
"3","13","320010306","22","0","0.65","2","67","502001303"
"2","-74","320010306","23","0","0.65","3","49","0"
"1","-49","320010307","24","0","0.7","1","13","502001308"
"3","-4","320010307","25","0","0.85","2","62","502001309"
"2","59","320010307","26","0","0.65","3","50","0"
"1","0","320010308","27","0","1.05","1","-10","0"
"1","-15","320010309","28","0","1.05","1","-10","0"
"1","-85","320010310","29","0","0.43","1","-45","0"
"2","85","320010310","30","0","0.43","2","-45","0"
"1","43.5","320010406","31","0","0.7","1","11","502001402"
"3","13","320010406","32","0","0.65","2","67","502001403"
"2","-74","320010406","33","0","0.65","3","49","0"
"1","-49","320010407","34","0","0.7","1","13","502001408"
"3","-4","320010407","35","0","0.85","2","62","502001409"
"2","59","320010407","36","0","0.65","3","50","0"
"1","0","320010408","37","0","1.05","1","-10","0"
"1","-15","320010409","38","0","1.05","1","-10","0"
"1","-85","320010410","39","0","0.43","1","-45","0"
"2","85","320010410","40","0","0.43","2","-45","0"
"1","43.5","320010506","41","0","0.7","1","11","502001502"
"3","13","320010506","42","0","0.65","2","67","502001503"
"2","-74","320010506","43","0","0.65","3","49","0"
"1","-49","320010507","44","0","0.7","1","13","502001508"
"3","-4","320010507","45","0","0.85","2","62","502001509"
"2","59","320010507","46","0","0.65","3","50","0"
"1","0","320010508","47","0","1.05","1","-10","0"
"1","-15","320010509","48","0","1.05","1","-10","0"
"1","-85","320010510","49","0","0.43","1","-45","0"
"2","85","320010510","50","0","0.43","2","-45","0"
"1","43.5","320020106","51","0","0.7","1","11","502002102"
"3","13","320020106","52","0","0.65","2","67","502002103"
"2","-74","320020106","53","0","0.65","3","49","0"
"1","-49","320020107","54","0","0.7","1","13","502002108"
"3","-4","320020107","55","0","0.85","2","62","502002109"
"2","59","320020107","56","0","0.65","3","50","0"
"1","0","320020108","57","0","1.05","1","-10","0"
"1","-15","320020109","58","0","1.05","1","-10","0"
"1","-85","320020110","59","0","0.43","1","-45","0"
"2","85","320020110","60","0","0.43","2","-45","0"
"1","43.5","320020206","61","0","0.7","1","11","502002202"
"3","13","320020206","62","0","0.65","2","67","502002203"
"2","-74","320020206","63","0","0.65","3","49","0"
"1","-49","320020207","64","0","0.7","1","13","502002208"
"3","-4","320020207","65","0","0.85","2","62","502002209"
"2","59","320020207","66","0","0.65","3","50","0"
"1","0","320020208","67","0","1.05","1","-10","0"
"1","-15","320020209","68","0","1.05","1","-10","0"
"1","-85","320020210","69","0","0.43","1","-45","0"
"2","85","320020210","70","0","0.43","2","-45","0"
"1","43.5","320020306","71","0","0.7","1","11","502002302"
"3","13","320020306","72","0","0.65","2","67","502002303"
"2","-74","320020306","73","0","0.65","3","49","0"
"1","-49","320020307","74","0","0.7","1","13","502002308"
"3","-4","320020307","75","0","0.85","2","62","502002309"
"2","59","320020307","76","0","0.65","3","50","0"
"1","0","320020308","77","0","1.05","1","-10","0"
"1","-15","320020309","78","0","1.05","1","-10","0"
"1","-85","320020310","79","0","0.43","1","-45","0"
"2","85","320020310","80","0","0.43","2","-45","0"
"1","43.5","320020406","81","0","0.7","1","11","502002402"
"3","13","320020406","82","0","0.65","2","67","502002403"
"2","-74","320020406","83","0","0.65","3","49","0"
"1","-49","320020407","84","0","0.7","1","13","502002408"
"3","-4","320020407","85","0","0.85","2","62","502002409"
"2","59","320020407","86","0","0.65","3","50","0"
"1","0","320020408","87","0","1.05","1","-10","0"
"1","-15","320020409","88","0","1.05","1","-10","0"
"1","-85","320020410","89","0","0.43","1","-45","0"
"2","85","320020410","90","0","0.43","2","-45","0"
"1","43.5","320020506","91","0","0.7","1","11","502002502"
"3","13","320020506","92","0","0.65","2","67","502002503"
"2","-74","320020506","93","0","0.65","3","49","0"
"1","-49","320020507","94","0","0.7","1","13","502002508"
"3","-4","320020507","95","0","0.85","2","62","502002509"
"2","59","320020507","96","0","0.65","3","50","0"
"1","0","320020508","97","0","1.05","1","-10","0"
"1","-15","320020509","98","0","1.05","1","-10","0"
"1","-85","320020510","99","0","0.43","1","-45","0"
"2","85","320020510","100","0","0.43","2","-45","0"
"1","43.5","320030106","101","0","0.7","1","11","502003102"
"2","13","320030106","102","0","0.65","2","67","502003103"
"3","-74","320030106","103","0","0.65","3","49","0"
"1","-49","320030107","104","0","0.7","1","13","502003108"
"3","-4","320030107","105","0","0.85","2","62","502003109"
"2","59","320030107","106","0","0.65","3","50","0"
"1","0","320030108","107","0","1.05","1","-10","0"
"1","-15","320030109","108","0","1.05","1","-10","0"
"1","-85","320030110","109","0","0.43","1","-45","0"
"2","85","320030110","110","0","0.43","2","-45","0"
"1","43.5","320030206","111","0","0.7","1","11","502003202"
"2","13","320030206","112","0","0.65","2","67","502003203"
"3","-74","320030206","113","0","0.65","3","49","0"
"1","-49","320030207","114","0","0.7","1","13","502003208"
"3","-4","320030207","115","0","0.85","2","62","502003209"
"2","59","320030207","116","0","0.65","3","50","0"
"1","0","320030208","117","0","1.05","1","-10","0"
"1","-15","320030209","118","0","1.05","1","-10","0"
"1","-85","320030210","119","0","0.43","1","-45","0"
"2","85","320030210","120","0","0.43","2","-45","0"
"1","43.5","320030306","121","0","0.7","1","11","502003302"
"2","13","320030306","122","0","0.65","2","67","502003303"
"3","-74","320030306","123","0","0.65","3","49","0"
"1","-49","320030307","124","0","0.7","1","13","502003308"
"3","-4","320030307","125","0","0.85","2","62","502003309"
"2","59","320030307","126","0","0.65","3","50","0"
"1","0","320030308","127","0","1.05","1","-10","0"
"1","-15","320030309","128","0","1.05","1","-10","0"
"1","-85","320030310","129","0","0.43","1","-45","0"
"2","85","320030310","130","0","0.43","2","-45","0"
"1","43.5","320030406","131","0","0.7","1","11","502003402"
"2","13","320030406","132","0","0.65","2","67","502003403"
"3","-74","320030406","133","0","0.65","3","49","0"
"1","-49","320030407","134","0","0.7","1","13","502003408"
"3","-4","320030407","135","0","0.85","2","62","502003409"
"2","59","320030407","136","0","0.65","3","50","0"
"1","0","320030408","137","0","1.05","1","-10","0"
"1","-15","320030409","138","0","1.05","1","-10","0"
"1","-85","320030410","139","0","0.43","1","-45","0"
"2","85","320030410","140","0","0.43","2","-45","0"
"1","43.5","320030506","141","0","0.7","1","11","502003502"
"2","13","320030506","142","0","0.65","2","67","502003503"
"3","-74","320030506","143","0","0.65","3","49","0"
"1","-49","320030507","144","0","0.7","1","13","502003508"
"3","-4","320030507","145","0","0.85","2","62","502003509"
"2","59","320030507","146","0","0.65","3","50","0"
"1","0","320030508","147","0","1.05","1","-10","0"
"1","-15","320030509","148","0","1.05","1","-10","0"
"1","-85","320030510","149","0","0.43","1","-45","0"
"2","85","320030510","150","0","0.43","2","-45","0"
"1","-74","320040106","151","0","0.7","1","49","502004103"
"3","13","320040106","152","0","0.85","2","67","502004104"
"2","43.5","320040106","153","0","0.65","3","11","0"
"1","59","320040107","154","0","0.7","1","50","502004107"
"3","-4","320040107","155","0","0.85","2","62","502004109"
"2","-49","320040107","156","0","0.65","3","13","0"
"1","0","320040108","157","0","0.8","1","-10","0"
