6a2e1c62d6215a02181a63be700391200c23f2a960b46d87e5a1582f294a619f,cc1f37a3ba69f5023639fd2e93a60892ac46185c41f8e9f7cca7e1ff94aea4bc,1bba6f2af2a059178a6e2e8a2ed8e1033fd73d1d138dd342b03d18db994b6630,022171174cb365d2f5bd6f8da6a8c6492fa4bbc0750a5f4faaded9c69ba46f04,2fb9f844cea7d1b4408874c30a456e9220109a9f1d45a89fb7ee42f98b25cc69
"2991101","0.07","0","0","2991101"
"2991102","0.08","0","0","2991102"
"2991103","0.07","0","0","2991103"
"2991104","0.07","0","0","2991104"
"2991105","0.07","-1","1","2991105"
"2991106","0.07","-1","1","2991106"
"2991107","0.07","0","0","2991107"
"2991108","0.07","0","0","2991108"
"2991109","0.07","0","0","2991109"
"2991110","0.07","-1","1","2991110"
"2991117","0.07","0","0","2991117"
"2991118","0.08","0","0","2991118"
"2991119","0.09","0","0","2991119"
"2991120","0.1","0","0","2991120"
"2991121","4.08","0","0","2991121"
"2991122","4.09","0","0","2991122"
"2991123","4.1","0","0","2991123"
"2991124","4.08","0","0","2991124"
"2991125","4.09","0","0","2991125"
"2991126","4.1","0","0","2991126"
"2991127","0.08","0","0","2991127"
"2991128","0.08","0","0","2991128"
"2991129","0.08","0","0","2991129"
"2991132","0.5","0","0","2991132"
"2991133","0.5","0","0","2991133"
"2991134","15","-1","15","2991134"
"2991139","15.01","-1","15","2991139"
"2991144","15.02","-1","15","2991144"
"2991149","15","-1","15","2991149"
"2991154","15.01","-1","15","2991154"
"2991159","15.02","-1","15","2991159"
"2991164","0.07","0","0","2991164"
"2991165","0.08","0","0","2991165"
"2991166","0.09","0","0","2991166"
"2991167","0.07","0","0","2991167"
"2991168","0.07","0","0","2991168"
"2991172","0.07","-1","1","2991172"
"2991180","0.07","0","0","2991180"
"2991181","0.07","0","0","2991181"
"2991182","0.07","0","0","2991182"
"2991183","0.07","0","0","2991183"
"2991184","0.07","0","0","2991184"
"2991185","0.07","0","0","2991185"
"2991186","0.07","0","0","2991186"
"2991187","0.07","-1","1","2991187"
"2991188","0.07","-1","1","2991188"
"2991189","0.07","0","0","2991189"
"2991190","0.07","0","0","2991190"
"2999101","0.07","0","0","2999101"
"2999102","0.08","0","0","2999102"
"2999103","0.07","0","0","2999103"
"2999104","20","0","0","2999104"
"2999105","40","0","0","2999105"
"2999106","60","0","0","2999106"
"2999107","0.1","0","0","2999107"
"2999108","0","0","0","2999108"
"2999112","0.1","-1","1","2999112"
"2999113","0","0","0","2999113"
"2999117","0.07","0","0","2999117"
"2999118","0.08","0","0","2999118"
"2999119","0.09","0","0","2999119"
"2999120","0.1","0","0","2999120"
"2999121","4.08","0","0","2999121"
"2999122","4.09","0","0","2999122"
"2999123","4.1","0","0","2999123"
"2999124","4.08","0","0","2999124"
"2999125","4.09","0","0","2999125"
"2999126","4.1","0","0","2999126"
"2999127","0.08","0","0","2999127"
"2999128","0.08","0","0","2999128"
"2999129","0.08","0","0","2999129"
"2999130","0.08","0","0","2999130"
"2999132","0.5","0","0","2999132"
"2999133","0.5","0","0","2999133"
"2999134","15","-1","15","2999134"
"2999139","15.01","-1","15","2999139"
"2999144","15.02","-1","15","2999144"
"2999149","15","-1","15","2999149"
"2999154","15.01","-1","15","2999154"
"2999159","15.02","-1","15","2999159"
"2999164","0.07","0","0","2999164"
"2999165","0.08","0","0","2999165"
"2999166","0.09","0","0","2999166"
"2999167","0.07","0","0","2999167"
"2999168","20","-1","20","2999168"
"2999172","9","-1","9","2999172"
"2999177","20","0","0","2999177"
"2999178","40","0","0","2999178"
"2999179","60","0","0","2999179"
"2999180","0.07","0","0","2999180"
"2999182","4.08","0","0","2999182"
"2999185","0.07","0","0","2999185"
"2999186","0.07","0","0","2999186"
"2999187","0.07","0","0","2999187"
"2999188","0.07","0","0","2999188"
"2999189","0.07","0","0","2999189"
"2999190","0.07","0","0","2999190"
"2999191","1","0","0","2999191"
"2999192","0.08","0","0","2999192"
"2999193","0.07","0","0","2999193"
"2999194","1","0","0","2999194"
"2999195","30","-1","30","2999195"
"2999197","15","-1","15","2999197"
"2999202","0.07","0","0","2999202"
"2999203","0.08","0","0","2999203"
"2999204","0.05","0","0","2999204"
"2999205","0.08","0","0","2999205"
"2999206","0.08","0","0","2999206"
"2999207","4","-1","1","2999207"
