b288dbdd3d8f5e579cee5dcd62691b45a9fdfd584bc62051cbc15bcf98988268,4a958e5f305998b7a81f19d9b0c913a9916ada41e5b1b6b1c98c2d9d9a23af50,75e78ecd09ae8cf23839f8234349b1b83fd5c46cd11bf26470d7ad4bc50f1508,561d4c4c5d6e6e5ad771b317841fbfb2ef639f8df1b37353d1df34527f5ecac1,c24543a8324630578c4769bc3278e6d29e9b735e91008a9742cf895c4ce536ff,29b543bd114c41815364a07bcad61e16d544aac098127b47c973773028445de8
"5201087","1","102013011","301","1","10201"
"5201081","1","102014021","402","1","10201"
"5201082","101","102014022","402","0","10201"
"5201066","1","102015011","501","1","10201"
"5201067","1","102015012","501","2","10201"
"5201068","1","102015013","501","3","10201"
"5201069","1","102015014","501","4","10201"
"5201070","1","102015015","501","5","10201"
"5201071","1","102015016","501","6","10201"
"5201072","1","102015017","501","7","10201"
"5201073","1","102015018","501","8","10201"
