5ca3b878f1a5564efe60e510a828626b7ae5dc178f22b645a229774b45cd8c0a,11149e246bbcaf0589a484bf494239a84b134dacbe0330540ef2130caffa3919,2c9924ada4959db0f050417e2901a523331f8dcdcfe976bb515563fb56d52395,be660161288c920c6f659c47bb907e52876008291636d61260d847e0f2f2b4f9,8a7434e2b39f8fe9e4cc533bbc235a5f49176a0f1e95beddfacc1113ad5a9b2d,edfd0f9875574c795f124ee06d72fd69b630b458cd06fd0de575efea2ee6a0be,6f334072f6c14c6e957f14d131d4e56818dd6c51a0f6208b324f05c688162bb5,6962c41ff0d319ec79e8b67ea8d5bc2378be0370188bb495a5d33f3a8e6953f5,96bc53513e70614033db857161ab147c18dea46d419e7475c9a9d0d5e6ee3024,9b4abd709e661296bf8260d95387c1d7d8f74db44dce975587086075b1c3ff59,e782cc6608f84c81451fb7b618484f14c0923efaacbc9c471339b5a16ef5c47d
"2","25014","8","8","10","2","91002","25021","284001001","31","1"
"2","25014","8","8","10","2","91002","25021","284001002","31","2"
"2","25014","8","8","10","2","91002","25021","284001003","32","3"
"2","25014","8","8","10","2","91002","25021","284001004","32","4"
"2","25014","8","8","10","2","91002","25021","284001005","33","5"
"2","25014","9","8","10","2","91002","25021","284001006","33","6"
"2","25014","9","8","10","2","91002","25021","284001007","34","7"
"2","25014","9","8","10","2","91002","25021","284001008","35","8"
"2","25014","9","8","10","2","91002","25021","284001009","35","9"
"2","25014","10","8","30","2","91002","25021","284001010","37","10"
"2","25014","10","8","10","2","91002","25021","284001011","41","11"
"2","25014","11","8","10","2","91002","25021","284001012","43","12"
"2","25014","11","8","10","2","91002","25021","284001013","46","13"
"2","25014","12","8","10","2","91002","25021","284001014","48","14"
"2","25014","12","8","10","2","91002","25021","284001015","50","15"
"2","25014","13","8","10","2","91002","25021","284001016","53","16"
"2","25014","14","8","10","2","91002","25021","284001017","55","17"
"2","25014","14","8","10","2","91002","25021","284001018","58","18"
"2","25014","15","8","10","2","91002","25021","284001019","60","19"
"2","25014","15","8","30","2","91002","25021","284001020","62","20"
"2","25014","16","8","10","2","91002","25021","284001021","68","21"
"2","25014","16","8","10","2","91002","25021","284001022","70","22"
"2","25014","16","8","10","2","91002","25021","284001023","72","23"
"2","25014","17","8","10","2","91002","25021","284001024","75","24"
"2","25014","18","8","10","2","91002","25021","284001025","77","25"
"2","25014","18","8","10","2","91002","25021","284001026","79","26"
"2","25014","19","8","10","2","91002","25021","284001027","82","27"
"2","25014","19","8","10","2","91002","25021","284001028","84","28"
"2","25014","19","8","10","2","91002","25021","284001029","86","29"
"2","25014","20","8","30","2","91002","25021","284001030","89","30"
"2","25014","20","8","10","2","91002","25021","284001031","94","31"
"2","25014","21","8","10","2","91002","25021","284001032","96","32"
"2","25014","21","8","10","2","91002","25021","284001033","99","33"
"2","25014","22","8","10","2","91002","25021","284001034","101","34"
"2","25014","22","8","10","2","91002","25021","284001035","103","35"
"2","25014","23","8","10","2","91002","25021","284001036","106","36"
"2","25014","23","8","10","2","91002","25021","284001037","108","37"
"2","25014","24","8","10","2","91002","25021","284001038","111","38"
"2","25014","25","8","10","2","91002","25021","284001039","113","39"
"2","25014","25","8","30","2","91002","25021","284001040","115","40"
"2","25014","26","8","10","2","91002","25021","284001041","121","41"
"2","25014","27","8","10","2","91002","25021","284001042","123","42"
"2","25014","28","8","10","2","91002","25021","284001043","125","43"
"2","25014","28","8","10","2","91002","25021","284001044","128","44"
"2","25014","29","8","10","2","91002","25021","284001045","130","45"
"2","25014","30","8","10","2","91002","25021","284001046","132","46"
"2","25014","30","8","10","2","91002","25021","284001047","135","47"
"2","25014","31","8","10","2","91002","25021","284001048","137","48"
"2","25014","31","8","10","2","91002","25021","284001049","139","49"
"2","25014","31","8","30","2","91002","25021","284001050","142","50"
