718eb6db3f028af318c2a1a7f9c8c2a204644d8c040f7d60da0a34816f4e69da,913546aa970bca83b8e2dfd1911a55eca81c63ee26bf871874b66f378e0c8e40,94adb50f770c80bf4a4ccee5ee709442316d5e41e8a6e619559fd9936b030777,454774f20723229dc03470e1909a3ca9ad5c9024e296f927368312ed84678376,c0868522d3b1439dc9a7f819f0abf281c72b171dc68b1d09d75786a0cdcef007,2eb67b1859814554ced6e095f5d127995b144833baa5b938a7ee7ee1d33f3fec,f28fe90552b6cfd075bcfdff8bade7fc93ccc870f9b041db95f7de4b34e0b7aa,788387918dcb0321b6e2875e0744d2522d53091594b69626a3b5802db5f01cf1,4c0fd99c7325bcc207a1e1d7b4a3e814af05135a5a17e49397ffd1f9938b7cb7,9dc69c52a799b2fd6f2e1a1be0599691664e7b5f35dbbcfb063f0b0c326bfd1b,febef8bfd5436e916cffe2369723914ed2d74887ea9f0e8e61639d25a3623390
"2","1","8","31","25013","2","25021","8","10","91002","283001001"
"2","2","8","31","25013","2","25021","8","10","91002","283001002"
"2","3","8","32","25013","2","25021","8","10","91002","283001003"
"2","4","8","32","25013","2","25021","8","10","91002","283001004"
"2","5","8","33","25013","2","25021","8","10","91002","283001005"
"2","6","8","33","25013","2","25021","9","10","91002","283001006"
"2","7","8","34","25013","2","25021","9","10","91002","283001007"
"2","8","8","35","25013","2","25021","9","10","91002","283001008"
"2","9","8","35","25013","2","25021","9","10","91002","283001009"
"2","10","8","37","25013","2","25021","10","30","91002","283001010"
"2","11","8","41","25013","2","25021","10","10","91002","283001011"
"2","12","8","43","25013","2","25021","11","10","91002","283001012"
"2","13","8","46","25013","2","25021","11","10","91002","283001013"
"2","14","8","48","25013","2","25021","12","10","91002","283001014"
"2","15","8","50","25013","2","25021","12","10","91002","283001015"
"2","16","8","53","25013","2","25021","13","10","91002","283001016"
"2","17","8","55","25013","2","25021","14","10","91002","283001017"
"2","18","8","58","25013","2","25021","14","10","91002","283001018"
"2","19","8","60","25013","2","25021","15","10","91002","283001019"
"2","20","8","62","25013","2","25021","15","30","91002","283001020"
"2","21","8","68","25013","2","25021","16","10","91002","283001021"
"2","22","8","70","25013","2","25021","16","10","91002","283001022"
"2","23","8","72","25013","2","25021","16","10","91002","283001023"
"2","24","8","75","25013","2","25021","17","10","91002","283001024"
"2","25","8","77","25013","2","25021","18","10","91002","283001025"
"2","26","8","79","25013","2","25021","18","10","91002","283001026"
"2","27","8","82","25013","2","25021","19","10","91002","283001027"
"2","28","8","84","25013","2","25021","19","10","91002","283001028"
"2","29","8","86","25013","2","25021","19","10","91002","283001029"
"2","30","8","89","25013","2","25021","20","30","91002","283001030"
"2","31","8","94","25013","2","25021","20","10","91002","283001031"
"2","32","8","96","25013","2","25021","21","10","91002","283001032"
"2","33","8","99","25013","2","25021","21","10","91002","283001033"
"2","34","8","101","25013","2","25021","22","10","91002","283001034"
"2","35","8","103","25013","2","25021","22","10","91002","283001035"
"2","36","8","106","25013","2","25021","23","10","91002","283001036"
"2","37","8","108","25013","2","25021","23","10","91002","283001037"
"2","38","8","111","25013","2","25021","24","10","91002","283001038"
"2","39","8","113","25013","2","25021","25","10","91002","283001039"
"2","40","8","115","25013","2","25021","25","30","91002","283001040"
"2","41","8","121","25013","2","25021","26","10","91002","283001041"
"2","42","8","123","25013","2","25021","27","10","91002","283001042"
"2","43","8","125","25013","2","25021","28","10","91002","283001043"
"2","44","8","128","25013","2","25021","28","10","91002","283001044"
"2","45","8","130","25013","2","25021","29","10","91002","283001045"
"2","46","8","132","25013","2","25021","30","10","91002","283001046"
"2","47","8","135","25013","2","25021","30","10","91002","283001047"
"2","48","8","137","25013","2","25021","31","10","91002","283001048"
"2","49","8","139","25013","2","25021","31","10","91002","283001049"
"2","50","8","142","25013","2","25021","31","30","91002","283001050"
"2","51","8","144","25013","2","25021","32","10","91002","283001051"
"2","52","8","146","25013","2","25021","32","10","91002","283001052"
"2","53","8","149","25013","2","25021","32","10","91002","283001053"
"2","54","8","152","25013","2","25021","33","10","91002","283001054"
"2","55","8","155","25013","2","25021","33","10","91002","283001055"
"2","56","8","157","25013","2","25021","33","10","91002","283001056"
"2","57","8","160","25013","2","25021","34","10","91002","283001057"
"2","58","8","163","25013","2","25021","34","10","91002","283001058"
"2","59","8","166","25013","2","25021","34","10","91002","283001059"
"2","60","8","169","25013","2","25021","35","30","91002","283001060"
"2","61","8","171","25013","2","25021","35","10","91002","283001061"
"2","62","8","174","25013","2","25021","35","10","91002","283001062"
"2","63","8","177","25013","2","25021","36","10","91002","283001063"
"2","64","8","180","25013","2","25021","36","10","91002","283001064"
"2","65","8","182","25013","2","25021","36","10","91002","283001065"
"2","66","8","185","25013","2","25021","37","10","91002","283001066"
"2","67","8","187","25013","2","25021","37","10","91002","283001067"
"2","68","8","190","25013","2","25021","37","10","91002","283001068"
"2","69","8","193","25013","2","25021","38","10","91002","283001069"
"2","70","8","196","25013","2","25021","38","30","91002","283001070"
