17919c4460c5e07d1825dc8f6d7aa3b0448e759f7c57640b91df2e2b28da6b9b,cbcc04b37b36b9a3e229e003d35526c4b15839d85054e115b1fca57c114d0c36,7439fd1ae3c9bb8f136d8d1c5e5de4e15067b76dfb20cb780d23827bc2804be5,1d63cf8d01a0db1e87de26f84c9754cd2388cf5df0b1369792d4c62eca4e43ac,f078d72ce190acc8bd467cce0101b1d405c661e22721dbcbb907c52f1941ecb0,b12045fc38e395b51af71e81470cc132b217c57a22213c87fc521e0a4a80ff0a,6e5fb4bce95d21a9b43a5b70af455d04f31b56537a1917d0d9e3c86fd41100c1,ae327c98788311ca92d341b8d83510b9248d2677f513a374a88174cc441b4c2d,a64604ee4eb405738d83b5ef2b0ccf0b648f255c4fc44aec3a7975dd7e75f57d,e2672db2c59005549daa336f56f925d71ca6c9123ea73f70f2342aa9cef91486,526476cc10d00ed0a14ea204139f8d88c3b14572c9309a7a36c2d977a98eef50,bda7209c324ce4483246f4ffcf83fa836aacdc0129bfa9eef37ba5d6da787d17,a3ff71da146edbee4020968014291443e4e25af10b4a4b00457a8559d355d46a,7447cc6c5a31824591aea05090efbfcce0de3e65b3909b36c6177a28369c0127
"1001","6","1","30","1","1","4","1","30","1","7","1","1","-1"
"1002","6","1","60","1","1","31","1","60","1","11","1","1","-1"
"1003","6","1","90","1","1","61","1","90","1","15","1","1","-1"
"1004","6","1","120","1","1","91","1","120","1","19","1","1","-1"
"1005","6","1","150","1","1","121","1","150","1","23","1","1","-1"
"1006","6","1","180","1","1","151","1","180","1","27","1","1","-1"
"1007","6","1","210","1","1","181","1","210","1","29","1","1","-1"
"1008","6","1","240","1","1","211","1","240","1","31","1","1","-1"
"1009","6","1","270","1","1","241","1","270","1","31","1","1","-1"
"1010","6","1","300","1","1","271","1","300","1","31","1","1","-1"
"1011","6","1","310","1","1","301","1","-1","1","31","1","1","-1"
"1101","5","1","30","1","1","4","1","30","1","7","1","2","-1"
"1102","5","1","60","1","1","31","1","60","1","11","1","2","-1"
"1103","5","1","90","1","1","61","1","90","1","15","1","2","-1"
"1104","5","1","120","1","1","91","1","120","1","19","1","2","-1"
"1105","5","1","150","1","1","121","1","150","1","23","1","2","-1"
"1106","5","1","180","1","1","151","1","180","1","27","1","2","-1"
"1107","5","1","210","1","1","181","1","210","1","29","1","2","-1"
"1108","5","1","240","1","1","211","1","240","1","31","1","2","-1"
"1109","5","1","270","1","1","241","1","270","1","31","1","2","-1"
"1110","5","1","300","1","1","271","1","300","1","31","1","2","-1"
"1111","5","1","310","1","1","301","1","-1","1","31","1","2","-1"
"1201","5","1","-1","1","1","4","1","30","1","7","1","3","-1"
"1202","5","1","-1","1","1","31","1","60","1","11","1","3","-1"
"1203","5","1","-1","1","1","61","1","90","1","15","1","3","-1"
"1204","5","1","-1","1","1","91","1","120","1","19","1","3","-1"
"1205","5","1","-1","1","1","121","1","150","1","23","1","3","-1"
"1206","5","1","-1","1","1","151","1","180","1","27","1","3","-1"
"1207","5","1","-1","1","1","181","1","210","1","29","1","3","-1"
"1208","5","1","-1","1","1","211","1","240","1","31","1","3","-1"
"1209","5","1","-1","1","1","241","1","270","1","31","1","3","-1"
"1210","5","1","-1","1","1","271","1","300","1","31","1","3","-1"
"1211","5","1","-1","1","1","301","1","-1","1","31","1","3","-1"
"1301","5","1","30","1","1","4","1","30","1","7","1","4","-1"
"1302","5","1","60","1","1","31","1","60","1","10","1","4","-1"
"1303","5","1","90","1","1","61","1","90","1","13","1","4","-1"
"1304","5","1","120","1","1","91","1","120","1","16","1","4","-1"
"1305","5","1","150","1","1","121","1","150","1","19","1","4","-1"
"1306","5","1","180","1","1","151","1","180","1","22","1","4","-1"
"1307","5","1","210","1","1","181","1","210","1","25","1","4","-1"
"1308","5","1","240","1","1","211","1","240","1","28","1","4","-1"
"1309","5","1","270","1","1","241","1","270","1","28","1","4","-1"
"1310","5","1","300","1","1","271","1","300","1","28","1","4","-1"
"1311","5","1","310","1","1","301","1","-1","1","28","1","4","-1"
"1401","5","1","-1","1","1","4","1","30","1","7","1","5","-1"
"1402","5","1","-1","1","1","31","1","60","1","10","1","5","-1"
"1403","5","1","-1","1","1","61","1","90","1","13","1","5","-1"
"1404","5","1","-1","1","1","91","1","120","1","16","1","5","-1"
"1405","5","1","-1","1","1","121","1","150","1","19","1","5","-1"
"1406","5","1","-1","1","1","151","1","180","1","22","1","5","-1"
"1407","5","1","-1","1","1","181","1","210","1","25","1","5","-1"
"1408","5","1","-1","1","1","211","1","240","1","28","1","5","-1"
"1409","5","1","-1","1","1","241","1","270","1","28","1","5","-1"
"1410","5","1","-1","1","1","271","1","300","1","28","1","5","-1"
"1411","5","1","-1","1","1","301","1","-1","1","28","1","5","-1"
"1501","3","1","-1","1","1","4","1","30","1","7","1","6","-1"
"1502","3","1","-1","1","1","31","1","60","1","10","1","6","-1"
"1503","3","1","-1","1","1","61","1","90","1","13","1","6","-1"
"1504","3","1","-1","1","1","91","1","120","1","16","1","6","-1"
"1505","3","1","-1","1","1","121","1","150","1","19","1","6","-1"
"1506","3","1","-1","1","1","151","1","180","1","22","1","6","-1"
"1507","3","1","-1","1","1","181","1","210","1","22","1","6","-1"
"1508","3","1","-1","1","1","211","1","240","1","22","1","6","-1"
"1509","3","1","-1","1","1","241","1","270","1","22","1","6","-1"
"1510","3","1","-1","1","1","271","1","-1","1","22","1","6","-1"
"1601","6","1","30","1","1","4","1","30","1","7","1","7","5"
"1602","6","1","60","1","1","31","1","60","1","11","1","7","5"
"1603","6","1","90","1","1","61","1","90","1","15","1","7","5"
"1604","6","1","120","1","1","91","1","120","1","19","1","7","5"
"1605","6","1","150","1","1","121","1","150","1","23","1","7","5"
"1606","6","1","180","1","1","151","1","180","1","27","1","7","5"
"1607","6","1","210","1","1","181","1","210","1","29","1","7","5"
"1608","6","1","240","1","1","211","1","240","1","31","1","7","5"
"1609","6","1","270","1","1","241","1","270","1","31","1","7","5"
"1610","6","1","300","1","1","271","1","300","1","31","1","7","5"
"1611","6","1","310","1","1","301","1","-1","1","31","1","7","5"
"1701","5","1","30","1","1","4","1","30","1","7","1","8","5"
"1702","5","1","60","1","1","31","1","60","1","11","1","8","5"
"1703","5","1","90","1","1","61","1","90","1","15","1","8","5"
"1704","5","1","120","1","1","91","1","120","1","19","1","8","5"
"1705","5","1","150","1","1","121","1","150","1","23","1","8","5"
"1706","5","1","180","1","1","151","1","180","1","27","1","8","5"
"1707","5","1","210","1","1","181","1","210","1","29","1","8","5"
"1708","5","1","240","1","1","211","1","240","1","31","1","8","5"
"1709","5","1","270","1","1","241","1","270","1","31","1","8","5"
"1710","5","1","300","1","1","271","1","300","1","31","1","8","5"
"1711","5","1","310","1","1","301","1","-1","1","31","1","8","5"
